6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	1.29e-31
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	1.64e-27
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	1.51e-26
6LI3_R	Chain R, G-protein coupled receptor 52 [Homo sapiens]	1.84e-26
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	2.40e-26
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.80e-26
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	3.66e-26
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	8.38e-26
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.33e-25
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	5.25e-25
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	5.31e-25
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	6.17e-25
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	6.17e-25
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	6.35e-25
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	8.50e-25
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	6.76e-24
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	7.15e-24
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	7.99e-24
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.06e-23
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	1.80e-23
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	1.87e-23
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	3.07e-21
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	3.48e-21
2Z73_A	N/A	5.94e-21
5DYS_A	Chain A, Rhodopsin [Bos taurus]	9.14e-21
1F88_A	N/A	1.31e-20
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.33e-20
6LI2_A	Chain A, Chimera of G-protein coupled receptor 52 and Rubredoxin [Homo sapiens]	1.41e-20
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.72e-20
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.96e-20
3C9M_A	Chain A, Rhodopsin [unidentified]	3.18e-20
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	3.21e-20
2X72_A	Chain A, Rhodopsin [Bos taurus]	3.24e-20
4BEY_A	Chain A, Rhodopsin [Bos taurus]	3.76e-20
6QNO_R	Chain R, Rhodopsin [Bos taurus]	6.13e-20
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	6.19e-20
6FUF_A	Chain A, Rhodopsin [Bos taurus]	7.45e-20
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	5.03e-19
