Q6U736.3	N/A	7.54e-74
Q6VZZ7.1	N/A	2.38e-73
O35214.1	N/A	4.05e-48
O14718.1	N/A	1.24e-46
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	2.50e-37
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	1.74e-36
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	4.59e-36
Q9H1Y3.1	N/A	5.49e-35
Q9WUK7.1	N/A	5.51e-35
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	5.52e-35
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	1.21e-34
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	3.36e-34
Q5YKK9.1	N/A	4.03e-34
O57422.1	N/A	4.46e-34
O42266.1	N/A	9.39e-34
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	1.68e-33
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	3.88e-32
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	6.60e-32
Q9UHM6.1	N/A	1.03e-31
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	1.50e-31
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	2.25e-31
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	2.89e-31
Q1JPS6.1	N/A	3.24e-31
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	6.16e-31
Q9QXZ9.1	N/A	2.71e-30
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	3.87e-30
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	5.17e-30
P28683.1	N/A	6.54e-30
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	1.64e-29
Q8R456.1	N/A	6.16e-29
P51471.1	N/A	7.56e-29
