4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	6.33e-45
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	1.16e-44
2Z73_A	N/A	4.25e-44
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	4.48e-32
6FK6_A	Chain A, Rhodopsin [Bos taurus]	7.18e-18
4BEY_A	Chain A, Rhodopsin [Bos taurus]	7.26e-18
2X72_A	Chain A, Rhodopsin [Bos taurus]	7.56e-18
3C9M_A	Chain A, Rhodopsin [unidentified]	7.89e-18
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	7.94e-18
6FKB_A	Chain A, Rhodopsin [Bos taurus]	8.25e-18
5DYS_A	Chain A, Rhodopsin [Bos taurus]	8.96e-18
1F88_A	N/A	1.37e-17
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.38e-17
6FUF_A	Chain A, Rhodopsin [Bos taurus]	1.56e-17
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.93e-17
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.94e-17
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	5.10e-16
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	5.40e-16
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	5.62e-16
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	2.67e-15
