XP_002732329.1	PREDICTED: visual pigment-like receptor peropsin-like [Saccoglossus kowalevskii]	0.0
XP_002934288.2	visual pigment-like receptor peropsin [Xenopus tropicalis]	3.09e-52
XP_032080312.1	visual pigment-like receptor peropsin [Thamnophis elegans]	4.09e-52
XP_006727263.1	visual pigment-like receptor peropsin [Leptonychotes weddellii]	4.35e-52
XP_021540204.1	visual pigment-like receptor peropsin [Neomonachus schauinslandi]	9.40e-52
XP_006212109.1	visual pigment-like receptor peropsin [Vicugna pacos]	9.70e-52
XP_034886165.1	visual pigment-like receptor peropsin [Mirounga leonina]	1.18e-51
XP_004009669.3	visual pigment-like receptor peropsin [Ovis aries]	1.37e-51
XP_005681368.2	PREDICTED: visual pigment-like receptor peropsin [Capra hircus]	1.65e-51
XP_030213007.1	visual pigment-like receptor peropsin [Gadus morhua]	1.74e-51
XP_006188994.1	visual pigment-like receptor peropsin [Camelus ferus]	1.75e-51
XP_004748136.1	PREDICTED: visual pigment-like receptor peropsin [Mustela putorius furo]	2.17e-51
XP_032189036.1	visual pigment-like receptor peropsin [Mustela erminea]	2.36e-51
XP_032256896.1	visual pigment-like receptor peropsin [Phoca vitulina]	3.02e-51
XP_032962657.1	visual pigment-like receptor peropsin isoform X3 [Rhinolophus ferrumequinum]	4.44e-51
XP_027621626.1	visual pigment-like receptor peropsin [Tupaia chinensis]	6.05e-51
XP_010856841.1	PREDICTED: visual pigment-like receptor peropsin [Bison bison bison]	7.29e-51
XP_020743578.1	visual pigment-like receptor peropsin [Odocoileus virginianus texanus]	8.20e-51
XP_007463288.1	PREDICTED: visual pigment-like receptor peropsin [Lipotes vexillifer]	9.09e-51
NP_001179153.1	visual pigment-like receptor peropsin [Bos taurus]	9.59e-51
XP_007191091.1	visual pigment-like receptor peropsin [Balaenoptera acutorostrata scammoni]	1.16e-50
XP_027399641.1	visual pigment-like receptor peropsin [Bos indicus x Bos taurus]	1.18e-50
XP_007105918.1	visual pigment-like receptor peropsin isoform X2 [Physeter catodon]	1.32e-50
XP_022372113.1	visual pigment-like receptor peropsin [Enhydra lutris kenyoni]	1.53e-50
XP_006052266.1	visual pigment-like receptor peropsin [Bubalus bubalis]	1.61e-50
XP_024597728.1	visual pigment-like receptor peropsin [Neophocaena asiaeorientalis asiaeorientalis]	1.92e-50
XP_020664493.1	visual pigment-like receptor peropsin [Pogona vitticeps]	2.12e-50
XP_012879229.1	PREDICTED: visual pigment-like receptor peropsin [Dipodomys ordii]	2.35e-50
XP_034298262.1	visual pigment-like receptor peropsin [Pantherophis guttatus]	2.53e-50
XP_008123453.2	PREDICTED: LOW QUALITY PROTEIN: visual pigment-like receptor peropsin [Anolis carolinensis]	3.51e-50
XP_008542178.1	PREDICTED: visual pigment-like receptor peropsin [Equus przewalskii]	3.81e-50
XP_032489448.1	visual pigment-like receptor peropsin [Phocoena sinus]	4.43e-50
XP_032715786.1	visual pigment-like receptor peropsin [Lontra canadensis]	4.47e-50
XP_029091626.1	visual pigment-like receptor peropsin [Monodon monoceros]	4.62e-50
XP_001503570.2	visual pigment-like receptor peropsin [Equus caballus]	5.19e-50
XP_027453715.1	visual pigment-like receptor peropsin [Zalophus californianus]	6.16e-50
XP_028994862.1	visual pigment-like receptor peropsin [Betta splendens]	6.27e-50
XP_034492038.1	visual pigment-like receptor peropsin isoform X2 [Marmota flaviventris]	6.37e-50
XP_025729412.1	visual pigment-like receptor peropsin [Callorhinus ursinus]	6.43e-50
XP_030719932.1	visual pigment-like receptor peropsin [Globicephala melas]	6.79e-50
XP_002929386.1	visual pigment-like receptor peropsin [Ailuropoda melanoleuca]	6.79e-50
XP_027977156.1	visual pigment-like receptor peropsin [Eumetopias jubatus]	6.86e-50
XP_008687733.1	PREDICTED: visual pigment-like receptor peropsin [Ursus maritimus]	7.88e-50
XP_023649549.1	visual pigment-like receptor peropsin [Paramormyrops kingsleyae]	9.82e-50
XP_026959305.1	visual pigment-like receptor peropsin [Lagenorhynchus obliquidens]	1.06e-49
XP_015744085.1	visual pigment-like receptor peropsin [Python bivittatus]	1.16e-49
XP_032753232.1	visual pigment-like receptor peropsin [Rattus rattus]	1.23e-49
XP_003410445.2	visual pigment-like receptor peropsin [Loxodonta africana]	1.32e-49
XP_015996316.1	PREDICTED: visual pigment-like receptor peropsin [Rousettus aegyptiacus]	1.33e-49
XP_019817870.1	PREDICTED: visual pigment-like receptor peropsin [Bos indicus]	2.11e-49
