P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	4.89e-31
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	9.34e-31
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	3.00e-29
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	8.79e-28
O57422.1	N/A	1.98e-27
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	3.14e-27
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	2.31e-26
Q5YKK9.1	N/A	1.87e-25
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	2.98e-25
O35214.1	N/A	6.41e-25
O14718.1	N/A	7.16e-25
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	8.41e-25
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	2.42e-24
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	2.95e-24
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	5.27e-24
P02699.1	N/A	5.59e-24
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	1.07e-23
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	1.22e-23
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	1.44e-23
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	1.88e-23
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	2.23e-23
O18766.1	N/A	2.64e-23
Q1JPS6.1	N/A	3.75e-23
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	4.40e-23
P49912.1	N/A	4.61e-23
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	7.27e-23
Q95KU1.1	N/A	9.13e-23
Q8R456.1	N/A	1.03e-22
P51471.1	N/A	1.27e-22
Q28886.1	N/A	1.34e-22
O62798.1	N/A	2.27e-22
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	3.44e-22
P15409.2	N/A	3.47e-22
Q9QXZ9.1	N/A	3.88e-22
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	4.57e-22
O62791.1	N/A	6.80e-22
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	7.80e-22
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	8.01e-22
O35599.1	N/A	1.10e-21
Q9UHM6.1	N/A	1.22e-21
O35476.2	N/A	1.33e-21
Q769E8.1	N/A	1.38e-21
P28681.1	N/A	1.44e-21
O62794.1	N/A	1.47e-21
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	1.87e-21
Q90214.1	RecName: Full=Rhodopsin, deep-sea form [Anguilla anguilla]	1.91e-21
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	1.92e-21
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	2.32e-21
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	2.54e-21
P32308.1	N/A	2.65e-21
O42266.1	N/A	2.85e-21
P28683.1	N/A	2.85e-21
Q9YGZ2.1	RecName: Full=Rhodopsin [Gobius niger]	3.07e-21
Q9YGZ3.1	RecName: Full=Rhodopsin [Salaria pavo]	3.36e-21
P04000.1	RecName: Full=Long-wave-sensitive opsin 1; AltName: Full=Red cone photoreceptor pigment; AltName: Full=Red-sensitive opsin; Short=ROP [Homo sapiens]	4.09e-21
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	6.10e-21
P08100.1	N/A	6.34e-21
Q68J47.1	N/A	6.73e-21
P41592.1	N/A	7.25e-21
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	9.23e-21
P52202.1	N/A	1.02e-20
O62796.1	N/A	1.21e-20
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	1.22e-20
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	1.24e-20
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	1.49e-20
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	1.54e-20
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	1.78e-20
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	1.81e-20
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	1.98e-20
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	2.18e-20
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	2.21e-20
O18910.2	N/A	2.44e-20
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	2.49e-20
Q90215.1	RecName: Full=Rhodopsin, freshwater form [Anguilla anguilla]	2.64e-20
Q9YGZ8.1	RecName: Full=Rhodopsin [Chelon labrosus]	2.65e-20
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	2.81e-20
P32310.1	N/A	3.24e-20
Q9YGZ5.1	RecName: Full=Rhodopsin [Solea solea]	3.52e-20
P87369.1	N/A	3.55e-20
Q9YGZ6.1	RecName: Full=Rhodopsin [Chelon auratus]	3.69e-20
P34989.1	RecName: Full=Opsin, longwave 563 nm [Callithrix jacchus]	3.78e-20
Q9YGZ9.1	RecName: Full=Rhodopsin [Mugil cephalus]	5.67e-20
P22329.1	N/A	5.78e-20
P79848.1	RecName: Full=Rhodopsin [Poecilia reticulata]	7.10e-20
P22328.1	N/A	7.35e-20
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	8.07e-20
P79756.1	RecName: Full=Rhodopsin [Gambusia affinis]	9.06e-20
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	9.11e-20
O18913.2	N/A	9.69e-20
O35478.2	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin; AltName: Full=Medium wavelength-sensitive cone opsin [Sciurus carolinensis]	1.08e-19
Q9YGY9.1	RecName: Full=Rhodopsin [Zosterisessor ophiocephalus]	1.09e-19
Q9YH05.1	RecName: Full=Rhodopsin [Diplodus annularis]	1.28e-19
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	1.49e-19
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	1.57e-19
