O35214.1	N/A	0.0
O14718.1	N/A	0.0
Q5YKK9.1	N/A	9.04e-45
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	5.00e-43
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	1.24e-42
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	1.38e-40
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	3.00e-40
Q8R456.1	N/A	3.48e-40
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	2.51e-39
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	1.63e-38
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	1.64e-38
Q9QXZ9.1	N/A	2.23e-38
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	2.83e-38
P49912.1	N/A	3.81e-38
Q1JPS6.1	N/A	7.61e-38
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	8.66e-38
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	8.85e-38
P28681.1	N/A	9.01e-38
P02699.1	N/A	1.02e-37
O57422.1	N/A	1.11e-37
Q95KU1.1	N/A	1.18e-37
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	1.33e-37
P15409.2	N/A	1.79e-37
Q769E8.1	N/A	2.94e-37
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	4.69e-37
O62798.1	N/A	4.78e-37
Q9UHM6.1	N/A	7.55e-37
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	9.28e-37
P52202.1	N/A	1.06e-36
O62791.1	N/A	1.12e-36
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	1.66e-36
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	1.80e-36
Q9H1Y3.1	N/A	1.80e-36
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	1.85e-36
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	2.75e-36
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	2.81e-36
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	3.02e-36
Q68J47.1	N/A	3.53e-36
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	3.73e-36
O18766.1	N/A	3.75e-36
P51488.1	RecName: Full=Rhodopsin [Cyprinus carpio]	3.95e-36
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	4.24e-36
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	4.95e-36
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	8.21e-36
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	8.30e-36
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	9.31e-36
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	1.25e-35
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	2.19e-35
Q28886.1	N/A	2.51e-35
P22328.1	N/A	2.64e-35
O62794.1	N/A	3.49e-35
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	3.98e-35
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	5.90e-35
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	6.68e-35
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	8.55e-35
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	9.32e-35
Q6VZZ7.1	N/A	1.07e-34
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	1.30e-34
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	1.37e-34
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	1.42e-34
Q6U736.3	N/A	3.35e-34
O62796.1	N/A	6.17e-34
Q9YH00.1	RecName: Full=Rhodopsin [Lithognathus mormyrus]	6.53e-34
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	9.41e-34
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	1.07e-33
O42327.1	RecName: Full=Rhodopsin [Comephorus dybowskii]	1.13e-33
O42451.1	RecName: Full=Rhodopsin [Procottus jettelesii]	1.56e-33
P28683.1	N/A	1.58e-33
P08100.1	N/A	1.72e-33
Q9YH02.1	N/A	2.15e-33
P79756.1	RecName: Full=Rhodopsin [Gambusia affinis]	2.17e-33
O42301.1	RecName: Full=Rhodopsin [Batrachocottus nikolskii]	2.17e-33
P32310.1	N/A	2.20e-33
P32308.1	N/A	2.52e-33
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	2.88e-33
O42266.1	N/A	2.89e-33
Q9YH03.1	RecName: Full=Rhodopsin [Sarpa salpa]	3.48e-33
P87369.1	N/A	4.82e-33
Q9DGG4.1	RecName: Full=Rhodopsin [Tetraodon nigroviridis]	5.46e-33
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	6.72e-33
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	6.84e-33
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	7.71e-33
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	1.03e-32
O42307.1	RecName: Full=Rhodopsin [Cottinella boulengeri]	1.04e-32
P51471.1	N/A	1.05e-32
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	1.35e-32
Q9YGZ5.1	RecName: Full=Rhodopsin [Solea solea]	1.47e-32
Q9WUK7.1	N/A	1.48e-32
Q9YH04.1	RecName: Full=Rhodopsin [Diplodus vulgaris]	1.70e-32
Q90214.1	RecName: Full=Rhodopsin, deep-sea form [Anguilla anguilla]	2.70e-32
