NP_001303876.1	opsin 8, group member a [Danio rerio]	0.0
ROL52465.1	Opsin-5 [Anabarilius grahami]	0.0
XP_026146098.1	opsin-5-like [Carassius auratus]	0.0
KAF4099825.1	hypothetical protein G5714_019951 [Onychostoma macrolepis]	0.0
XP_016329718.1	PREDICTED: opsin-5-like [Sinocyclocheilus anshuiensis]	0.0
XP_016391921.1	PREDICTED: opsin-5-like [Sinocyclocheilus rhinocerous]	0.0
KTG31344.1	hypothetical protein cypCar_00026101 [Cyprinus carpio]	0.0
XP_030628012.1	opsin-5-like [Chanos chanos]	0.0
XP_017537125.1	PREDICTED: opsin-5-like [Pygocentrus nattereri]	0.0
RXN23266.1	opsin-5-like protein [Labeo rohita]	0.0
XP_022523774.1	opsin-5-like [Astyanax mexicanus]	0.0
XP_012680154.1	opsin-5-like [Clupea harengus]	1.01e-168
XP_014000704.1	PREDICTED: opsin-5 [Salmo salar]	1.10e-168
XP_029588766.1	opsin-5-like [Salmo trutta]	3.03e-168
XP_016086323.1	PREDICTED: opsin-5-like [Sinocyclocheilus grahami]	4.55e-167
XP_021468208.1	opsin-5-like [Oncorhynchus mykiss]	3.67e-166
XP_024256049.1	opsin-5-like [Oncorhynchus tshawytscha]	6.70e-166
XP_020352527.1	opsin-5 [Oncorhynchus kisutch]	2.23e-165
XP_014061200.1	PREDICTED: opsin-5-like [Salmo salar]	4.35e-163
XP_029625173.1	opsin-5-like [Salmo trutta]	1.53e-162
XP_018599017.1	opsin-5-like [Scleropages formosus]	4.21e-162
XP_024233377.1	opsin-5-like [Oncorhynchus tshawytscha]	6.85e-162
XP_031656023.1	opsin-5-like [Oncorhynchus kisutch]	8.25e-162
XP_010880465.2	opsin 8, group member a [Esox lucius]	5.09e-160
XP_033505125.1	opsin 8, group member a [Epinephelus lanceolatus]	2.05e-157
XP_023829677.1	opsin-5-like [Salvelinus alpinus]	3.49e-157
XP_032399528.1	opsin-5-like [Etheostoma spectabile]	4.23e-154
XP_027140091.1	opsin-5 [Larimichthys crocea]	1.29e-152
XP_026197604.1	opsin 8, group member a [Anabas testudineus]	2.00e-152
XP_023285747.1	opsin-5-like [Seriola lalandi dorsalis]	3.59e-152
XP_022621029.1	opsin-5-like [Seriola dumerili]	1.21e-151
XP_034756513.1	opsin 8, group member a [Etheostoma cragini]	1.39e-151
XP_015199483.1	PREDICTED: opsin-5-like isoform X1 [Lepisosteus oculatus]	8.01e-151
XP_034435450.1	opsin 8, group member a isoform X1 [Hippoglossus hippoglossus]	9.41e-151
XP_030262041.1	opsin-5-like isoform X1 [Sparus aurata]	9.45e-151
XP_034999336.1	opsin 8, group member a [Hippoglossus stenolepis]	3.10e-150
XP_029352973.1	opsin-5-like [Echeneis naucrates]	5.26e-150
XP_031143869.1	opsin-5-like [Sander lucioperca]	6.55e-150
XP_029534648.1	opsin-5-like [Oncorhynchus nerka]	9.59e-150
XP_029984650.1	opsin-5-like isoform X1 [Sphaeramia orbicularis]	7.90e-149
XP_028253714.1	opsin-5-like [Parambassis ranga]	8.64e-149
XP_029966711.1	opsin-5-like [Salarias fasciatus]	1.14e-148
XP_019947131.1	PREDICTED: opsin-5-like [Paralichthys olivaceus]	6.60e-148
AXF38097.1	OPN8a [Paralichthys olivaceus]	3.52e-147
XP_031721785.1	opsin-5-like [Anarrhichthys ocellatus]	7.98e-147
XP_008311466.1	opsin-5 [Cynoglossus semilaevis]	1.10e-146
XP_029984651.1	opsin-5-like isoform X2 [Sphaeramia orbicularis]	2.13e-146
XP_028460412.1	opsin-5-like [Perca flavescens]	2.00e-145
XP_023133488.1	opsin-5-like [Amphiprion ocellaris]	1.80e-144
XP_003971623.1	opsin-5-like [Takifugu rubripes]	1.94e-144
XP_018553413.1	PREDICTED: opsin-5-like [Lates calcarifer]	1.38e-143
XP_034084440.1	opsin 8, group member a [Gymnodraco acuticeps]	3.30e-143
XP_034006701.1	opsin 8, group member a [Trematomus bernacchii]	2.58e-142
CAG00077.1	unnamed protein product [Tetraodon nigroviridis]	2.99e-142
KAA8583357.1	hypothetical protein FQN60_015903, partial [Etheostoma spectabile]	6.66e-142
XP_029281727.1	opsin-5-like [Cottoperca gobio]	2.64e-141
XP_033931503.1	opsin 8, group member a [Pseudochaenichthys georgianus]	4.42e-141
TWW69107.1	G-protein coupled receptor 136 [Takifugu flavidus]	8.38e-140
TWW69107.1	G-protein coupled receptor 136 [Takifugu flavidus]	3.30e-84
TNN40532.1	Opsin-5 [Liparis tanakae]	8.43e-140
XP_015199504.1	PREDICTED: opsin-5-like isoform X2 [Lepisosteus oculatus]	1.62e-139
KAF5156621.1	hypothetical protein HST_G00195340 [Hippoglossus stenolepis]	4.31e-139
CAG00076.1	unnamed protein product [Tetraodon nigroviridis]	7.62e-139
CAG00076.1	unnamed protein product [Tetraodon nigroviridis]	6.94e-41
XP_028858812.1	opsin-5-like [Denticeps clupeoides]	1.64e-138
XP_030200331.1	opsin-5-like [Gadus morhua]	1.01e-136
XP_026175068.1	opsin-5-like [Mastacembelus armatus]	3.63e-136
XP_033859236.2	opsin-5-like isoform X1 [Acipenser ruthenus]	1.50e-135
XP_016151259.1	PREDICTED: opsin-5-like [Sinocyclocheilus grahami]	6.68e-134
XP_029893406.1	opsin-5-like [Aquila chrysaetos chrysaetos]	2.77e-132
XP_009894205.1	PREDICTED: opsin-5 [Charadrius vociferus]	4.57e-132
XP_034435451.1	opsin 8, group member a isoform X2 [Hippoglossus hippoglossus]	1.50e-131
XP_010391681.1	opsin-5-like [Corvus cornix cornix]	3.51e-131
XP_009568721.1	PREDICTED: opsin-5-like [Cuculus canorus]	5.02e-129
XP_009079965.1	PREDICTED: opsin-5-like [Acanthisitta chloris]	6.81e-129
XP_010192053.1	PREDICTED: opsin-5 [Mesitornis unicolor]	9.25e-129
XP_027758057.1	opsin-5-like [Empidonax traillii]	2.79e-128
XP_004915005.1	opsin-5 [Xenopus tropicalis]	3.03e-128
XP_009872171.1	PREDICTED: opsin-5-like [Apaloderma vittatum]	4.00e-128
XP_018121490.1	PREDICTED: opsin-5-like [Xenopus laevis]	6.43e-128
XP_010291003.1	PREDICTED: LOW QUALITY PROTEIN: opsin-5-like [Phaethon lepturus]	2.34e-127
XP_010171094.1	opsin-5 [Antrostomus carolinensis]	1.84e-126
XP_010080575.1	PREDICTED: opsin-5-like [Pterocles gutturalis]	3.51e-126
XP_009808046.1	PREDICTED: opsin-5 [Gavia stellata]	3.79e-126
XP_009465616.1	PREDICTED: opsin-5-like [Nipponia nippon]	3.79e-126
XP_033001490.1	opsin-5-like [Lacerta agilis]	7.86e-126
XP_009510259.1	PREDICTED: opsin-5-like [Phalacrocorax carbo]	8.32e-126
XP_009287241.1	PREDICTED: opsin-5 [Aptenodytes forsteri]	8.50e-126
XP_028572558.1	opsin-5-like [Podarcis muralis]	9.06e-126
XP_010581401.1	PREDICTED: opsin-5-like [Haliaeetus leucocephalus]	1.00e-125
XP_009936498.1	PREDICTED: opsin-5-like [Opisthocomus hoazin]	1.14e-125
XP_009666275.1	PREDICTED: opsin-5-like [Struthio camelus australis]	1.36e-125
XP_028577710.1	opsin-5-like [Podarcis muralis]	2.03e-125
XP_009947346.1	PREDICTED: opsin-5-like [Leptosomus discolor]	2.74e-125
XP_009317958.1	PREDICTED: opsin-5-like [Pygoscelis adeliae]	2.92e-125
XP_005013003.2	opsin-5 [Anas platyrhynchos]	2.98e-125
XP_026701419.1	opsin-5-like isoform X1 [Athene cunicularia]	3.64e-125
XP_028577709.1	opsin-5-like [Podarcis muralis]	3.83e-125
XP_009096500.2	opsin-5-like [Serinus canaria]	3.92e-125
XP_025949649.1	opsin-5-like [Dromaius novaehollandiae]	4.72e-125
XP_035176557.1	opsin-5-like [Oxyura jamaicensis]	5.04e-125
XP_030303449.1	opsin-5 [Calypte anna]	5.94e-125
XP_009572134.1	PREDICTED: opsin-5 [Fulmarus glacialis]	6.48e-125
XP_009965072.2	opsin-5 [Tyto alba alba]	7.38e-125
XP_025899380.1	opsin-5-like [Nothoprocta perdicaria]	8.51e-125
XP_013039884.1	PREDICTED: opsin-5-like [Anser cygnoides domesticus]	9.81e-125
XP_015207092.1	PREDICTED: opsin-5-like isoform X1 [Lepisosteus oculatus]	1.19e-124
XP_028577708.1	opsin-5-like [Podarcis muralis]	1.57e-124
XP_009637918.1	PREDICTED: opsin-5-like [Egretta garzetta]	1.89e-124
XP_013803769.1	PREDICTED: opsin-5-like [Apteryx mantelli mantelli]	2.04e-124
XP_031460808.1	opsin-5-like [Phasianus colchicus]	2.15e-124
XP_014813681.1	PREDICTED: opsin-5-like [Calidris pugnax]	2.18e-124
TRZ17521.1	hypothetical protein HGM15179_009586 [Zosterops borbonicus]	2.51e-124
XP_021245077.1	opsin-5-like isoform X2 [Numida meleagris]	2.80e-124
OXB74101.1	hypothetical protein H355_015232 [Colinus virginianus]	2.86e-124
XP_031408515.1	opsin-5-like [Meleagris gallopavo]	2.92e-124
XP_023780014.1	opsin-5-like [Cyanistes caeruleus]	3.29e-124
XP_031959841.1	opsin-5-like [Corvus moneduloides]	4.23e-124
XP_018425859.1	PREDICTED: opsin-5-like [Nanorana parkeri]	4.49e-124
XP_033872953.2	LOW QUALITY PROTEIN: opsin-5 [Acipenser ruthenus]	4.71e-124
OXB62883.1	hypothetical protein ASZ78_003049 [Callipepla squamata]	4.93e-124
XP_010137954.1	PREDICTED: opsin-5-like [Buceros rhinoceros silvestris]	5.56e-124
XP_027664512.1	LOW QUALITY PROTEIN: opsin-5-like [Falco cherrug]	5.56e-124
XP_010003208.1	PREDICTED: opsin-5-like [Chaetura pelagica]	7.98e-124
XP_027528503.1	opsin-5-like [Neopelma chrysocephalum]	9.29e-124
XP_008933559.1	PREDICTED: opsin-5 [Merops nubicus]	9.39e-124
XP_005528829.1	PREDICTED: opsin-5-like [Pseudopodoces humilis]	9.39e-124
XP_017944405.2	opsin-5 [Manacus vitellinus]	1.29e-123
XP_015477000.1	opsin-5-like [Parus major]	1.30e-123
XP_017668481.1	PREDICTED: opsin-5-like [Lepidothrix coronata]	1.52e-123
XP_014728370.1	PREDICTED: opsin-5-like [Sturnus vulgaris]	2.64e-123
XP_030800641.1	opsin-5-like [Camarhynchus parvulus]	3.60e-123
RXN00215.1	Opsin-5 [Acipenser ruthenus]	3.81e-123
XP_030346748.1	opsin-5-like [Strigops habroptila]	5.75e-123
XP_009701745.1	PREDICTED: LOW QUALITY PROTEIN: opsin-5 [Cariama cristata]	5.98e-123
XP_008640127.1	PREDICTED: opsin-5 [Corvus brachyrhynchos]	8.14e-123
XP_027519275.1	opsin-5-like [Corapipo altera]	8.90e-123
XP_032538150.1	opsin-5-like [Chiroxiphia lanceolata]	9.50e-123
XP_018119570.1	PREDICTED: opsin-5-like [Xenopus laevis]	1.02e-122
XP_005146474.2	opsin-5-like [Melopsittacus undulatus]	1.19e-122
XP_016411755.1	PREDICTED: opsin-5-like [Sinocyclocheilus rhinocerous]	1.79e-122
XP_005490445.2	opsin-5 [Zonotrichia albicollis]	2.27e-122
