XP_029638241.1	retinochrome-like [Octopus vulgaris]	1.86e-123
XP_014770715.1	PREDICTED: retinochrome-like [Octopus bimaculoides]	8.80e-123
XP_009060307.1	hypothetical protein LOTGIDRAFT_154374 [Lottia gigantea]	8.19e-31
XP_005094221.2	PREDICTED: retinochrome-like [Aplysia californica]	3.98e-30
XP_013096913.1	PREDICTED: retinochrome-like [Biomphalaria glabrata]	3.72e-28
XP_021349313.1	visual pigment-like receptor peropsin [Mizuhopecten yessoensis]	5.78e-28
XP_019631461.1	PREDICTED: visual pigment-like receptor peropsin [Branchiostoma belcheri]	1.24e-27
XP_033733839.1	visual pigment-like receptor peropsin isoform X1 [Pecten maximus]	3.42e-27
XP_006264141.2	PREDICTED: visual pigment-like receptor peropsin isoform X1 [Alligator mississippiensis]	7.77e-27
XP_006025612.2	visual pigment-like receptor peropsin [Alligator sinensis]	1.23e-26
XP_014400206.1	PREDICTED: visual pigment-like receptor peropsin isoform X1 [Myotis brandtii]	1.50e-26
XP_030628797.1	visual pigment-like receptor peropsin [Chanos chanos]	1.56e-26
XP_020857087.1	visual pigment-like receptor peropsin [Phascolarctos cinereus]	1.59e-26
XP_031797407.1	visual pigment-like receptor peropsin [Sarcophilus harrisii]	1.82e-26
XP_027006156.1	visual pigment-like receptor peropsin isoform X1 [Tachysurus fulvidraco]	1.84e-26
XP_012688455.1	visual pigment-like receptor peropsin [Clupea harengus]	2.23e-26
XP_001506416.1	visual pigment-like receptor peropsin [Ornithorhynchus anatinus]	2.48e-26
XP_005872465.2	PREDICTED: visual pigment-like receptor peropsin isoform X2 [Myotis brandtii]	2.70e-26
XP_015200719.1	PREDICTED: visual pigment-like receptor peropsin [Lepisosteus oculatus]	3.86e-26
XP_006052266.1	visual pigment-like receptor peropsin [Bubalus bubalis]	4.10e-26
XP_022540639.1	visual pigment-like receptor peropsin [Astyanax mexicanus]	4.17e-26
XP_025906638.1	visual pigment-like receptor peropsin [Nothoprocta perdicaria]	4.43e-26
XP_019377402.1	PREDICTED: visual pigment-like receptor peropsin [Gavialis gangeticus]	4.70e-26
XP_004426639.1	PREDICTED: visual pigment-like receptor peropsin [Ceratotherium simum simum]	5.02e-26
