2X72_A	Chain A, Rhodopsin [Bos taurus]	5.60e-24
6QNO_R	Chain R, Rhodopsin [Bos taurus]	7.37e-24
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	7.47e-24
3C9M_A	Chain A, Rhodopsin [unidentified]	8.13e-24
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	8.25e-24
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.09e-23
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.12e-23
6FUF_A	Chain A, Rhodopsin [Bos taurus]	1.31e-23
1F88_A	N/A	1.35e-23
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.37e-23
5DYS_A	Chain A, Rhodopsin [Bos taurus]	2.05e-23
4BEY_A	Chain A, Rhodopsin [Bos taurus]	8.23e-23
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.83e-22
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	5.93e-22
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	5.98e-22
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	6.50e-22
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	9.09e-21
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	1.19e-20
2Z73_A	N/A	1.88e-20
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	2.26e-16
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	7.67e-16
6LI3_R	Chain R, G-protein coupled receptor 52 [Homo sapiens]	3.95e-14
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	5.72e-12
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	7.28e-12
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	2.50e-11
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	3.17e-10
6OIK_R	Chain R, Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2 [Homo sapiens]	3.61e-10
6LI2_A	Chain A, Chimera of G-protein coupled receptor 52 and Rubredoxin [Homo sapiens]	3.19e-09
