1F88_A	N/A	1.87e-24
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.90e-24
4BEY_A	Chain A, Rhodopsin [Bos taurus]	5.33e-24
2X72_A	Chain A, Rhodopsin [Bos taurus]	5.33e-24
3C9M_A	Chain A, Rhodopsin [unidentified]	6.09e-24
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	6.17e-24
6FKB_A	Chain A, Rhodopsin [Bos taurus]	9.93e-24
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.28e-23
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.69e-23
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.71e-23
6FUF_A	Chain A, Rhodopsin [Bos taurus]	2.52e-23
5DYS_A	Chain A, Rhodopsin [Bos taurus]	2.66e-23
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	3.66e-23
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	2.12e-21
2Z73_A	N/A	3.56e-21
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	3.57e-21
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	4.94e-20
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	5.26e-20
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	5.36e-20
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	6.07e-20
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	6.88e-11
6AK3_A	Chain A, Prostaglandin E2 receptor EP3 subtype,Soluble cytochrome b562 [Homo sapiens]	4.38e-08
6M9T_A	Chain A, Prostaglandin E2 receptor EP3 subtype, Endolysin chimera [Homo sapiens]	2.09e-07
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	2.42e-07
5YHL_A	Chain A, Prostaglandin E2 receptor EP4 subtype [Homo sapiens]	2.78e-07
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	1.04e-06
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	4.13e-06
6RZ4_A	Chain A, Cysteinyl leukotriene receptor 1,Soluble cytochrome b562,Cysteinyl leukotriene receptor 1 [Homo sapiens]	4.69e-06
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	5.49e-06
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	8.39e-06
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	9.07e-06
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.14e-05
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.20e-05
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	1.57e-05
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.75e-05
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	1.83e-05
4DKL_A	Chain A, Mu-type opioid receptor, lysozyme chimera [Mus musculus]	3.44e-05
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	3.61e-05
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	3.74e-05
