O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	4.52e-52
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	1.25e-51
O35214.1	N/A	1.16e-50
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	7.45e-50
O14718.1	N/A	9.02e-50
Q6U736.3	N/A	2.10e-45
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	2.92e-45
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	4.70e-45
Q6VZZ7.1	N/A	5.87e-45
O57422.1	N/A	1.05e-41
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	2.22e-40
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	1.11e-39
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	1.83e-38
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	9.26e-38
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	5.55e-37
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	1.47e-36
Q1JPS6.1	N/A	2.48e-36
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	3.25e-36
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	5.54e-36
Q5YKK9.1	N/A	8.39e-36
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	1.08e-35
Q9YGZ6.1	RecName: Full=Rhodopsin [Chelon auratus]	1.15e-35
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	1.26e-35
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	1.53e-35
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	1.60e-35
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	2.97e-35
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	3.00e-35
P35361.1	N/A	6.74e-35
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	9.97e-35
Q9YGZ7.1	RecName: Full=Rhodopsin [Chelon saliens]	1.11e-34
Q9YGZ8.1	RecName: Full=Rhodopsin [Chelon labrosus]	1.19e-34
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	1.93e-34
Q9YH04.1	RecName: Full=Rhodopsin [Diplodus vulgaris]	2.87e-34
Q9YGZ9.1	RecName: Full=Rhodopsin [Mugil cephalus]	3.08e-34
Q9YH00.1	RecName: Full=Rhodopsin [Lithognathus mormyrus]	3.49e-34
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	3.79e-34
O42330.1	RecName: Full=Rhodopsin [Cottocomephorus inermis]	4.46e-34
Q9W6A8.1	N/A	5.14e-34
P51471.1	N/A	5.93e-34
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	6.10e-34
P87369.1	N/A	6.12e-34
O42268.1	RecName: Full=Rhodopsin [Ictalurus punctatus]	7.94e-34
Q9YGY9.1	RecName: Full=Rhodopsin [Zosterisessor ophiocephalus]	8.01e-34
Q9YH02.1	N/A	1.38e-33
O42266.1	N/A	1.57e-33
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	2.03e-33
Q9YGZ2.1	RecName: Full=Rhodopsin [Gobius niger]	2.55e-33
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	3.28e-33
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	3.55e-33
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	3.79e-33
Q9YH03.1	RecName: Full=Rhodopsin [Sarpa salpa]	3.91e-33
P41590.1	N/A	4.25e-33
P28683.1	N/A	4.55e-33
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	4.72e-33
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	6.19e-33
Q9YH05.1	RecName: Full=Rhodopsin [Diplodus annularis]	7.38e-33
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	7.84e-33
P02699.1	N/A	8.23e-33
O62798.1	N/A	9.60e-33
Q9YGZ4.1	RecName: Full=Rhodopsin [Dicentrarchus labrax]	1.15e-32
Q9YGZ3.1	RecName: Full=Rhodopsin [Salaria pavo]	1.45e-32
O42327.1	RecName: Full=Rhodopsin [Comephorus dybowskii]	1.46e-32
O42301.1	RecName: Full=Rhodopsin [Batrachocottus nikolskii]	1.61e-32
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	1.62e-32
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	1.81e-32
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	1.88e-32
O42300.1	RecName: Full=Rhodopsin [Batrachocottus multiradiatus]	2.11e-32
Q9DGG4.1	RecName: Full=Rhodopsin [Tetraodon nigroviridis]	2.16e-32
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	2.20e-32
O62794.1	N/A	2.75e-32
P51488.1	RecName: Full=Rhodopsin [Cyprinus carpio]	2.99e-32
O42451.1	RecName: Full=Rhodopsin [Procottus jettelesii]	3.32e-32
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	3.34e-32
P79848.1	RecName: Full=Rhodopsin [Poecilia reticulata]	3.48e-32
O42294.1	RecName: Full=Rhodopsin [Abyssocottus korotneffi]	3.72e-32
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	3.74e-32
P15409.2	N/A	3.89e-32
P79756.1	RecName: Full=Rhodopsin [Gambusia affinis]	4.97e-32
Q95KU1.1	N/A	5.02e-32
O42307.1	RecName: Full=Rhodopsin [Cottinella boulengeri]	5.62e-32
Q28886.1	N/A	6.76e-32
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	7.95e-32
O62791.1	N/A	1.11e-31
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	1.37e-31
P28681.1	N/A	1.89e-31
O18912.2	N/A	2.85e-31
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	3.17e-31
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	3.24e-31
P32310.1	N/A	3.76e-31
P49912.1	N/A	4.06e-31
P51472.1	N/A	4.66e-31
P22331.1	N/A	4.73e-31
Q9YGZ5.1	RecName: Full=Rhodopsin [Solea solea]	4.83e-31
Q9YH01.1	RecName: Full=Rhodopsin [Mullus surmuletus]	5.67e-31
Q9YGZ0.1	RecName: Full=Rhodopsin [Sardina pilchardus]	6.58e-31
P35403.1	RecName: Full=Rhodopsin [Pomatoschistus minutus]	7.19e-31
Q769E8.1	N/A	8.03e-31
O42427.1	RecName: Full=Rhodopsin [Limnocottus bergianus]	8.68e-31
Q8R456.1	N/A	9.25e-31
Q9UHM6.1	N/A	9.96e-31
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	1.05e-30
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	1.21e-30
