2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	6.31e-20
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	7.36e-20
2Z73_A	N/A	1.27e-19
5DYS_A	Chain A, Rhodopsin [Bos taurus]	1.17e-15
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.27e-15
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.74e-15
3C9M_A	Chain A, Rhodopsin [unidentified]	1.94e-15
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	1.95e-15
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.98e-15
6FKB_A	Chain A, Rhodopsin [Bos taurus]	2.00e-15
6FUF_A	Chain A, Rhodopsin [Bos taurus]	2.19e-15
4BEY_A	Chain A, Rhodopsin [Bos taurus]	2.21e-15
6QNO_R	Chain R, Rhodopsin [Bos taurus]	2.74e-15
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	2.75e-15
1F88_A	N/A	2.76e-15
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	2.78e-15
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.01e-12
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.90e-12
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.95e-12
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	3.03e-12
