O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	2.04e-121
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	1.17e-109
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	2.95e-103
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	1.65e-101
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	2.51e-101
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	4.47e-96
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	6.86e-74
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	7.37e-74
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	5.17e-73
Q1JPS6.1	N/A	1.41e-71
Q5YKK9.1	N/A	6.00e-71
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	3.16e-70
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	3.42e-70
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	1.15e-69
O57422.1	N/A	7.43e-69
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	2.03e-67
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	2.16e-66
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	2.80e-66
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	3.49e-66
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	9.59e-66
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	2.23e-65
Q17292.1	N/A	5.85e-65
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	6.29e-65
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	1.17e-64
Q95YI3.1	N/A	2.44e-64
Q8R456.1	N/A	2.86e-64
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	5.07e-64
P35361.1	N/A	5.40e-64
P28678.4	N/A	1.33e-63
Q9UHM6.1	N/A	2.82e-63
P35356.1	RecName: Full=Rhodopsin [Procambarus clarkii]	3.62e-63
P06002.1	N/A	6.14e-63
P28679.3	N/A	1.40e-62
Q9QXZ9.1	N/A	2.12e-62
P08099.1	N/A	2.80e-60
O01668.1	N/A	2.52e-57
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	2.93e-57
P04950.1	N/A	3.24e-57
O61303.1	N/A	2.55e-56
P28680.3	N/A	1.13e-55
O02465.2	RecName: Full=Opsin-2; Short=MANOP2; AltName: Full=Rhodopsin 2, short-wavelength; AltName: Full=Rhodopsin P357 [Manduca sexta]	2.57e-55
O18481.1	RecName: Full=Rhodopsin [Orconectes australis]	4.72e-55
O18485.1	RecName: Full=Rhodopsin [Procambarus orcinus]	8.32e-55
P08255.2	N/A	3.42e-54
O16017.1	RecName: Full=Rhodopsin [Lacunicambarus ludovicianus]	4.78e-54
O18486.1	RecName: Full=Rhodopsin [Procambarus seminolae]	7.89e-54
P29404.2	N/A	9.74e-54
O16019.1	RecName: Full=Rhodopsin [Orconectes virilis]	1.33e-53
P17646.2	RecName: Full=Opsin Rh4; AltName: Full=Inner R7 photoreceptor cells opsin [Drosophila virilis]	1.76e-53
O16020.1	RecName: Full=Rhodopsin [Procambarus milleri]	8.58e-53
O18312.1	RecName: Full=Rhodopsin [Cambarus hubrichti]	3.85e-52
O18315.1	RecName: Full=Rhodopsin [Cambarus maculatus]	7.41e-52
Q26495.1	RecName: Full=Opsin-2 [Schistocerca gregaria]	2.51e-51
O96107.1	RecName: Full=Opsin-3; Short=MANOP3; AltName: Full=Rhodopsin 3, short-wavelength; AltName: Full=Rhodopsin P450 [Manduca sexta]	2.51e-51
P91657.1	N/A	7.11e-51
P90680.2	N/A	5.61e-50
O16018.1	RecName: Full=Rhodopsin [Cambarellus shufeldtii]	8.02e-50
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	1.93e-46
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	5.08e-46
O62798.1	N/A	3.65e-45
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	3.43e-44
