     35 6DRX_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]
     35 6DRY_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]
     35 6DRZ_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]
     57 5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]
     29 6A93_A	Chain A, 5-hydroxytryptamine receptor 2A,Soluble cytochrome b562 [Homo sapiens]
     35 5TUD_A	Chain A, 5-hydroxytryptamine receptor 2B,Soluble cytochrome b562 chimera [Homo sapiens]
     21 6BQG_A	Chain A, 5-hydroxytryptamine receptor 2C,Soluble cytochrome b562 [Homo sapiens]
     13 5UEN_A	Chain A, Adenosine receptor A1,Soluble cytochrome b562,Adenosine receptor A1 [Homo sapiens]
     56 3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]
     54 3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]
     54 5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]
     51 2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]
     28 5IU4_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]
     28 5MZJ_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]
     24 5UIG_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]
     23 6AQF_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]
     23 6JZH_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]
     24 6PS7_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]
     24 4EIY_A	Chain A, Adenosine receptor A2a/Soluble cytochrome b562 chimera [Homo sapiens]
     50 6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]
     49 6KUX_A	Chain A, alpha2A adrenergic receptor [Spodoptera frugiperda]
     37 6KUW_A	Chain A, Alpha-2C adrenergic receptor [Homo sapiens]
     61 6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]
     62 6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]
     60 2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]
     60 4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]
     61 2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]
     60 5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]
     45 6E67_A	Chain A, Beta-2 adrenergic receptor,Endolysin,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,Beta-2 adrenergic receptor chimera [Homo sapiens]
     64 4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]
     62 6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]
     58 3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]
     59 2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]
     59 2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]
     63 4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]
     42 3P0G_A	Chain A, Beta-2 adrenergic receptor, Lysozyme [Escherichia virus T4]
     42 2RH1_A	Chain A, beta-2-adrenergic receptor/T4-lysozyme chimera [Homo sapiens]
     44 3D4S_A	Chain A, Beta-2 adrenergic receptor/T4-lysozyme chimera [Homo sapiens]
     35 5O9H_A	Chain A, C5a anaphylatoxin chemotactic receptor 1 [Homo sapiens]
