NP_001303876.1	opsin 8, group member a [Danio rerio]	0.0
XP_026146098.1	opsin-5-like [Carassius auratus]	0.0
XP_016329718.1	PREDICTED: opsin-5-like [Sinocyclocheilus anshuiensis]	0.0
XP_016391921.1	PREDICTED: opsin-5-like [Sinocyclocheilus rhinocerous]	0.0
XP_030628012.1	opsin-5-like [Chanos chanos]	0.0
XP_017537125.1	PREDICTED: opsin-5-like [Pygocentrus nattereri]	0.0
XP_022523774.1	opsin-5-like [Astyanax mexicanus]	0.0
XP_012680154.1	opsin-5-like [Clupea harengus]	6.25e-169
XP_014000704.1	PREDICTED: opsin-5 [Salmo salar]	6.80e-169
XP_029588766.1	opsin-5-like [Salmo trutta]	1.88e-168
XP_016086323.1	PREDICTED: opsin-5-like [Sinocyclocheilus grahami]	2.83e-167
XP_021468208.1	opsin-5-like [Oncorhynchus mykiss]	2.28e-166
XP_024256049.1	opsin-5-like [Oncorhynchus tshawytscha]	4.16e-166
XP_020352527.1	opsin-5 [Oncorhynchus kisutch]	1.39e-165
XP_014061200.1	PREDICTED: opsin-5-like [Salmo salar]	2.70e-163
XP_029625173.1	opsin-5-like [Salmo trutta]	9.50e-163
XP_018599017.1	opsin-5-like [Scleropages formosus]	2.62e-162
XP_024233377.1	opsin-5-like [Oncorhynchus tshawytscha]	4.25e-162
XP_031656023.1	opsin-5-like [Oncorhynchus kisutch]	5.12e-162
XP_010880465.2	opsin 8, group member a [Esox lucius]	3.16e-160
XP_033505125.1	opsin 8, group member a [Epinephelus lanceolatus]	1.27e-157
XP_023829677.1	opsin-5-like [Salvelinus alpinus]	2.16e-157
XP_032399528.1	opsin-5-like [Etheostoma spectabile]	2.63e-154
XP_027140091.1	opsin-5 [Larimichthys crocea]	8.00e-153
XP_026197604.1	opsin 8, group member a [Anabas testudineus]	1.24e-152
XP_023285747.1	opsin-5-like [Seriola lalandi dorsalis]	2.23e-152
XP_022621029.1	opsin-5-like [Seriola dumerili]	7.51e-152
XP_034756513.1	opsin 8, group member a [Etheostoma cragini]	8.66e-152
