AAT47920.1	rhodopsin, partial [Rossia pacifica]	0.0
AAT47922.1	rhodopsin, partial [Euprymna scolopes]	1.51e-151
AAT48001.1	rhodopsin, partial [Euprymna tasmanica]	1.68e-151
AAS67113.1	rhodopsin, partial [Sepiola sp. JMS-2004]	1.13e-149
ACB05672.1	opsin [Euprymna scolopes]	3.36e-148
ACB05673.1	opsin [Euprymna scolopes]	8.31e-148
AAT48002.1	rhodopsin, partial [Rossia macrosoma]	8.48e-148
AAT48011.1	rhodopsin, partial [Megalocranchia fisheri]	3.88e-145
ACF74447.1	rhodopsin, partial [Afrololigo mercatoris]	8.76e-143
AAC27436.1	rhodopsin, partial [Sepia officinalis]	3.11e-142
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	3.82e-140
AAT47921.1	rhodopsin, partial [Heteroteuthis hawaiiensis]	5.76e-140
AAT48012.1	rhodopsin, partial [Teuthowenia megalops]	9.46e-140
AAT47923.1	rhodopsin, partial [Sepia pharaonis]	1.25e-139
ADT78510.1	rhodopsin [Sepia officinalis]	1.82e-139
AAT48003.1	rhodopsin, partial [Onychoteuthis sp. B3-JMS-2004]	1.84e-139
ADT78511.1	rhodopsin [Sepia officinalis]	2.17e-139
ADT78509.1	rhodopsin [Sepia officinalis]	2.72e-139
AKI33359.1	rhodopsin [Sepia officinalis]	2.00e-137
AAT47912.1	rhodopsin, partial [Pterygioteuthis microlampas]	2.09e-137
ACF74436.1	rhodopsin, partial [Alloteuthis media]	4.73e-137
ACF74444.1	rhodopsin, partial [Alloteuthis subulata]	1.21e-136
AAT47917.1	rhodopsin, partial [Sepioteuthis lessoniana]	1.47e-136
AAS67112.1	rhodopsin, partial [Idiosepius notoides]	2.45e-136
BAR90771.1	rhabdomeric opsin1, partial [Idiosepius paradoxus]	3.69e-136
ACF74419.1	rhodopsin, partial [Alloteuthis africana]	6.10e-136
AAT48006.1	rhodopsin, partial [Abraliopsis pacificus]	7.69e-136
AAT47919.1	rhodopsin, partial [Loliolus sp. JMS-2004]	8.93e-136
QIH29237.1	rhodopsin, partial [Pickfordiateuthis pulchella]	1.20e-135
AAT47915.1	rhodopsin, partial [Lolliguncula brevis]	1.44e-135
AAS67115.1	rhodopsin, partial [Loligo forbesii]	1.59e-135
AAT47918.1	rhodopsin, partial [Photololigo sp. JMS-2004]	1.62e-135
AHA95583.1	rhodopsin, partial [Loligo reynaudii]	2.01e-135
AHA95587.1	rhodopsin, partial [Loligo forbesii]	2.29e-135
AHA95585.1	rhodopsin, partial [Loligo vulgaris]	2.44e-135
AHA95569.1	rhodopsin, partial [Doryteuthis sanpaulensis]	3.08e-135
AAT47924.1	rhodopsin, partial [Metasepia tullbergi]	3.28e-135
QIH29238.1	rhodopsin, partial [Pickfordiateuthis pulchella]	4.72e-135
AHA95579.1	rhodopsin, partial [Doryteuthis opalescens]	6.99e-135
XP_014782988.1	PREDICTED: rhodopsin [Octopus bimaculoides]	1.17e-134
AAT48010.1	rhodopsin, partial [Galiteuthis sp. JMS-2004]	2.44e-134
AAT48005.1	rhodopsin, partial [Histioteuthis oceanica]	3.11e-134
AHA95610.1	rhodopsin, partial [Lolliguncula brevis]	4.31e-134
AHA95574.1	rhodopsin, partial [Doryteuthis pealeii]	7.45e-134
AAT47916.1	rhodopsin, partial [Sepioteuthis australis]	8.40e-134
