1F88_A	N/A	1.47e-35
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.50e-35
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	2.27e-35
6FK6_A	Chain A, Rhodopsin [Bos taurus]	2.37e-35
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	2.41e-35
6FKB_A	Chain A, Rhodopsin [Bos taurus]	2.63e-35
3C9M_A	Chain A, Rhodopsin [unidentified]	3.73e-35
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	3.80e-35
2X72_A	Chain A, Rhodopsin [Bos taurus]	7.65e-35
2Z73_A	N/A	9.51e-35
5DYS_A	Chain A, Rhodopsin [Bos taurus]	1.45e-34
6QNO_R	Chain R, Rhodopsin [Bos taurus]	3.30e-34
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	3.36e-34
4BEY_A	Chain A, Rhodopsin [Bos taurus]	4.49e-34
6FUF_A	Chain A, Rhodopsin [Bos taurus]	2.37e-33
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	2.42e-30
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	3.05e-29
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.08e-29
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.22e-29
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	4.99e-25
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	6.60e-14
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	7.98e-12
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	6.21e-11
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	1.53e-10
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	1.60e-10
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	1.91e-10
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.41e-10
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	3.23e-10
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	7.94e-10
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	9.36e-10
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	9.87e-10
6E67_A	Chain A, Beta-2 adrenergic receptor,Endolysin,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,Beta-2 adrenergic receptor chimera [Homo sapiens]	1.17e-09
3RZE_A	Chain A, Histamine H1 receptor, Lysozyme chimera [Escherichia virus T4]	1.90e-09
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	4.38e-09
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	5.83e-09
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	7.62e-09
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	8.17e-09
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.02e-08
6PRZ_A	Chain A, Fusion protein of Beta-2 adrenergic receptor and T4 Lysozyme [Homo sapiens]	1.98e-08
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	2.05e-08
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	2.12e-08
3D4S_A	Chain A, Beta-2 adrenergic receptor/T4-lysozyme chimera [Homo sapiens]	2.19e-08
3PDS_A	Chain A, Fusion protein Beta-2 adrenergic receptor/Lysozyme [Homo sapiens]	2.29e-08
6TOD_A	Chain A, Orexin receptor type 1 [Homo sapiens]	2.36e-08
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.58e-08
6TO7_A	Chain A, Orexin receptor type 1 [Homo sapiens]	2.86e-08
2RH1_A	Chain A, beta-2-adrenergic receptor/T4-lysozyme chimera [Homo sapiens]	3.34e-08
3P0G_A	Chain A, Beta-2 adrenergic receptor, Lysozyme [Escherichia virus T4]	3.35e-08
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	3.47e-08
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	3.99e-08
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	5.20e-08
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	8.62e-08
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	1.22e-07
6OIK_R	Chain R, Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2 [Homo sapiens]	1.25e-07
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	1.35e-07
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	1.53e-07
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	1.92e-07
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	2.63e-07
6MEO_B	Chain B, C-C chemokine receptor type 5 [Homo sapiens]	2.91e-07
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	5.95e-07
6KPG_R	Chain R, Cannabinoid receptor 1 [Homo sapiens]	6.70e-07
6CM4_A	Chain A, D(2) dopamine receptor, endolysin chimera [Homo sapiens]	7.41e-07
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	8.02e-07
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	8.15e-07
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.91e-06
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.13e-06
6N4B_R	Chain R, Cannabinoid receptor 1 [Homo sapiens]	3.36e-06
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	3.49e-06
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	4.04e-06
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	5.09e-06
5O9H_A	Chain A, C5a anaphylatoxin chemotactic receptor 1 [Homo sapiens]	1.45e-05
4ZJ8_A	Chain A, human OX1R fusion protein to P.abysii glycogen synthase [Homo sapiens]	1.46e-05
6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]	1.59e-05
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	1.76e-05
6C1Q_B	Chain B, Soluble cytochrome b562, C5a anaphylatoxin chemotactic receptor 1 chimera [Escherichia coli]	1.83e-05
6TP3_A	Chain A, Orexin receptor type 1 [Homo sapiens]	2.27e-05
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	3.13e-05
6KUX_A	Chain A, alpha2A adrenergic receptor [Spodoptera frugiperda]	3.44e-05
4YAY_A	Chain A, Soluble cytochrome b562,Type-1 angiotensin II receptor [Escherichia coli]	3.71e-05
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	3.81e-05
