NP_001285859.1	rhodopsin 5, isoform B [Drosophila melanogaster]	0.0
XP_002079172.1	uncharacterized protein Dsimw501_GD23807 [Drosophila simulans]	0.0
XP_033168680.1	opsin Rh5 [Drosophila mauritiana]	0.0
XP_032570220.1	opsin Rh5 [Drosophila sechellia]	0.0
XP_002088425.1	uncharacterized protein Dyak_GE18562 [Drosophila yakuba]	0.0
AAB38966.1	opsin [Drosophila melanogaster]	0.0
XP_017011989.1	PREDICTED: opsin Rh5 [Drosophila takahashii]	0.0
XP_001969784.1	opsin Rh5 [Drosophila erecta]	0.0
XP_017065517.1	PREDICTED: opsin Rh5 [Drosophila eugracilis]	0.0
XP_016964182.1	PREDICTED: opsin Rh5 [Drosophila biarmipes]	0.0
XP_017099873.1	PREDICTED: opsin Rh5 [Drosophila bipectinata]	0.0
XP_001962502.1	opsin Rh5 [Drosophila ananassae]	0.0
XP_017049082.1	PREDICTED: opsin Rh5 [Drosophila ficusphila]	0.0
XP_017115902.1	PREDICTED: opsin Rh5 [Drosophila elegans]	0.0
XP_016945665.1	PREDICTED: opsin Rh5 [Drosophila suzukii]	0.0
XP_016977806.1	PREDICTED: opsin Rh5 [Drosophila rhopaloa]	0.0
XP_017032999.1	PREDICTED: opsin Rh5 [Drosophila kikkawai]	0.0
XP_022221312.1	opsin Rh5 [Drosophila obscura]	0.0
XP_034668312.1	opsin Rh5 [Drosophila subobscura]	0.0
XP_034128362.1	opsin Rh5 [Drosophila guanche]	0.0
XP_001357162.1	opsin Rh5 [Drosophila pseudoobscura]	0.0
XP_033249241.1	opsin Rh5 [Drosophila miranda]	0.0
XP_002020861.1	opsin Rh5 [Drosophila persimilis]	0.0
XP_020809322.1	LOW QUALITY PROTEIN: opsin Rh5 [Drosophila serrata]	0.0
XP_002064582.2	opsin Rh5 [Drosophila willistoni]	0.0
XP_002052352.1	opsin Rh5 [Drosophila virilis]	0.0
XP_030557036.1	opsin Rh5 [Drosophila novamexicana]	0.0
XP_023164905.1	opsin Rh5 [Drosophila hydei]	0.0
XP_017860242.1	PREDICTED: opsin Rh5 [Drosophila arizonae]	0.0
XP_030239635.1	opsin Rh5 [Drosophila navojoa]	0.0
XP_002002075.1	opsin Rh5 [Drosophila mojavensis]	0.0
XP_034119732.1	opsin Rh5 [Drosophila albomicans]	0.0
XP_034473175.1	opsin Rh5 [Drosophila innubila]	0.0
XP_001993385.1	opsin Rh5 [Drosophila grimshawi]	0.0
XP_030384580.1	opsin Rh5 [Scaptodrosophila lebanonensis]	0.0
XP_017854329.1	opsin Rh5 [Drosophila busckii]	0.0
TMW52886.1	hypothetical protein DOY81_002032 [Sarcophaga bullata]	2.16e-177
XP_023304937.1	opsin Rh5 [Lucilia cuprina]	1.01e-176
XP_013117651.1	PREDICTED: opsin Rh5 [Stomoxys calcitrans]	1.79e-176
CAI47589.1	rhodopsin 5 [Calliphora vicina]	9.65e-175
XP_005175090.1	PREDICTED: opsin Rh5 [Musca domestica]	2.96e-171
KFB42411.1	AGAP010089-PA-like protein [Anopheles sinensis]	2.82e-153
XP_022127929.1	opsin-3-like [Pieris rapae]	2.16e-148
XP_001662982.2	opsin-3 [Aedes aegypti]	1.31e-147
AAU07977.1	blue opsin [Danaus plexippus]	1.41e-147
XP_032520522.1	opsin-3 [Danaus plexippus plexippus]	1.92e-147
BAE19946.1	opsin [Pieris rapae]	2.10e-147
OWR44619.1	blue opsin [Danaus plexippus plexippus]	5.47e-147
XP_029717656.1	opsin-3-like [Aedes albopictus]	5.48e-147
KXJ72330.1	hypothetical protein RP20_CCG018340 [Aedes albopictus]	7.52e-147
ABY84503.1	blue-sensitive rhodopsin [Danaus gilippus]	7.84e-147
XP_029717700.1	opsin-3-like [Aedes albopictus]	8.48e-147
BAM66999.1	B-sensitive opsin [Eurema hecabe]	1.12e-146
BAM95291.1	B-sensitive opsin [Leptidea amurensis]	1.66e-146
BAM95294.1	B-sensitive opsin [Anthocharis scolymus]	2.59e-146
BAM66995.1	B-sensitive opsin [Colias erate]	3.51e-146
VVC96331.1	unnamed protein product [Leptidea sinapis]	2.21e-145
BAM67007.1	B-sensitive opsin [Gonepteryx rhamni]	3.96e-145
XP_319247.1	AGAP010089-PA, partial [Anopheles gambiae str. PEST]	2.34e-144
QBA17045.1	blue sensitive opsin [Grapholita molesta]	3.71e-143
XP_013140256.1	PREDICTED: opsin-3 [Papilio polytes]	4.15e-143
ETN65881.1	ultraviolet-sensitive opsin [Anopheles darlingi]	9.80e-143
BAP11274.1	B-sensitive opsin [Atrophaneura alcinous]	1.22e-142
XP_024873013.1	opsin, blue-sensitive [Temnothorax curvispinosus]	1.39e-142
AHA48171.1	blue opsin [Mamestra brassicae]	4.54e-142
XP_020287744.1	opsin, blue-sensitive [Pseudomyrmex gracilis]	4.61e-142
NP_001292410.1	opsin-3 [Plutella xylostella]	4.73e-142
BAM67008.1	violet-sensitive opsin 1 [Gonepteryx rhamni]	5.44e-142
AAY16527.1	blue-sensitive visual pigment [Bicyclus anynana]	7.54e-142
KPJ12358.1	Opsin-3 [Papilio machaon]	1.28e-141
AAD34223.1	rhodopsin [Papilio glaucus]	1.39e-141
BAH57293.1	violet-sensitive opsin 1 [Colias erate]	1.53e-141
NP_001303950.1	opsin-3 [Papilio machaon]	1.54e-141
XP_023946230.1	opsin-3-like [Bicyclus anynana]	1.93e-141
XP_014472638.1	PREDICTED: opsin, blue-sensitive isoform X1 [Dinoponera quadriceps]	2.31e-141
XP_017884555.1	opsin, blue-sensitive [Ceratina calcarata]	2.40e-141
BAM67009.1	violet-sensitive opsin 2 [Gonepteryx rhamni]	3.58e-141
XP_001863546.1	opsin-2 [Culex quinquefasciatus]	3.99e-141
BAP11264.1	B-sensitive opsin [Graphium sarpedon]	4.52e-141
BAP11284.1	B-sensitive opsin [Papilio anactus]	4.58e-141
