Gene Species Taxon Signature
0 NP_001016013.1_RPE-retinal_G_protein-coupled_receptor_Xenopus_tropicalis NP_001016013.1_RPE-retinal_G_protein-coupled_receptor_Xenopus_tropicalis 0.00401733070162
0 RDD36548.1_Galanin_receptor_type_2_Trichoplax_sp._H2 RDD36548.1_Galanin_receptor_type_2_Trichoplax_sp._H2 0.00649210400265
0 XP_006034167.1_olfactory_receptor_6A2-like_Alligator_sinensis XP_006034167.1_olfactory_receptor_6A2-like_Alligator_sinensis 0.00649210400265
0 QBK51052.1_RH2A-alpha_partial_Cichla_vazzoleri QBK51052.1_RH2A-alpha_partial_Cichla_vazzoleri 0.00467218031813
0 KAF1373756.1_hypothetical_protein_PFLUV_G00242250_Perca_fluviatilis KAF1373756.1_hypothetical_protein_PFLUV_G00242250_Perca_fluviatilis 0.0157029906177
0 tr|A0A182YHS5|A0A182YHS5_ANOST_Uncharacterized_protein_OS_Anopheles_stephensi_OX_30069_PE_4_SV_1 tr|A0A182YHS5|A0A182YHS5_ANOST_Uncharacterized_protein_OS_Anopheles_stephensi_OX_30069_PE_4_SV_1 0.0445652409821
0 KAF3704304.1_RPE-retinal_G_protein-coupled_receptor_Channa_argus KAF3704304.1_RPE-retinal_G_protein-coupled_receptor_Channa_argus 0.0157029906177
0 XP_002589967.1_hypothetical_protein_BRAFLDRAFT_81603_Branchiostoma_floridae XP_002589967.1_hypothetical_protein_BRAFLDRAFT_81603_Branchiostoma_floridae 0.00649210400265
0 XP_012561250.1_PREDICTED_opsin-3-like_Hydra_vulgaris XP_012561250.1_PREDICTED_opsin-3-like_Hydra_vulgaris 0.00663509319551
0 XP_003769272.1_olfactory_receptor_14A2-like_Sarcophilus_harrisii XP_003769272.1_olfactory_receptor_14A2-like_Sarcophilus_harrisii 0.00649210400265
0 XP_005043974.2_PREDICTED_G-protein_coupled_receptor_6_Ficedula_albicollis XP_005043974.2_PREDICTED_G-protein_coupled_receptor_6_Ficedula_albicollis 0.00649210400265
0 XP_028991024.1_RPE-retinal_G_protein-coupled_receptor-like_Betta_splendens XP_028991024.1_RPE-retinal_G_protein-coupled_receptor-like_Betta_splendens 0.0157029906177
0 tr|A0A3B3BLY7|A0A3B3BLY7_ORYME_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Oryzias_melastigma_OX_30732_PE_3_SV_1 tr|A0A3B3BLY7|A0A3B3BLY7_ORYME_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Oryzias_melastigma_OX_30732_PE_3_SV_1 0.0157029906177
0 KJH43103.1_hypothetical_protein_DICVIV_10905_Dictyocaulus_viviparus KJH43103.1_hypothetical_protein_DICVIV_10905_Dictyocaulus_viviparus 0.0157029906177
0 NP_001274719.1_uncharacterized_protein_LOC101236169_Hydra_vulgaris NP_001274719.1_uncharacterized_protein_LOC101236169_Hydra_vulgaris 0.00401733070162
0 VDN40900.1_unnamed_protein_product_partial_Dibothriocephalus_latus VDN40900.1_unnamed_protein_product_partial_Dibothriocephalus_latus 0.0379838585829
0 NP_001000606.1_olfactory_receptor_Olr780_Rattus_norvegicus NP_001000606.1_olfactory_receptor_Olr780_Rattus_norvegicus 0.00649210400265
0 XP_033957094.1_retinal_G_protein_coupled_receptor_a_Pseudochaenichthys_georgianus XP_033957094.1_retinal_G_protein_coupled_receptor_a_Pseudochaenichthys_georgianus 0.00401733070162
0 XP_004680742.1_PREDICTED_RPE-retinal_G_protein-coupled_receptor_Condylura_cristata XP_004680742.1_PREDICTED_RPE-retinal_G_protein-coupled_receptor_Condylura_cristata 0.0157029906177
0 XP_029878589.1_olfactory_receptor_14I1-like_Aquila_chrysaetos_chrysaetos XP_029878589.1_olfactory_receptor_14I1-like_Aquila_chrysaetos_chrysaetos 0.00649210400265
0 BispiraSerrataCDS_TRINITY_DN62132_c0_g1_i1|ORF1 BispiraSerrataCDS_TRINITY_DN62132_c0_g1_i1|ORF1 0.026864710051
0 XP_028845411.1_RPE-retinal_G_protein-coupled_receptor-like_Denticeps_clupeoides XP_028845411.1_RPE-retinal_G_protein-coupled_receptor-like_Denticeps_clupeoides 0.0157029906177
0 XP_002114657.1_hypothetical_protein_TRIADDRAFT_58722_Trichoplax_adhaerens XP_002114657.1_hypothetical_protein_TRIADDRAFT_58722_Trichoplax_adhaerens 0.00649210400265
0 XP_015414152.1_PREDICTED_RPE-retinal_G_protein-coupled_receptor_isoform_X2_Myotis_davidii XP_015414152.1_PREDICTED_RPE-retinal_G_protein-coupled_receptor_isoform_X2_Myotis_davidii 0.0157029906177
0 EDW45872.1_GM26698_Drosophila_sechellia EDW45872.1_GM26698_Drosophila_sechellia 0.00739791420401
0 XP_033110598.1_adenosine_receptor_A2b-like_Anneissia_japonica XP_033110598.1_adenosine_receptor_A2b-like_Anneissia_japonica 0.00649210400265
0 Pseudobranchiomma_cf_schizogenica_TRINITY_DN39426_c0_g1_i1|ORF1 Pseudobranchiomma_cf_schizogenica_TRINITY_DN39426_c0_g1_i1|ORF1 0.00663509319551
0 JAN23723.1_Class_a_rhodopsin_g-protein_coupled_receptor_gprop1_Daphnia_magna JAN23723.1_Class_a_rhodopsin_g-protein_coupled_receptor_gprop1_Daphnia_magna 0.00467218031813
0 JAQ59454.1_G-protein_coupled_receptor_22_putative_partial_Fundulus_heteroclitus JAQ59454.1_G-protein_coupled_receptor_22_putative_partial_Fundulus_heteroclitus 0.0445652409821
0 XP_004698495.1_olfactory_receptor_6S1_Echinops_telfairi XP_004698495.1_olfactory_receptor_6S1_Echinops_telfairi 0.00663509319551
0 RDD36781.1_rhodopsin_Trichoplax_sp._H2 RDD36781.1_rhodopsin_Trichoplax_sp._H2 0.00649210400265
