6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	3.97e-13
6FUF_A	Chain A, Rhodopsin [Bos taurus]	5.98e-13
6FKB_A	Chain A, Rhodopsin [Bos taurus]	6.44e-13
6FK6_A	Chain A, Rhodopsin [Bos taurus]	7.20e-13
6QNO_R	Chain R, Rhodopsin [Bos taurus]	9.03e-13
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	9.07e-13
3C9M_A	Chain A, Rhodopsin [unidentified]	9.47e-13
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	9.51e-13
1F88_A	N/A	1.10e-12
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.11e-12
5DYS_A	Chain A, Rhodopsin [Bos taurus]	1.12e-12
4BEY_A	Chain A, Rhodopsin [Bos taurus]	1.43e-12
2X72_A	Chain A, Rhodopsin [Bos taurus]	2.38e-12
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	2.25e-10
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.75e-09
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	2.90e-09
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	2.94e-09
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.04e-09
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	3.06e-09
2Z73_A	N/A	4.19e-09
