Gene Species Taxon Signature
0 RDD36548.1_Galanin_receptor_type_2_Trichoplax_sp._H2 RDD36548.1_Galanin_receptor_type_2_Trichoplax_sp._H2 0.000853148166796
0 XP_006034167.1_olfactory_receptor_6A2-like_Alligator_sinensis XP_006034167.1_olfactory_receptor_6A2-like_Alligator_sinensis 0.0334986898393
0 XP_030613321.1_trace_amine-associated_receptor_13c-like_Archocentrus_centrarchus XP_030613321.1_trace_amine-associated_receptor_13c-like_Archocentrus_centrarchus 0.00287504170135
0 XP_029010871.1_trace_amine-associated_receptor_13c-like_Betta_splendens XP_029010871.1_trace_amine-associated_receptor_13c-like_Betta_splendens 0.00287504170135
0 XP_032872226.1_P2Y_purinoceptor_3-like_Amblyraja_radiata XP_032872226.1_P2Y_purinoceptor_3-like_Amblyraja_radiata 0.00174804648021
0 XP_002112966.1_hypothetical_protein_TRIADDRAFT_56625_Trichoplax_adhaerens XP_002112966.1_hypothetical_protein_TRIADDRAFT_56625_Trichoplax_adhaerens 0.00287504170135
0 XP_026231444.1_trace_amine-associated_receptor_8a-like_partial_Anabas_testudineus XP_026231444.1_trace_amine-associated_receptor_8a-like_partial_Anabas_testudineus 0.00287504170135
0 tr|A0A668TJU5|A0A668TJU5_OREAU_Uncharacterized_protein_OS_Oreochromis_aureus_OX_47969_PE_4_SV_1 tr|A0A668TJU5|A0A668TJU5_OREAU_Uncharacterized_protein_OS_Oreochromis_aureus_OX_47969_PE_4_SV_1 0.00287504170135
0 RDD40459.1_rhodopsin_Trichoplax_sp._H2 RDD40459.1_rhodopsin_Trichoplax_sp._H2 0.00174804648021
0 XP_002112486.1_hypothetical_protein_TRIADDRAFT_56556_Trichoplax_adhaerens XP_002112486.1_hypothetical_protein_TRIADDRAFT_56556_Trichoplax_adhaerens 0.00287504170135
0 tr|A0A667WYF5|A0A667WYF5_9TELE_Uncharacterized_protein_OS_Myripristis_murdjan_OX_586833_GN_LOC115380102_PE_4_SV_1 tr|A0A667WYF5|A0A667WYF5_9TELE_Uncharacterized_protein_OS_Myripristis_murdjan_OX_586833_GN_LOC115380102_PE_4_SV_1 0.00287504170135
0 XP_027016324.1_trace_amine-associated_receptor_13c-like_Tachysurus_fulvidraco XP_027016324.1_trace_amine-associated_receptor_13c-like_Tachysurus_fulvidraco 0.00174804648021
0 tr|A0A369RPJ8|A0A369RPJ8_9METZ_Somatostatin_receptor_type_4_OS_Trichoplax_sp._H2_OX_287889_GN_TrispH2_011801_PE_4_SV_1 tr|A0A369RPJ8|A0A369RPJ8_9METZ_Somatostatin_receptor_type_4_OS_Trichoplax_sp._H2_OX_287889_GN_TrispH2_011801_PE_4_SV_1 0.000853148166796
0 XP_025917749.1_olfactory_receptor_14J1-like_Apteryx_rowi XP_025917749.1_olfactory_receptor_14J1-like_Apteryx_rowi 0.0334986898393
0 XP_026231440.1_trace_amine-associated_receptor_4-like_Anabas_testudineus XP_026231440.1_trace_amine-associated_receptor_4-like_Anabas_testudineus 0.00287504170135
0 XP_012891808.1_PREDICTED_LOW_QUALITY_PROTEIN_olfactory_receptor_4K3-like_Dipodomys_ordii XP_012891808.1_PREDICTED_LOW_QUALITY_PROTEIN_olfactory_receptor_4K3-like_Dipodomys_ordii 0.0334986898393
0 tr|F6SIL7|F6SIL7_XENTR_Adenosine_receptor_A3_OS_Xenopus_tropicalis_OX_8364_PE_3_SV_2 tr|F6SIL7|F6SIL7_XENTR_Adenosine_receptor_A3_OS_Xenopus_tropicalis_OX_8364_PE_3_SV_2 0.00174804648021
0 XP_020668182.1_C-X-C_chemokine_receptor_type_3-2-like_Pogona_vitticeps XP_020668182.1_C-X-C_chemokine_receptor_type_3-2-like_Pogona_vitticeps 0.00174804648021
0 tr|A0A3P8Z7G9|A0A3P8Z7G9_ESOLU_Sphingosine-1-phosphate_receptor_5b_OS_Esox_lucius_OX_8010_PE_3_SV_1 tr|A0A3P8Z7G9|A0A3P8Z7G9_ESOLU_Sphingosine-1-phosphate_receptor_5b_OS_Esox_lucius_OX_8010_PE_3_SV_1 0.00174804648021
0 ELW65957.1_RPE-retinal_G_protein-coupled_receptor_Tupaia_chinensis ELW65957.1_RPE-retinal_G_protein-coupled_receptor_Tupaia_chinensis 0.00256019997382
0 RDD39663.1_Tachykinin-like_peptides_receptor_99D_Trichoplax_sp._H2 RDD39663.1_Tachykinin-like_peptides_receptor_99D_Trichoplax_sp._H2 0.00174804648021
0 tr|A0A3B4C3L1|A0A3B4C3L1_PYGNA_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Pygocentrus_nattereri_OX_42514_PE_3_SV_1 tr|A0A3B4C3L1|A0A3B4C3L1_PYGNA_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Pygocentrus_nattereri_OX_42514_PE_3_SV_1 0.000731020453807
0 XP_029139683.1_olfactory_receptor_14C36-like_partial_Protobothrops_mucrosquamatus XP_029139683.1_olfactory_receptor_14C36-like_partial_Protobothrops_mucrosquamatus 0.0334986898393
0 RDD37899.1_Rhodopsin_GQ-coupled_Trichoplax_sp._H2 RDD37899.1_Rhodopsin_GQ-coupled_Trichoplax_sp._H2 0.00174804648021
0 XP_023248727.1_P2Y_purinoceptor_1-like_Seriola_lalandi_dorsalis XP_023248727.1_P2Y_purinoceptor_1-like_Seriola_lalandi_dorsalis 0.00174804648021
0 RDD46331.1_Neuromedin-K_receptor_Trichoplax_sp._H2 RDD46331.1_Neuromedin-K_receptor_Trichoplax_sp._H2 0.00174804648021
0 tr|A0A3B4CRZ5|A0A3B4CRZ5_PYGNA_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Pygocentrus_nattereri_OX_42514_PE_3_SV_1 tr|A0A3B4CRZ5|A0A3B4CRZ5_PYGNA_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Pygocentrus_nattereri_OX_42514_PE_3_SV_1 0.00182336917024
0 XP_028992082.1_trace_amine-associated_receptor_13c-like_Betta_splendens XP_028992082.1_trace_amine-associated_receptor_13c-like_Betta_splendens 0.00287504170135
0 KAF3696457.1_Trace_amine-associated_receptor_7a_Channa_argus KAF3696457.1_Trace_amine-associated_receptor_7a_Channa_argus 0.00287504170135
0 tr|A0A3P9J1T2|A0A3P9J1T2_ORYLA_C-X-C_motif_chemokine_receptor_3_OS_Oryzias_latipes_OX_8090_GN_CXCR3_1_of_many_PE_3_SV_1 tr|A0A3P9J1T2|A0A3P9J1T2_ORYLA_C-X-C_motif_chemokine_receptor_3_OS_Oryzias_latipes_OX_8090_GN_CXCR3_1_of_many_PE_3_SV_1 0.00174804648021
0 GCC35160.1_hypothetical_protein_chiPu_0013642_Chiloscyllium_punctatum GCC35160.1_hypothetical_protein_chiPu_0013642_Chiloscyllium_punctatum 0.00174804648021
0 tr|A0A369RQR5|A0A369RQR5_9METZ_Neuropeptide_Y_receptor_type_1_OS_Trichoplax_sp._H2_OX_287889_GN_TrispH2_011629_PE_4_SV_1 tr|A0A369RQR5|A0A369RQR5_9METZ_Neuropeptide_Y_receptor_type_1_OS_Trichoplax_sp._H2_OX_287889_GN_TrispH2_011629_PE_4_SV_1 0.00174804648021
0 RDD37916.1_Neuropeptide_Y_receptor_type_1_Trichoplax_sp._H2 RDD37916.1_Neuropeptide_Y_receptor_type_1_Trichoplax_sp._H2 0.00174804648021
0 tr|A0A369RYF2|A0A369RYF2_9METZ_5-hydroxytryptamine_receptor_1D_OS_Trichoplax_sp._H2_OX_287889_GN_TrispH2_010326_PE_3_SV_1 tr|A0A369RYF2|A0A369RYF2_9METZ_5-hydroxytryptamine_receptor_1D_OS_Trichoplax_sp._H2_OX_287889_GN_TrispH2_010326_PE_3_SV_1 0.00287504170135
0 XP_015994350.1_PREDICTED_olfactory_receptor_1D2_Rousettus_aegyptiacus XP_015994350.1_PREDICTED_olfactory_receptor_1D2_Rousettus_aegyptiacus 0.00287504170135
0 XP_004713097.1_RPE-retinal_G_protein-coupled_receptor_Echinops_telfairi XP_004713097.1_RPE-retinal_G_protein-coupled_receptor_Echinops_telfairi 0.00287504170135
0 XP_018965251.1_PREDICTED_sphingosine_1-phosphate_receptor_3-like_Cyprinus_carpio XP_018965251.1_PREDICTED_sphingosine_1-phosphate_receptor_3-like_Cyprinus_carpio 0.00182336917024
0 XP_002117836.1_hypothetical_protein_TRIADDRAFT_61883_Trichoplax_adhaerens XP_002117836.1_hypothetical_protein_TRIADDRAFT_61883_Trichoplax_adhaerens 0.00174804648021
0 RLV62107.1_hypothetical_protein_DV515_00019665_Erythrura_gouldiae RLV62107.1_hypothetical_protein_DV515_00019665_Erythrura_gouldiae 0.00174804648021
0 tr|A0A2K6FQ68|A0A2K6FQ68_PROCO_Succinate_receptor_1_OS_Propithecus_coquereli_OX_379532_GN_SUCNR1_PE_3_SV_1 tr|A0A2K6FQ68|A0A2K6FQ68_PROCO_Succinate_receptor_1_OS_Propithecus_coquereli_OX_379532_GN_SUCNR1_PE_3_SV_1 0.00174804648021
0 tr|A0A673B366|A0A673B366_9TELE_Uncharacterized_protein_OS_Sphaeramia_orbicularis_OX_375764_GN_LOC115412431_PE_4_SV_1 tr|A0A673B366|A0A673B366_9TELE_Uncharacterized_protein_OS_Sphaeramia_orbicularis_OX_375764_GN_LOC115412431_PE_4_SV_1 0.00287504170135
0 XP_011894704.1_PREDICTED_olfactory_receptor_2Z1_Cercocebus_atys XP_011894704.1_PREDICTED_olfactory_receptor_2Z1_Cercocebus_atys 0.0334986898393
0 XP_004389951.1_RPE-retinal_G_protein-coupled_receptor_isoform_X3_Trichechus_manatus_latirostris XP_004389951.1_RPE-retinal_G_protein-coupled_receptor_isoform_X3_Trichechus_manatus_latirostris 0.00256019997382
0 XP_018951064.1_PREDICTED_trace_amine-associated_receptor_13c-like_Cyprinus_carpio XP_018951064.1_PREDICTED_trace_amine-associated_receptor_13c-like_Cyprinus_carpio 0.00287504170135
0 XP_003769272.1_olfactory_receptor_14A2-like_Sarcophilus_harrisii XP_003769272.1_olfactory_receptor_14A2-like_Sarcophilus_harrisii 0.0334986898393
0 XP_006901086.1_PREDICTED_RPE-retinal_G_protein-coupled_receptor_Elephantulus_edwardii XP_006901086.1_PREDICTED_RPE-retinal_G_protein-coupled_receptor_Elephantulus_edwardii 0.00373628326703
0 XP_009082705.1_PREDICTED_proteinase-activated_receptor_1_partial_Acanthisitta_chloris XP_009082705.1_PREDICTED_proteinase-activated_receptor_1_partial_Acanthisitta_chloris 0.00174804648021
0 XP_013361807.1_PREDICTED_olfactory_receptor_4D11-like_Chinchilla_lanigera XP_013361807.1_PREDICTED_olfactory_receptor_4D11-like_Chinchilla_lanigera 0.0334986898393
0 XP_026173721.1_C-X-C_chemokine_receptor_type_3-2-like_isoform_X1_Mastacembelus_armatus XP_026173721.1_C-X-C_chemokine_receptor_type_3-2-like_isoform_X1_Mastacembelus_armatus 0.000853148166796
0 tr|A0A3Q2PEZ5|A0A3Q2PEZ5_FUNHE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Fundulus_heteroclitus_OX_8078_PE_3_SV_1 tr|A0A3Q2PEZ5|A0A3Q2PEZ5_FUNHE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Fundulus_heteroclitus_OX_8078_PE_3_SV_1 0.00182336917024
0 tr|A0A3B5A9Q2|A0A3B5A9Q2_9TELE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Stegastes_partitus_OX_144197_PE_3_SV_1 tr|A0A3B5A9Q2|A0A3B5A9Q2_9TELE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Stegastes_partitus_OX_144197_PE_3_SV_1 0.00287504170135
0 XP_026229808.1_chemokine_XC_receptor_1-like_Anabas_testudineus XP_026229808.1_chemokine_XC_receptor_1-like_Anabas_testudineus 0.00199537060445
0 XP_023441323.1_olfactory_receptor_4C12-like_partial_Dasypus_novemcinctus XP_023441323.1_olfactory_receptor_4C12-like_partial_Dasypus_novemcinctus 0.0334986898393
0 KAF3694464.1_Trace_amine-associated_receptor_13c_Channa_argus KAF3694464.1_Trace_amine-associated_receptor_13c_Channa_argus 0.00287504170135
0 KAB0404893.1_hypothetical_protein_E2I00_006669_partial_Balaenoptera_physalus KAB0404893.1_hypothetical_protein_E2I00_006669_partial_Balaenoptera_physalus 0.00105986807017
0 XP_006743029.1_RPE-retinal_G_protein-coupled_receptor_isoform_X1_Leptonychotes_weddellii XP_006743029.1_RPE-retinal_G_protein-coupled_receptor_isoform_X1_Leptonychotes_weddellii 0.000451268806223
0 tr|A0A672HVE9|A0A672HVE9_SALFA_Uncharacterized_protein_OS_Salarias_fasciatus_OX_181472_GN_LOC115403152_PE_4_SV_1 tr|A0A672HVE9|A0A672HVE9_SALFA_Uncharacterized_protein_OS_Salarias_fasciatus_OX_181472_GN_LOC115403152_PE_4_SV_1 0.00287504170135
0 SBS01924.1_chemokine_C-X-C_motif_receptor_3.2_Nothobranchius_rachovii SBS01924.1_chemokine_C-X-C_motif_receptor_3.2_Nothobranchius_rachovii 0.00174804648021
