P47804.1	N/A	1.27e-97
P47803.1	N/A	5.41e-95
Q9Z2B3.1	N/A	9.44e-95
O14718.1	N/A	4.61e-20
O35214.1	N/A	1.24e-19
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	2.30e-16
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	3.10e-16
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	7.40e-16
P41592.1	N/A	1.73e-15
O12948.1	N/A	3.97e-15
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	4.51e-15
P22331.1	N/A	7.89e-15
O42266.1	N/A	9.13e-15
O61303.1	N/A	1.02e-14
P08255.2	N/A	1.69e-14
P29404.2	N/A	1.83e-14
P22332.2	N/A	1.89e-14
O18912.2	N/A	3.14e-14
Q9W6A7.1	N/A	3.17e-14
P22329.1	N/A	4.92e-14
O18913.2	N/A	5.11e-14
Q9R024.1	N/A	8.25e-14
P04000.1	RecName: Full=Long-wave-sensitive opsin 1; AltName: Full=Red cone photoreceptor pigment; AltName: Full=Red-sensitive opsin; Short=ROP [Homo sapiens]	9.61e-14
O35478.2	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin; AltName: Full=Medium wavelength-sensitive cone opsin [Sciurus carolinensis]	9.79e-14
P17646.2	RecName: Full=Opsin Rh4; AltName: Full=Inner R7 photoreceptor cells opsin [Drosophila virilis]	9.81e-14
P08099.1	N/A	1.08e-13
P04950.1	N/A	1.12e-13
P22330.1	RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1 [Psalidodon fasciatus]	1.22e-13
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	1.31e-13
Q9BGI7.1	N/A	1.41e-13
Q8AYN0.1	RecName: Full=Red-sensitive opsin-2; AltName: Full=Opsin-1, long-wave-sensitive 2; Short=Opsin LWS-2; AltName: Full=Red cone photoreceptor pigment 2 [Danio rerio]	1.63e-13
O18910.2	N/A	1.84e-13
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	2.54e-13
P32313.1	RecName: Full=Red-sensitive opsin; AltName: Full=Red cone photoreceptor pigment [Carassius auratus]	2.97e-13
P28679.3	N/A	3.12e-13
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	3.74e-13
Q95170.1	N/A	3.86e-13
P87367.1	N/A	4.64e-13
O18914.2	N/A	4.85e-13
P34989.1	RecName: Full=Opsin, longwave 563 nm [Callithrix jacchus]	5.47e-13
O02465.2	RecName: Full=Opsin-2; Short=MANOP2; AltName: Full=Rhodopsin 2, short-wavelength; AltName: Full=Rhodopsin P357 [Manduca sexta]	6.08e-13
P28680.3	N/A	1.00e-12
Q1JPS6.1	N/A	1.03e-12
O13018.1	N/A	1.20e-12
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	2.09e-12
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	2.10e-12
O35476.2	N/A	2.71e-12
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	2.80e-12
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	3.03e-12
P04001.1	N/A	3.78e-12
P35358.1	RecName: Full=Green-sensitive opsin P521; AltName: Full=Green photoreceptor pigment [Gekko gecko]	6.26e-12
P02699.1	N/A	6.52e-12
O35599.1	N/A	6.71e-12
Q769E8.1	N/A	7.03e-12
Q6VZZ7.1	N/A	8.27e-12
P49912.1	N/A	1.47e-11
P90680.2	N/A	1.52e-11
Q17292.1	N/A	2.73e-11
