O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	8.82e-18
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	1.77e-14
O18914.2	N/A	1.29e-13
O42266.1	N/A	3.08e-13
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	6.84e-13
O18913.2	N/A	7.37e-13
Q9R024.1	N/A	1.05e-12
P35361.1	N/A	1.26e-12
P34989.1	RecName: Full=Opsin, longwave 563 nm [Callithrix jacchus]	2.05e-12
P22332.2	N/A	3.04e-12
O18912.2	N/A	4.96e-12
O13018.1	N/A	7.23e-12
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	1.11e-11
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	1.39e-11
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	1.42e-11
O35478.2	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin; AltName: Full=Medium wavelength-sensitive cone opsin [Sciurus carolinensis]	1.46e-11
Q9BGI7.1	N/A	1.63e-11
P04001.1	N/A	1.79e-11
P41592.1	N/A	1.86e-11
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	2.18e-11
P04000.1	RecName: Full=Long-wave-sensitive opsin 1; AltName: Full=Red cone photoreceptor pigment; AltName: Full=Red-sensitive opsin; Short=ROP [Homo sapiens]	2.77e-11
O18910.2	N/A	3.70e-11
Q95170.1	N/A	4.62e-11
P32313.1	RecName: Full=Red-sensitive opsin; AltName: Full=Red cone photoreceptor pigment [Carassius auratus]	7.54e-11
P87367.1	N/A	8.05e-11
O35476.2	N/A	1.45e-10
Q17292.1	N/A	1.74e-10
P02699.1	N/A	1.89e-10
O35599.1	N/A	1.94e-10
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	1.95e-10
P35358.1	RecName: Full=Green-sensitive opsin P521; AltName: Full=Green photoreceptor pigment [Gekko gecko]	2.00e-10
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	2.51e-10
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	2.52e-10
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	3.38e-10
P22329.1	N/A	5.25e-10
P22330.1	RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1 [Psalidodon fasciatus]	5.82e-10
P52202.1	N/A	7.05e-10
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	7.25e-10
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	7.62e-10
Q9YGZ5.1	RecName: Full=Rhodopsin [Solea solea]	8.28e-10
Q9YGZ4.1	RecName: Full=Rhodopsin [Dicentrarchus labrax]	9.59e-10
P41590.1	N/A	1.24e-09
O12948.1	N/A	1.26e-09
P28683.1	N/A	1.36e-09
P51471.1	N/A	1.44e-09
Q8AYN0.1	RecName: Full=Red-sensitive opsin-2; AltName: Full=Opsin-1, long-wave-sensitive 2; Short=Opsin LWS-2; AltName: Full=Red cone photoreceptor pigment 2 [Danio rerio]	1.59e-09
P51488.1	RecName: Full=Rhodopsin [Cyprinus carpio]	1.77e-09
Q9W6A7.1	N/A	1.84e-09
P22331.1	N/A	2.28e-09
P28681.1	N/A	2.54e-09
O14718.1	N/A	2.93e-09
Q9H1Y3.1	N/A	3.38e-09
P28679.3	N/A	4.51e-09
P08099.1	N/A	4.51e-09
O35214.1	N/A	4.64e-09
Q9YH00.1	RecName: Full=Rhodopsin [Lithognathus mormyrus]	5.02e-09
P51472.1	N/A	5.29e-09
