Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	7.35e-51
Q5YKK9.1	N/A	9.87e-49
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	1.53e-47
O14718.1	N/A	1.67e-46
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	1.82e-45
O42266.1	N/A	7.39e-45
Q1JPS6.1	N/A	1.28e-44
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	1.77e-44
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	2.19e-44
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	7.25e-44
Q8R456.1	N/A	1.82e-43
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	3.40e-43
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	3.53e-43
O35214.1	N/A	4.11e-43
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	4.49e-43
Q9UHM6.1	N/A	4.98e-43
O57422.1	N/A	7.27e-43
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	1.07e-42
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	1.25e-42
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	1.22e-41
Q9QXZ9.1	N/A	5.74e-40
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	6.18e-40
P35361.1	N/A	1.74e-38
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	9.04e-38
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	1.07e-37
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	1.60e-37
O13018.1	N/A	2.28e-37
P32310.1	N/A	5.07e-37
Q9W6A8.1	N/A	6.85e-37
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	1.57e-36
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	6.69e-36
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	1.38e-35
P02699.1	N/A	2.16e-35
Q769E8.1	N/A	2.68e-35
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	3.86e-35
O62798.1	N/A	7.63e-35
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	1.11e-34
P32312.1	N/A	1.52e-34
Q8AYM8.1	N/A	2.37e-34
O62791.1	N/A	2.95e-34
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	3.23e-34
P51472.1	N/A	4.03e-34
P28681.1	N/A	5.65e-34
P41590.1	N/A	6.43e-34
P29404.2	N/A	6.96e-34
Q95KU1.1	N/A	7.62e-34
Q6VZZ7.1	N/A	7.69e-34
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	8.13e-34
P15409.2	N/A	8.71e-34
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	8.98e-34
P51473.1	N/A	1.32e-33
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	1.78e-33
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	2.25e-33
O62794.1	N/A	2.34e-33
P49912.1	N/A	2.39e-33
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	2.94e-33
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	3.92e-33
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	4.09e-33
P51474.1	RecName: Full=Green-sensitive opsin-3; AltName: Full=Green cone photoreceptor pigment 3 [Psalidodon fasciatus]	4.21e-33
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	4.25e-33
Q9YGZ0.1	RecName: Full=Rhodopsin [Sardina pilchardus]	4.41e-33
P51471.1	N/A	5.84e-33
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	6.46e-33
O61303.1	N/A	7.22e-33
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	7.72e-33
P08255.2	N/A	8.86e-33
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	9.66e-33
O18766.1	N/A	1.02e-32
P22332.2	N/A	1.06e-32
O96107.1	RecName: Full=Opsin-3; Short=MANOP3; AltName: Full=Rhodopsin 3, short-wavelength; AltName: Full=Rhodopsin P450 [Manduca sexta]	1.19e-32
P17646.2	RecName: Full=Opsin Rh4; AltName: Full=Inner R7 photoreceptor cells opsin [Drosophila virilis]	1.29e-32
P32311.1	N/A	1.29e-32
P28683.1	N/A	1.40e-32
Q9YGZ6.1	RecName: Full=Rhodopsin [Chelon auratus]	1.64e-32
Q6U736.3	N/A	1.81e-32
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	2.03e-32
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	2.20e-32
P22328.1	N/A	2.45e-32
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	2.67e-32
P28679.3	N/A	2.90e-32
P52202.1	N/A	3.10e-32
Q68J47.1	N/A	3.57e-32
Q28886.1	N/A	3.71e-32
Q9W6A5.2	N/A	4.24e-32
Q90214.1	RecName: Full=Rhodopsin, deep-sea form [Anguilla anguilla]	4.39e-32
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	4.80e-32
Q9YH00.1	RecName: Full=Rhodopsin [Lithognathus mormyrus]	6.67e-32
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	8.18e-32
P87369.1	N/A	1.03e-31
Q9YGZ9.1	RecName: Full=Rhodopsin [Mugil cephalus]	1.05e-31
Q9YH01.1	RecName: Full=Rhodopsin [Mullus surmuletus]	1.24e-31
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	1.28e-31
Q9YH03.1	RecName: Full=Rhodopsin [Sarpa salpa]	1.44e-31
Q9WUK7.1	N/A	1.61e-31
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	1.96e-31
P08099.1	N/A	1.97e-31
Q9YGZ5.1	RecName: Full=Rhodopsin [Solea solea]	1.97e-31
Q9YH04.1	RecName: Full=Rhodopsin [Diplodus vulgaris]	2.03e-31
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	2.16e-31
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	2.34e-31
Q9YGZ7.1	RecName: Full=Rhodopsin [Chelon saliens]	2.76e-31
Q8AYM7.1	N/A	2.82e-31
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	3.33e-31
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	3.37e-31
Q9YGZ8.1	RecName: Full=Rhodopsin [Chelon labrosus]	3.57e-31
Q9YH02.1	N/A	4.03e-31
P87367.1	N/A	4.12e-31
P90680.2	N/A	5.04e-31
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	6.18e-31
O01668.1	N/A	6.96e-31
Q9YGZ3.1	RecName: Full=Rhodopsin [Salaria pavo]	7.35e-31
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	9.88e-31
Q9H1Y3.1	N/A	1.03e-30
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	1.11e-30
Q9YGZ2.1	RecName: Full=Rhodopsin [Gobius niger]	1.21e-30
Q9DGG4.1	RecName: Full=Rhodopsin [Tetraodon nigroviridis]	1.46e-30
Q26495.1	RecName: Full=Opsin-2 [Schistocerca gregaria]	1.47e-30
P79756.1	RecName: Full=Rhodopsin [Gambusia affinis]	1.63e-30
Q8AYN0.1	RecName: Full=Red-sensitive opsin-2; AltName: Full=Opsin-1, long-wave-sensitive 2; Short=Opsin LWS-2; AltName: Full=Red cone photoreceptor pigment 2 [Danio rerio]	1.83e-30
Q9W6A7.1	N/A	1.90e-30
P32313.1	RecName: Full=Red-sensitive opsin; AltName: Full=Red cone photoreceptor pigment [Carassius auratus]	2.63e-30
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	2.91e-30
Q95YI3.1	N/A	3.11e-30
P47804.1	N/A	3.46e-30
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	4.43e-30
O42451.1	RecName: Full=Rhodopsin [Procottus jettelesii]	5.33e-30
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	5.59e-30
O12948.1	N/A	6.74e-30
P22671.1	RecName: Full=Rhodopsin [Lethenteron camtschaticum]	7.38e-30
Q9YGY9.1	RecName: Full=Rhodopsin [Zosterisessor ophiocephalus]	9.54e-30
P51488.1	RecName: Full=Rhodopsin [Cyprinus carpio]	9.98e-30
O42330.1	RecName: Full=Rhodopsin [Cottocomephorus inermis]	1.06e-29
P08100.1	N/A	1.09e-29
P79848.1	RecName: Full=Rhodopsin [Poecilia reticulata]	1.30e-29
P32308.1	N/A	1.31e-29
P35403.1	RecName: Full=Rhodopsin [Pomatoschistus minutus]	1.36e-29
P41592.1	N/A	1.42e-29
O42327.1	RecName: Full=Rhodopsin [Comephorus dybowskii]	1.43e-29
Q17292.1	N/A	1.54e-29
P51491.1	N/A	2.24e-29
Q63652.2	RecName: Full=Short-wave-sensitive opsin 1; Short=S opsin; AltName: Full=Blue cone photoreceptor pigment; AltName: Full=Blue-sensitive opsin; Short=BOP; AltName: Full=Short wavelength-sensitive cone opsin [Rattus norvegicus]	2.35e-29
Q9W6A9.2	RecName: Full=Opsin-1, short-wave-sensitive 1; Short=Opsin SWS-1; AltName: Full=Ultraviolet cone photoreceptor pigment; AltName: Full=Ultraviolet-sensitive opsin [Danio rerio]	3.85e-29
P28680.3	N/A	4.37e-29
O42307.1	RecName: Full=Rhodopsin [Cottinella boulengeri]	5.28e-29
O62796.1	N/A	5.78e-29
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	5.96e-29
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	6.33e-29
P41591.1	RecName: Full=Rhodopsin [Anolis carolinensis]	6.78e-29
O42294.1	RecName: Full=Rhodopsin [Abyssocottus korotneffi]	1.03e-28
P22331.1	N/A	1.09e-28
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	1.19e-28
O13092.1	N/A	1.70e-28
O42452.1	RecName: Full=Rhodopsin [Paracottus knerii]	1.75e-28
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	1.77e-28
O42300.1	RecName: Full=Rhodopsin [Batrachocottus multiradiatus]	1.79e-28
P04950.1	N/A	1.93e-28
Q9YGZ4.1	RecName: Full=Rhodopsin [Dicentrarchus labrax]	2.12e-28
P28678.4	N/A	2.20e-28
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	2.44e-28
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	2.47e-28
Q9YH05.1	RecName: Full=Rhodopsin [Diplodus annularis]	3.05e-28
