XP_032230882.1	melanopsin isoform X1 [Nematostella vectensis]	0.0
XP_032230887.1	melanopsin isoform X2 [Nematostella vectensis]	0.0
EDO35182.1	predicted protein, partial [Nematostella vectensis]	0.0
AXN75733.1	opsin [Actinia equina]	4.43e-128
XP_020909716.1	melanopsin [Exaiptasia pallida]	5.82e-120
XP_031555856.1	melanopsin-like [Actinia tenebrosa]	6.57e-120
XP_031555857.1	melanopsin-like [Actinia tenebrosa]	7.64e-99
XP_027059432.1	rhodopsin-like [Pocillopora damicornis]	9.62e-98
PFX20959.1	Green-sensitive opsin [Stylophora pistillata]	3.84e-96
XP_022798032.1	blue-sensitive opsin-like [Stylophora pistillata]	4.92e-96
RMX56112.1	hypothetical protein pdam_00019942 [Pocillopora damicornis]	9.52e-95
XP_029190801.1	pinopsin-like [Acropora millepora]	8.54e-94
XP_032237413.1	melanopsin [Nematostella vectensis]	8.58e-94
AXN75760.1	opsin, partial [Sagartia elegans]	6.22e-92
XP_020631765.1	rhodopsin-like [Orbicella faveolata]	4.26e-90
AXN75750.1	opsin, partial [Anthopleura elegantissima]	8.22e-84
XP_027038572.1	melanopsin-B-like [Pocillopora damicornis]	1.81e-76
XP_022793722.1	pinopsin-like [Stylophora pistillata]	6.96e-74
XP_022803931.1	visual pigment-like receptor peropsin isoform X1 [Stylophora pistillata]	3.70e-73
XP_022803932.1	melanopsin-like isoform X2 [Stylophora pistillata]	4.14e-73
XP_027055697.1	rhodopsin-like isoform X1 [Pocillopora damicornis]	9.52e-72
XP_022803933.1	visual pigment-like receptor peropsin [Stylophora pistillata]	8.80e-71
RMX35035.1	hypothetical protein pdam_00019773 [Pocillopora damicornis]	1.54e-70
XP_028514120.1	melanopsin-like [Exaiptasia pallida]	1.70e-70
XP_020619724.1	rhodopsin, GQ-coupled-like [Orbicella faveolata]	1.81e-70
XP_031563598.1	rhodopsin, G0-coupled-like [Actinia tenebrosa]	4.96e-70
PFX23702.1	Pinopsin [Stylophora pistillata]	1.36e-69
XP_022793717.1	pinopsin-like [Stylophora pistillata]	1.52e-69
XP_020619653.1	melanopsin-like [Orbicella faveolata]	2.73e-69
XP_031565312.1	melanopsin-like [Actinia tenebrosa]	6.20e-69
RMX35033.1	hypothetical protein pdam_00019771 [Pocillopora damicornis]	1.09e-68
RMX35033.1	hypothetical protein pdam_00019771 [Pocillopora damicornis]	7.87e-63
XP_020632904.1	melanopsin-like [Orbicella faveolata]	1.24e-68
XP_022803919.1	rhodopsin, GQ-coupled-like [Stylophora pistillata]	1.72e-68
XP_027055695.1	uncharacterized protein LOC113682727 [Pocillopora damicornis]	1.88e-68
XP_027055695.1	uncharacterized protein LOC113682727 [Pocillopora damicornis]	1.12e-63
PFX23700.1	L-fucose kinase [Stylophora pistillata]	4.44e-68
AXN75738.1	opsin, partial [Exaiptasia pallida]	4.66e-68
XP_029213667.1	visual pigment-like receptor peropsin [Acropora millepora]	1.17e-67
