Q6U736.3	N/A	0.0
Q6VZZ7.1	N/A	0.0
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	3.35e-49
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	1.61e-48
O14718.1	N/A	2.67e-48
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	2.57e-45
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	4.38e-44
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	1.11e-42
O35214.1	N/A	1.25e-42
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	1.54e-42
Q5YKK9.1	N/A	4.58e-42
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	2.59e-41
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	1.39e-40
Q1JPS6.1	N/A	2.56e-40
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	2.39e-39
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	4.26e-39
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	5.88e-38
P51472.1	N/A	2.09e-37
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	2.48e-37
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	6.26e-37
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	1.21e-36
Q9UHM6.1	N/A	2.53e-36
Q8R456.1	N/A	3.21e-35
Q9QXZ9.1	N/A	6.03e-35
O57422.1	N/A	1.65e-34
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	1.94e-33
P35361.1	N/A	5.87e-33
Q9W6A8.1	N/A	6.59e-33
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	1.08e-32
P32310.1	N/A	1.31e-32
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	5.24e-32
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	6.74e-32
Q9H1Y3.1	N/A	1.62e-31
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	3.07e-31
O61303.1	N/A	3.33e-31
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	3.67e-31
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	6.75e-31
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	2.01e-30
Q17292.1	N/A	5.13e-30
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	7.42e-30
Q95YI3.1	N/A	7.99e-30
P52202.1	N/A	1.37e-29
P28679.3	N/A	1.41e-29
O13018.1	N/A	2.22e-29
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	3.88e-29
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	5.91e-29
P87365.1	N/A	7.08e-29
P28678.4	N/A	8.80e-29
O62798.1	N/A	1.16e-28
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	1.19e-28
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	1.48e-28
Q9WUK7.1	N/A	1.94e-28
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	2.15e-28
P06002.1	N/A	2.32e-28
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	2.51e-28
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	2.83e-28
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	3.83e-28
P08099.1	N/A	4.30e-28
O18766.1	N/A	5.11e-28
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	5.32e-28
O62794.1	N/A	6.78e-28
O62791.1	N/A	7.14e-28
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	7.14e-28
P29404.2	N/A	9.48e-28
Q95KU1.1	N/A	9.77e-28
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	1.00e-27
P08255.2	N/A	1.70e-27
P04950.1	N/A	1.76e-27
P32311.1	N/A	1.81e-27
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	1.94e-27
P22331.1	N/A	2.13e-27
P17646.2	RecName: Full=Opsin Rh4; AltName: Full=Inner R7 photoreceptor cells opsin [Drosophila virilis]	2.40e-27
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	3.25e-27
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	3.25e-27
Q8AYM7.1	N/A	3.35e-27
Q90214.1	RecName: Full=Rhodopsin, deep-sea form [Anguilla anguilla]	3.70e-27
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	3.71e-27
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	3.96e-27
P22328.1	N/A	4.45e-27
P49912.1	N/A	4.65e-27
P28683.1	N/A	5.14e-27
O42266.1	N/A	5.57e-27
Q8AYN0.1	RecName: Full=Red-sensitive opsin-2; AltName: Full=Opsin-1, long-wave-sensitive 2; Short=Opsin LWS-2; AltName: Full=Red cone photoreceptor pigment 2 [Danio rerio]	5.61e-27
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	6.70e-27
P22330.1	RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1 [Psalidodon fasciatus]	7.11e-27
Q9W6A7.1	N/A	7.11e-27
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	8.28e-27
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	8.53e-27
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	1.25e-26
P51474.1	RecName: Full=Green-sensitive opsin-3; AltName: Full=Green cone photoreceptor pigment 3 [Psalidodon fasciatus]	1.29e-26
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	1.31e-26
P02699.1	N/A	1.49e-26
Q28886.1	N/A	1.58e-26
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	1.63e-26
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	1.66e-26
P41590.1	N/A	2.06e-26
Q769E8.1	N/A	2.18e-26
O12948.1	N/A	2.40e-26
P35357.1	RecName: Full=Blue-sensitive opsin P467; AltName: Full=Blue photoreceptor pigment [Gekko gecko]	4.02e-26
P15409.2	N/A	4.55e-26
P08100.1	N/A	5.57e-26
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	6.75e-26
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	6.92e-26
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	8.29e-26
P28680.3	N/A	9.72e-26
P41591.1	RecName: Full=Rhodopsin [Anolis carolinensis]	9.99e-26
P28681.1	N/A	1.13e-25
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	1.24e-25
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	1.45e-25
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	1.69e-25
O18481.1	RecName: Full=Rhodopsin [Orconectes australis]	1.75e-25
P51471.1	N/A	2.22e-25
Q68J47.1	N/A	3.30e-25
Q9YGZ0.1	RecName: Full=Rhodopsin [Sardina pilchardus]	4.91e-25
P32312.1	N/A	5.48e-25
O62796.1	N/A	6.41e-25
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	8.80e-25
O01668.1	N/A	1.00e-24
P41592.1	N/A	1.23e-24
O42327.1	RecName: Full=Rhodopsin [Comephorus dybowskii]	1.57e-24
P32313.1	RecName: Full=Red-sensitive opsin; AltName: Full=Red cone photoreceptor pigment [Carassius auratus]	1.89e-24
O16020.1	RecName: Full=Rhodopsin [Procambarus milleri]	2.18e-24
P79848.1	RecName: Full=Rhodopsin [Poecilia reticulata]	2.19e-24
O16017.1	RecName: Full=Rhodopsin [Lacunicambarus ludovicianus]	2.24e-24
O42451.1	RecName: Full=Rhodopsin [Procottus jettelesii]	2.38e-24
Q9YH05.1	RecName: Full=Rhodopsin [Diplodus annularis]	2.61e-24
P32308.1	N/A	2.63e-24
O18485.1	RecName: Full=Rhodopsin [Procambarus orcinus]	3.22e-24
Q90215.1	RecName: Full=Rhodopsin, freshwater form [Anguilla anguilla]	3.43e-24
P51488.1	RecName: Full=Rhodopsin [Cyprinus carpio]	3.49e-24
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	3.90e-24
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	4.06e-24
Q9DGG4.1	RecName: Full=Rhodopsin [Tetraodon nigroviridis]	4.25e-24
O18912.2	N/A	4.29e-24
P04000.1	RecName: Full=Long-wave-sensitive opsin 1; AltName: Full=Red cone photoreceptor pigment; AltName: Full=Red-sensitive opsin; Short=ROP [Homo sapiens]	4.79e-24
P47803.1	N/A	5.11e-24
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	5.53e-24
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	5.70e-24
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	5.88e-24
Q9YGZ3.1	RecName: Full=Rhodopsin [Salaria pavo]	6.17e-24
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	9.16e-24
P91657.1	N/A	9.66e-24
P79756.1	RecName: Full=Rhodopsin [Gambusia affinis]	1.07e-23
