O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	6.45e-143
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	1.70e-136
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.96e-136
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	1.89e-127
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	1.26e-119
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	1.91e-60
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	2.31e-47
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	4.80e-45
P35361.1	N/A	7.85e-45
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	1.15e-44
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	2.33e-44
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	4.10e-43
Q95YI3.1	N/A	8.31e-43
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	1.21e-42
P28678.4	N/A	2.72e-42
Q1JPS6.1	N/A	6.24e-42
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	7.02e-42
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	7.48e-42
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	3.13e-41
P06002.1	N/A	3.23e-41
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	5.51e-41
P90680.2	N/A	7.39e-41
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	1.26e-40
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	1.42e-40
P08099.1	N/A	1.65e-40
Q17292.1	N/A	2.89e-40
Q5YKK9.1	N/A	3.10e-40
P28679.3	N/A	3.24e-40
O61303.1	N/A	4.27e-40
O02465.2	RecName: Full=Opsin-2; Short=MANOP2; AltName: Full=Rhodopsin 2, short-wavelength; AltName: Full=Rhodopsin P357 [Manduca sexta]	4.69e-39
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	1.39e-38
P91657.1	N/A	6.83e-38
Q26495.1	RecName: Full=Opsin-2 [Schistocerca gregaria]	3.14e-37
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	4.68e-37
P04950.1	N/A	8.94e-37
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	1.79e-36
O57422.1	N/A	3.34e-36
P28680.3	N/A	5.42e-36
P29404.2	N/A	5.61e-36
O01668.1	N/A	1.27e-35
P08255.2	N/A	3.10e-35
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	3.87e-35
P17646.2	RecName: Full=Opsin Rh4; AltName: Full=Inner R7 photoreceptor cells opsin [Drosophila virilis]	7.38e-35
P35356.1	RecName: Full=Rhodopsin [Procambarus clarkii]	1.07e-34
Q8R456.1	N/A	1.65e-34
O96107.1	RecName: Full=Opsin-3; Short=MANOP3; AltName: Full=Rhodopsin 3, short-wavelength; AltName: Full=Rhodopsin P450 [Manduca sexta]	1.83e-34
Q9UHM6.1	N/A	6.41e-34
Q9QXZ9.1	N/A	6.99e-33
O16020.1	RecName: Full=Rhodopsin [Procambarus milleri]	1.62e-29
O18481.1	RecName: Full=Rhodopsin [Orconectes australis]	2.36e-29
