O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	8.77e-55
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	9.23e-48
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	2.35e-46
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.01e-45
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	7.09e-45
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	2.51e-43
Q1JPS6.1	N/A	3.01e-38
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	2.47e-37
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	2.34e-36
P91657.1	N/A	6.90e-36
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	2.55e-34
O61303.1	N/A	2.84e-34
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	9.49e-34
P90680.2	N/A	1.41e-33
Q5YKK9.1	N/A	4.79e-33
O96107.1	RecName: Full=Opsin-3; Short=MANOP3; AltName: Full=Rhodopsin 3, short-wavelength; AltName: Full=Rhodopsin P450 [Manduca sexta]	1.72e-31
O02465.2	RecName: Full=Opsin-2; Short=MANOP2; AltName: Full=Rhodopsin 2, short-wavelength; AltName: Full=Rhodopsin P357 [Manduca sexta]	1.77e-31
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	4.10e-31
Q26495.1	RecName: Full=Opsin-2 [Schistocerca gregaria]	4.56e-31
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	5.88e-31
Q9UHM6.1	N/A	1.39e-30
P17646.2	RecName: Full=Opsin Rh4; AltName: Full=Inner R7 photoreceptor cells opsin [Drosophila virilis]	2.50e-30
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	3.23e-30
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	3.92e-30
P35361.1	N/A	1.06e-29
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	1.33e-29
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	4.13e-29
P29404.2	N/A	5.61e-29
O57422.1	N/A	6.73e-29
Q8R456.1	N/A	9.26e-29
P08255.2	N/A	9.27e-29
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	1.27e-28
Q9QXZ9.1	N/A	5.60e-28
Q17292.1	N/A	5.70e-28
P08099.1	N/A	2.89e-27
Q6U736.3	N/A	3.11e-27
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	5.10e-27
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	8.63e-27
P28679.3	N/A	1.18e-26
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	1.57e-26
P04950.1	N/A	2.15e-26
Q6VZZ7.1	N/A	3.41e-26
O16020.1	RecName: Full=Rhodopsin [Procambarus milleri]	4.47e-26
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	5.84e-26
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	6.46e-26
P28678.4	N/A	8.67e-26
P28680.3	N/A	1.05e-25
O16019.1	RecName: Full=Rhodopsin [Orconectes virilis]	1.35e-25
O01668.1	N/A	2.22e-25
Q95YI3.1	N/A	2.64e-25
P06002.1	N/A	3.14e-25
O18485.1	RecName: Full=Rhodopsin [Procambarus orcinus]	3.48e-25
O16017.1	RecName: Full=Rhodopsin [Lacunicambarus ludovicianus]	4.28e-25
O18481.1	RecName: Full=Rhodopsin [Orconectes australis]	5.68e-25
O16018.1	RecName: Full=Rhodopsin [Cambarellus shufeldtii]	1.26e-24
O18486.1	RecName: Full=Rhodopsin [Procambarus seminolae]	7.71e-24
P35356.1	RecName: Full=Rhodopsin [Procambarus clarkii]	8.96e-24
O18315.1	RecName: Full=Rhodopsin [Cambarus maculatus]	1.23e-23
O18312.1	RecName: Full=Rhodopsin [Cambarus hubrichti]	5.92e-23
O42266.1	N/A	1.88e-20
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	1.97e-20
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	1.01e-19
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	1.28e-19
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	1.66e-19
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	2.52e-19
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	2.57e-19
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	2.66e-19
P52202.1	N/A	4.93e-19
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	5.17e-19
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	6.53e-19
P22328.1	N/A	1.13e-18
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	1.15e-18
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	2.04e-18
P28681.1	N/A	2.24e-18
P15409.2	N/A	2.41e-18
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	2.80e-18
Q28886.1	N/A	2.98e-18
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	3.78e-18
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	3.95e-18
Q68J47.1	N/A	4.24e-18
O62798.1	N/A	4.33e-18
