XP_035220026.1	opsin, ultraviolet-sensitive-like isoform X2 [Stegodyphus dumicola]	0.0
XP_035220027.1	opsin, ultraviolet-sensitive-like isoform X3 [Stegodyphus dumicola]	0.0
XP_035220024.1	opsin, ultraviolet-sensitive-like isoform X1 [Stegodyphus dumicola]	0.0
NP_001301067.1	uncharacterized protein LOC106468278 [Limulus polyphemus]	3.35e-154
XP_027215370.1	opsin, ultraviolet-sensitive-like [Penaeus vannamei]	8.16e-120
XP_001688790.1	AGAP006126-PA [Anopheles gambiae str. PEST]	3.20e-117
XP_011496705.1	PREDICTED: opsin, ultraviolet-sensitive [Ceratosolen solmsi marchali]	3.85e-117
XP_015524256.1	PREDICTED: opsin, ultraviolet-sensitive [Neodiprion lecontei]	8.88e-117
XP_032776928.1	opsin, ultraviolet-sensitive-like [Daphnia magna]	6.89e-116
XP_012273472.1	opsin, ultraviolet-sensitive [Orussus abietinus]	7.20e-116
XP_003699784.1	PREDICTED: opsin, ultraviolet-sensitive [Megachile rotundata]	4.33e-115
XP_025834990.1	opsin, ultraviolet-sensitive [Agrilus planipennis]	7.30e-115
XP_023018922.1	opsin-2-like [Leptinotarsa decemlineata]	9.60e-115
XP_029052454.1	opsin, ultraviolet-sensitive [Osmia bicornis bicornis]	2.52e-114
XP_034183661.1	opsin, ultraviolet-sensitive [Osmia lignaria]	5.23e-114
XP_031830873.1	opsin, ultraviolet-sensitive [Nomia melanderi]	6.58e-114
XP_033350138.1	opsin, ultraviolet-sensitive [Bombus vosnesenskii]	9.02e-114
XP_033326020.1	opsin, ultraviolet-sensitive [Megalopta genalis]	2.18e-113
XP_015608081.1	opsin, ultraviolet-sensitive [Cephus cinctus]	2.35e-113
XP_030571839.1	opsin Rh3-like [Drosophila novamexicana]	3.23e-113
XP_015433438.1	PREDICTED: opsin, ultraviolet-sensitive [Dufourea novaeangliae]	3.40e-113
XP_033194293.1	opsin, ultraviolet-sensitive [Bombus vancouverensis nearcticus]	4.24e-113
XP_034942577.1	opsin, ultraviolet-sensitive [Chelonus insularis]	5.32e-113
XP_002008720.1	opsin Rh4 [Drosophila mojavensis]	7.38e-113
XP_013114402.1	PREDICTED: opsin Rh3 [Stomoxys calcitrans]	7.96e-113
XP_034482513.1	opsin Rh4 [Drosophila innubila]	7.96e-113
XP_021698798.1	opsin, ultraviolet-sensitive [Aedes aegypti]	8.41e-113
XP_014273911.1	opsin, ultraviolet-sensitive [Halyomorpha halys]	9.48e-113
NP_001267052.1	ultraviolet-sensitive opsin [Bombus impatiens]	1.10e-112
XP_001851157.1	ultraviolet-sensitive opsin [Culex quinquefasciatus]	1.46e-112
XP_027206668.1	opsin, ultraviolet-sensitive-like [Penaeus vannamei]	1.51e-112
XP_018577781.2	opsin, ultraviolet-sensitive-like [Anoplophora glabripennis]	2.17e-112
XP_005190072.1	PREDICTED: opsin Rh3 [Musca domestica]	3.00e-112
XP_017862838.1	PREDICTED: opsin Rh4 [Drosophila arizonae]	3.14e-112
XP_030385553.1	opsin Rh4 isoform X2 [Scaptodrosophila lebanonensis]	4.03e-112
XP_011306382.1	PREDICTED: opsin, ultraviolet-sensitive [Fopius arisanus]	4.29e-112
XP_034102632.1	opsin Rh4 [Drosophila albomicans]	6.71e-112
XP_015115701.1	opsin, ultraviolet-sensitive [Diachasma alloeum]	9.10e-112
XP_017881962.1	opsin, ultraviolet-sensitive [Ceratina calcarata]	1.25e-111
