P03999.1	N/A	0.0
O13092.1	N/A	0.0
Q63652.2	RecName: Full=Short-wave-sensitive opsin 1; Short=S opsin; AltName: Full=Blue cone photoreceptor pigment; AltName: Full=Blue-sensitive opsin; Short=BOP; AltName: Full=Short wavelength-sensitive cone opsin [Rattus norvegicus]	0.0
P51491.1	N/A	0.0
P51490.1	N/A	0.0
O57605.1	N/A	0.0
P28684.1	N/A	0.0
P51473.1	N/A	0.0
P87368.1	N/A	1.05e-154
Q9W6A9.2	RecName: Full=Opsin-1, short-wave-sensitive 1; Short=Opsin SWS-1; AltName: Full=Ultraviolet cone photoreceptor pigment; AltName: Full=Ultraviolet-sensitive opsin [Danio rerio]	4.02e-154
Q90309.1	N/A	6.27e-148
P32310.1	N/A	2.05e-119
P87365.1	N/A	6.45e-111
Q8AYM7.1	N/A	7.04e-111
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	7.43e-111
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	1.59e-110
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	2.50e-109
P51472.1	N/A	3.32e-109
P28682.1	N/A	3.32e-109
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	3.47e-109
Q8AYM8.1	N/A	2.23e-108
Q9W6A8.1	N/A	2.46e-108
P35357.1	RecName: Full=Blue-sensitive opsin P467; AltName: Full=Blue photoreceptor pigment [Gekko gecko]	3.16e-108
Q9W6A5.2	N/A	5.69e-108
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	6.78e-108
P41591.1	RecName: Full=Rhodopsin [Anolis carolinensis]	1.27e-107
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	2.50e-107
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	5.48e-107
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	8.65e-107
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	1.56e-106
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	2.89e-106
P28683.1	N/A	4.47e-106
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	5.94e-106
P32311.1	N/A	6.69e-106
Q28886.1	N/A	2.14e-105
P52202.1	N/A	2.72e-105
P49912.1	N/A	2.88e-105
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	3.24e-105
O62794.1	N/A	5.64e-105
Q68J47.1	N/A	6.09e-105
Q769E8.1	N/A	8.26e-105
P02699.1	N/A	8.26e-105
P15409.2	N/A	8.82e-105
P22328.1	N/A	9.41e-105
Q95KU1.1	N/A	1.11e-104
O62791.1	N/A	1.79e-104
P32312.1	N/A	1.87e-104
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	2.65e-104
P28681.1	N/A	4.04e-104
P51471.1	N/A	6.17e-104
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	9.45e-104
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	1.12e-103
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	1.87e-103
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	7.95e-103
Q90214.1	RecName: Full=Rhodopsin, deep-sea form [Anguilla anguilla]	8.68e-103
P22671.1	RecName: Full=Rhodopsin [Lethenteron camtschaticum]	1.08e-102
O62798.1	N/A	1.55e-102
P08100.1	N/A	1.74e-102
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	3.50e-102
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	3.65e-102
O18766.1	N/A	6.36e-102
Q9YGZ0.1	RecName: Full=Rhodopsin [Sardina pilchardus]	1.62e-101
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	2.14e-101
P32308.1	N/A	1.21e-100
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	1.29e-100
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	1.91e-100
O42604.1	RecName: Full=Rhodopsin [Zeus faber]	2.08e-100
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	3.18e-100
O62796.1	N/A	5.03e-100
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	5.31e-100
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	8.02e-100
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	9.55e-100
P51474.1	RecName: Full=Green-sensitive opsin-3; AltName: Full=Green cone photoreceptor pigment 3 [Psalidodon fasciatus]	9.73e-100
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	1.47e-99
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	1.66e-99
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	1.74e-99
P51488.1	RecName: Full=Rhodopsin [Cyprinus carpio]	1.81e-99
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	2.11e-99
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	2.80e-99
Q9YGY9.1	RecName: Full=Rhodopsin [Zosterisessor ophiocephalus]	1.06e-98
Q9YGZ2.1	RecName: Full=Rhodopsin [Gobius niger]	1.64e-98
P41590.1	N/A	1.87e-98
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	4.23e-98
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	3.51e-97
Q9R024.1	N/A	5.26e-97
P87369.1	N/A	6.96e-97
P34989.1	RecName: Full=Opsin, longwave 563 nm [Callithrix jacchus]	1.21e-96
Q9YH05.1	RecName: Full=Rhodopsin [Diplodus annularis]	2.06e-96
Q9YGZ8.1	RecName: Full=Rhodopsin [Chelon labrosus]	2.06e-96
Q9YGZ5.1	RecName: Full=Rhodopsin [Solea solea]	2.86e-96
Q98980.1	N/A	4.13e-96
Q9DGG4.1	RecName: Full=Rhodopsin [Tetraodon nigroviridis]	4.27e-96
O35476.2	N/A	4.48e-96
Q9YGZ3.1	RecName: Full=Rhodopsin [Salaria pavo]	5.19e-96
P79848.1	RecName: Full=Rhodopsin [Poecilia reticulata]	6.04e-96
O35478.2	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin; AltName: Full=Medium wavelength-sensitive cone opsin [Sciurus carolinensis]	6.11e-96
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	6.45e-96
Q90215.1	RecName: Full=Rhodopsin, freshwater form [Anguilla anguilla]	9.34e-96
Q9YGZ6.1	RecName: Full=Rhodopsin [Chelon auratus]	1.12e-95
O35599.1	N/A	1.19e-95
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	1.41e-95
Q9YGZ7.1	RecName: Full=Rhodopsin [Chelon saliens]	1.44e-95
Q9YH01.1	RecName: Full=Rhodopsin [Mullus surmuletus]	2.06e-95
P79756.1	RecName: Full=Rhodopsin [Gambusia affinis]	3.29e-95
P04000.1	RecName: Full=Long-wave-sensitive opsin 1; AltName: Full=Red cone photoreceptor pigment; AltName: Full=Red-sensitive opsin; Short=ROP [Homo sapiens]	3.55e-95
Q9YGZ9.1	RecName: Full=Rhodopsin [Mugil cephalus]	4.31e-95
P35358.1	RecName: Full=Green-sensitive opsin P521; AltName: Full=Green photoreceptor pigment [Gekko gecko]	6.03e-95
O18910.2	N/A	6.17e-95
P87366.1	N/A	6.28e-95
O18914.2	N/A	1.89e-94
Q9YH02.1	N/A	2.37e-94
O18913.2	N/A	2.53e-94
Q9YH03.1	RecName: Full=Rhodopsin [Sarpa salpa]	3.29e-94
Q9YH04.1	RecName: Full=Rhodopsin [Diplodus vulgaris]	4.50e-94
Q9YH00.1	RecName: Full=Rhodopsin [Lithognathus mormyrus]	5.30e-94
Q9YGZ4.1	RecName: Full=Rhodopsin [Dicentrarchus labrax]	1.04e-93
O18912.2	N/A	1.15e-93
Q9BGI7.1	N/A	1.53e-93
P04001.1	N/A	2.69e-93
P41592.1	N/A	9.93e-93
O42330.1	RecName: Full=Rhodopsin [Cottocomephorus inermis]	1.61e-92
Q95170.1	N/A	1.92e-92
O42294.1	RecName: Full=Rhodopsin [Abyssocottus korotneffi]	2.87e-92
O42307.1	RecName: Full=Rhodopsin [Cottinella boulengeri]	4.25e-92
O42268.1	RecName: Full=Rhodopsin [Ictalurus punctatus]	9.70e-92
P87367.1	N/A	3.14e-91
O42327.1	RecName: Full=Rhodopsin [Comephorus dybowskii]	8.73e-91
O42451.1	RecName: Full=Rhodopsin [Procottus jettelesii]	9.12e-91
Q8AYN0.1	RecName: Full=Red-sensitive opsin-2; AltName: Full=Opsin-1, long-wave-sensitive 2; Short=Opsin LWS-2; AltName: Full=Red cone photoreceptor pigment 2 [Danio rerio]	1.78e-90
P22329.1	N/A	6.64e-90
Q9W6A7.1	N/A	9.78e-90
P22330.1	RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1 [Psalidodon fasciatus]	1.20e-89
O42300.1	RecName: Full=Rhodopsin [Batrachocottus multiradiatus]	1.75e-89
O12948.1	N/A	2.85e-89
P22331.1	N/A	5.51e-89
O42301.1	RecName: Full=Rhodopsin [Batrachocottus nikolskii]	1.14e-88
P32313.1	RecName: Full=Red-sensitive opsin; AltName: Full=Red cone photoreceptor pigment [Carassius auratus]	2.37e-88
P22332.2	N/A	3.14e-88
O42427.1	RecName: Full=Rhodopsin [Limnocottus bergianus]	7.86e-88
P35403.1	RecName: Full=Rhodopsin [Pomatoschistus minutus]	1.02e-87
O42452.1	RecName: Full=Rhodopsin [Paracottus knerii]	2.77e-87
O42466.1	RecName: Full=Rhodopsin [Taurulus bubalis]	2.66e-86
O42431.1	RecName: Full=Rhodopsin [Limnocottus pallidus]	1.54e-85
O42328.1	RecName: Full=Rhodopsin [Cottocomephorus grewingki]	8.85e-85
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	1.74e-84
Q90373.1	RecName: Full=Rhodopsin [Leocottus kesslerii]	5.84e-83
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	3.75e-77
O18911.1	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin [Odocoileus virginianus virginianus]	1.79e-73
O13018.1	N/A	1.85e-72
O42266.1	N/A	1.79e-66
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	1.01e-41
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	8.37e-40
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	2.82e-39
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	4.67e-39
Q1JPS6.1	N/A	1.74e-37
Q90305.1	RecName: Full=Rhodopsin [Coregonus autumnalis]	2.30e-36
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	3.22e-36
Q95YI3.1	N/A	4.01e-36
Q8R456.1	N/A	1.31e-34
Q5YKK9.1	N/A	1.66e-34
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	2.60e-34
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	2.92e-34
Q9H1Y3.1	N/A	6.32e-34
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	8.62e-34
Q9QXZ9.1	N/A	4.70e-33
