1F88_A	N/A	1.98e-178
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	2.05e-178
3C9M_A	Chain A, Rhodopsin [unidentified]	5.01e-177
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	5.19e-177
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.77e-176
5DYS_A	Chain A, Rhodopsin [Bos taurus]	3.02e-176
4BEY_A	Chain A, Rhodopsin [Bos taurus]	4.39e-176
6QNO_R	Chain R, Rhodopsin [Bos taurus]	8.62e-176
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	8.94e-176
6FKB_A	Chain A, Rhodopsin [Bos taurus]	5.78e-167
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	2.09e-165
6FK6_A	Chain A, Rhodopsin [Bos taurus]	2.95e-165
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.10e-164
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.37e-164
6FUF_A	Chain A, Rhodopsin [Bos taurus]	6.09e-160
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	2.86e-157
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	3.78e-36
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	5.28e-30
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	6.99e-30
2Z73_A	N/A	1.54e-29
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	4.10e-20
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	6.36e-15
1EDX_A	Chain A, Solution Structure Of Amino Terminus Of Bovine Rhodopsin (Residues 1-40) [Bos taurus]	2.42e-14
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	3.77e-14
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	7.71e-14
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	1.16e-12
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	2.31e-11
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	2.37e-11
1EDV_A	Chain A, Solution Structure Of 2nd Intradiskal Loop Of Bovine Rhodopsin (Residues 172-205) [Bos taurus]	4.04e-11
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	5.09e-11
6DDE_R	Chain R, Mu-type opioid receptor [Mus musculus]	1.34e-10
6A93_A	Chain A, 5-hydroxytryptamine receptor 2A,Soluble cytochrome b562 [Homo sapiens]	1.71e-10
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	5.16e-10
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	5.35e-10
5C1M_A	Chain A, Mu-type opioid receptor [Mus musculus]	7.04e-10
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	1.02e-09
6J20_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	1.03e-09
6J21_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	1.06e-09
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.39e-09
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	1.87e-09
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	3.23e-09
6OIK_R	Chain R, Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2 [Homo sapiens]	3.72e-09
6PT2_A	Chain A, Delta opioid receptor [Homo sapiens]	6.41e-09
