XP_032230882.1	melanopsin isoform X1 [Nematostella vectensis]	0.0
XP_032230887.1	melanopsin isoform X2 [Nematostella vectensis]	0.0
XP_020909716.1	melanopsin [Exaiptasia pallida]	3.61e-120
XP_031555856.1	melanopsin-like [Actinia tenebrosa]	4.08e-120
XP_031555857.1	melanopsin-like [Actinia tenebrosa]	4.75e-99
XP_027059432.1	rhodopsin-like [Pocillopora damicornis]	5.97e-98
XP_022798032.1	blue-sensitive opsin-like [Stylophora pistillata]	3.05e-96
XP_029190801.1	pinopsin-like [Acropora millepora]	5.30e-94
XP_032237413.1	melanopsin [Nematostella vectensis]	5.33e-94
XP_020631765.1	rhodopsin-like [Orbicella faveolata]	2.64e-90
XP_027038572.1	melanopsin-B-like [Pocillopora damicornis]	1.12e-76
XP_022793722.1	pinopsin-like [Stylophora pistillata]	4.32e-74
XP_022803931.1	visual pigment-like receptor peropsin isoform X1 [Stylophora pistillata]	2.30e-73
XP_022803932.1	melanopsin-like isoform X2 [Stylophora pistillata]	2.57e-73
XP_027055697.1	rhodopsin-like isoform X1 [Pocillopora damicornis]	5.91e-72
XP_022803933.1	visual pigment-like receptor peropsin [Stylophora pistillata]	5.47e-71
XP_028514120.1	melanopsin-like [Exaiptasia pallida]	1.05e-70
XP_020619724.1	rhodopsin, GQ-coupled-like [Orbicella faveolata]	1.13e-70
XP_031563598.1	rhodopsin, G0-coupled-like [Actinia tenebrosa]	3.08e-70
XP_022793717.1	pinopsin-like [Stylophora pistillata]	9.41e-70
XP_020619653.1	melanopsin-like [Orbicella faveolata]	1.69e-69
XP_031565312.1	melanopsin-like [Actinia tenebrosa]	3.85e-69
XP_020632904.1	melanopsin-like [Orbicella faveolata]	7.70e-69
XP_022803919.1	rhodopsin, GQ-coupled-like [Stylophora pistillata]	1.07e-68
XP_027055695.1	uncharacterized protein LOC113682727 [Pocillopora damicornis]	1.17e-68
XP_027055695.1	uncharacterized protein LOC113682727 [Pocillopora damicornis]	6.98e-64
XP_029213667.1	visual pigment-like receptor peropsin [Acropora millepora]	7.25e-68
XP_031563535.1	rhodopsin-like [Actinia tenebrosa]	1.09e-67
XP_015764484.1	PREDICTED: rhodopsin-like [Acropora digitifera]	1.25e-67
XP_020619730.1	visual pigment-like receptor peropsin [Orbicella faveolata]	1.30e-67
XP_015763203.1	PREDICTED: visual pigment-like receptor peropsin [Acropora digitifera]	1.75e-67
XP_027038571.1	pinopsin-like [Pocillopora damicornis]	4.02e-67
XP_027055691.1	melanopsin-like [Pocillopora damicornis]	2.95e-66
XP_022793729.1	rhodopsin-like [Stylophora pistillata]	3.91e-66
XP_020897790.2	rhodopsin, G0-coupled [Exaiptasia pallida]	6.58e-66
XP_029200705.1	rhodopsin-like [Acropora millepora]	1.25e-65
XP_031572514.1	melanopsin-like isoform X2 [Actinia tenebrosa]	5.43e-65
XP_031572507.1	melanopsin-like isoform X1 [Actinia tenebrosa]	5.58e-65
