Gene Species Taxon Signature
0 AFH96931.1_long_wave-sensitive_opsin_partial_Poecilia_reticulata AFH96931.1_long_wave-sensitive_opsin_partial_Poecilia_reticulata 0.000792943368972
0 XP_027016422.1_trace_amine-associated_receptor_13c-like_Tachysurus_fulvidraco XP_027016422.1_trace_amine-associated_receptor_13c-like_Tachysurus_fulvidraco 0.00242198476727
0 XP_023656177.1_C-X-C_chemokine_receptor_type_5-like_isoform_X1_Paramormyrops_kingsleyae XP_023656177.1_C-X-C_chemokine_receptor_type_5-like_isoform_X1_Paramormyrops_kingsleyae 0.00291501753791
0 tr|A0A3B3SLC6|A0A3B3SLC6_9TELE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Paramormyrops_kingsleyae_OX_1676925_PE_3_SV_1 tr|A0A3B3SLC6|A0A3B3SLC6_9TELE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Paramormyrops_kingsleyae_OX_1676925_PE_3_SV_1 0.00142178352203
0 CAB1333972.1_unnamed_protein_product_partial_Coregonus_sp._balchen CAB1333972.1_unnamed_protein_product_partial_Coregonus_sp._balchen 0.00242198476727
0 KAF1391236.1_hypothetical_protein_PFLUV_G00039830_Perca_fluviatilis KAF1391236.1_hypothetical_protein_PFLUV_G00039830_Perca_fluviatilis 0.00142178352203
0 XP_032872226.1_P2Y_purinoceptor_3-like_Amblyraja_radiata XP_032872226.1_P2Y_purinoceptor_3-like_Amblyraja_radiata 0.00291501753791
0 XP_032831141.1_cysteinyl_leukotriene_receptor_2-like_Petromyzon_marinus XP_032831141.1_cysteinyl_leukotriene_receptor_2-like_Petromyzon_marinus 0.00242198476727
0 QID92082.1_G-protein-coupled_chemokine_receptor_partial_Lumpy_skin_disease_virus QID92082.1_G-protein-coupled_chemokine_receptor_partial_Lumpy_skin_disease_virus 0.00291501753791
0 tr|A0A182UL45|A0A182UL45_9DIPT_Uncharacterized_protein_OS_Anopheles_melas_OX_34690_PE_4_SV_1 tr|A0A182UL45|A0A182UL45_9DIPT_Uncharacterized_protein_OS_Anopheles_melas_OX_34690_PE_4_SV_1 0.00512118471929
0 tr|A0A3B3BLY7|A0A3B3BLY7_ORYME_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Oryzias_melastigma_OX_30732_PE_3_SV_1 tr|A0A3B3BLY7|A0A3B3BLY7_ORYME_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Oryzias_melastigma_OX_30732_PE_3_SV_1 0.00291501753791
0 tr|A0A3B3IMM8|A0A3B3IMM8_ORYLA_C-X-C_motif_chemokine_receptor_3_OS_Oryzias_latipes_OX_8090_GN_CXCR3_PE_3_SV_1 tr|A0A3B3IMM8|A0A3B3IMM8_ORYLA_C-X-C_motif_chemokine_receptor_3_OS_Oryzias_latipes_OX_8090_GN_CXCR3_PE_3_SV_1 0.00291501753791
0 tr|A0A667WYF5|A0A667WYF5_9TELE_Uncharacterized_protein_OS_Myripristis_murdjan_OX_586833_GN_LOC115380102_PE_4_SV_1 tr|A0A667WYF5|A0A667WYF5_9TELE_Uncharacterized_protein_OS_Myripristis_murdjan_OX_586833_GN_LOC115380102_PE_4_SV_1 0.00242198476727
0 tr|A0A3B3BKT7|A0A3B3BKT7_ORYME_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Oryzias_melastigma_OX_30732_PE_3_SV_1 tr|A0A3B3BKT7|A0A3B3BKT7_ORYME_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Oryzias_melastigma_OX_30732_PE_3_SV_1 0.00291501753791
0 XP_027016324.1_trace_amine-associated_receptor_13c-like_Tachysurus_fulvidraco XP_027016324.1_trace_amine-associated_receptor_13c-like_Tachysurus_fulvidraco 0.00242198476727
0 sp|P22330.1|OPSG1_ASTFA_RecName_Full_Green-sensitive_opsin-1_AltName_Full_Green_cone_photoreceptor_pigment_1 sp|P22330.1|OPSG1_ASTFA_RecName_Full_Green-sensitive_opsin-1_AltName_Full_Green_cone_photoreceptor_pigment_1 0.000507864279565
0 AMB42852.1_long_wavelength_sensitive_opsin_Chlorurus_sordidus AMB42852.1_long_wavelength_sensitive_opsin_Chlorurus_sordidus 0.000792943368972
0 tr|A0A4W5JRZ4|A0A4W5JRZ4_9TELE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Hucho_hucho_OX_62062_PE_3_SV_1 tr|A0A4W5JRZ4|A0A4W5JRZ4_9TELE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Hucho_hucho_OX_62062_PE_3_SV_1 0.00242198476727
0 tr|A0A2K6C3S0|A0A2K6C3S0_MACNE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Macaca_nemestrina_OX_9545_PE_3_SV_1 tr|A0A2K6C3S0|A0A2K6C3S0_MACNE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Macaca_nemestrina_OX_9545_PE_3_SV_1 0.000792943368972
0 XP_033863970.2_2-oxoglutarate_receptor_1-like_Acipenser_ruthenus XP_033863970.2_2-oxoglutarate_receptor_1-like_Acipenser_ruthenus 0.00309059584606
0 XP_030217722.1_lysophosphatidic_acid_receptor_6-like_Gadus_morhua XP_030217722.1_lysophosphatidic_acid_receptor_6-like_Gadus_morhua 0.00132519492413
0 tr|A0A2G9UXU3|A0A2G9UXU3_TELCI_XYPPX_repeat_protein_OS_Teladorsagia_circumcincta_OX_45464_GN_TELCIR_02915_PE_4_SV_1 tr|A0A2G9UXU3|A0A2G9UXU3_TELCI_XYPPX_repeat_protein_OS_Teladorsagia_circumcincta_OX_45464_GN_TELCIR_02915_PE_4_SV_1 0.038547256442
0 XP_032553714.1_P2Y_purinoceptor_13_Chiroxiphia_lanceolata XP_032553714.1_P2Y_purinoceptor_13_Chiroxiphia_lanceolata 0.00512118471929
0 XP_031135335.1_red-sensitive_opsin-like_Sander_lucioperca XP_031135335.1_red-sensitive_opsin-like_Sander_lucioperca 0.00115867585862
0 NLT26536.1_SPFH_domain-containing_protein_Microbacteriaceae_bacterium NLT26536.1_SPFH_domain-containing_protein_Microbacteriaceae_bacterium 0.038547256442
0 KFV98695.1_Cysteinyl_leukotriene_receptor_2_partial_Eurypyga_helias KFV98695.1_Cysteinyl_leukotriene_receptor_2_partial_Eurypyga_helias 0.00242198476727
0 tr|A0A2K5HMT8|A0A2K5HMT8_COLAP_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Colobus_angolensis_palliatus_OX_336983_PE_4_SV_1 tr|A0A2K5HMT8|A0A2K5HMT8_COLAP_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Colobus_angolensis_palliatus_OX_336983_PE_4_SV_1 0.00142178352203
0 BAE28791.1_unnamed_protein_product_Mus_musculus BAE28791.1_unnamed_protein_product_Mus_musculus 0.000507864279565
0 AMB42853.1_long_wavelength_sensitive_opsin_Chlorurus_sordidus AMB42853.1_long_wavelength_sensitive_opsin_Chlorurus_sordidus 0.000792943368972
0 XP_034786904.1_RPE-retinal_G_protein-coupled_receptor_isoform_X2_Pan_paniscus XP_034786904.1_RPE-retinal_G_protein-coupled_receptor_isoform_X2_Pan_paniscus 0.00400617071382
0 tr|A0A182XP30|A0A182XP30_ANOQN_Uncharacterized_protein_OS_Anopheles_quadriannulatus_OX_34691_PE_4_SV_1 tr|A0A182XP30|A0A182XP30_ANOQN_Uncharacterized_protein_OS_Anopheles_quadriannulatus_OX_34691_PE_4_SV_1 0.00242198476727
0 tr|A0A2H1WJQ2|A0A2H1WJQ2_SPOFR_SFRICE_019448_Fragment_OS_Spodoptera_frugiperda_OX_7108_GN_SFRICE_019448_PE_4_SV_1 tr|A0A2H1WJQ2|A0A2H1WJQ2_SPOFR_SFRICE_019448_Fragment_OS_Spodoptera_frugiperda_OX_7108_GN_SFRICE_019448_PE_4_SV_1 0.00242198476727
0 XP_031405706.1_glycine-rich_protein_A3-like_Punica_granatum XP_031405706.1_glycine-rich_protein_A3-like_Punica_granatum 0.038547256442
0 XP_004611213.1_PREDICTED_hydroxycarboxylic_acid_receptor_2_Sorex_araneus XP_004611213.1_PREDICTED_hydroxycarboxylic_acid_receptor_2_Sorex_araneus 0.00291501753791
0 XP_011811310.1_PREDICTED_medium-wave-sensitive_opsin_1-like_Colobus_angolensis_palliatus XP_011811310.1_PREDICTED_medium-wave-sensitive_opsin_1-like_Colobus_angolensis_palliatus 0.00242198476727
0 XP_017215848.1_PREDICTED_glycine-rich_protein_A3-like_Daucus_carota_subsp._sativus XP_017215848.1_PREDICTED_glycine-rich_protein_A3-like_Daucus_carota_subsp._sativus 0.0480893763095
0 XP_025754441.1_leukotriene_B4_receptor_1-like_Oreochromis_niloticus XP_025754441.1_leukotriene_B4_receptor_1-like_Oreochromis_niloticus 0.00242198476727
0 AMB42855.1_long_wavelength_sensitive_opsin_Epibulus_insidiator AMB42855.1_long_wavelength_sensitive_opsin_Epibulus_insidiator 0.00142178352203
0 JAQ21281.1_HCG1648279_putative_Fundulus_heteroclitus JAQ21281.1_HCG1648279_putative_Fundulus_heteroclitus 0.00512118471929
0 T29877.1_EST98579_Human_Thyroid_gland_Homo_sapiens_cDNA_5_end_similar_to_elastase_inhibitor_monocyte_neutrophil_HT_3771_mRNA_sequence T29877.1_EST98579_Human_Thyroid_gland_Homo_sapiens_cDNA_5_end_similar_to_elastase_inhibitor_monocyte_neutrophil_HT_3771_mRNA_sequence 0.0526761255365
0 QDR51018.1_unclassified_opsin_Manduca_sexta QDR51018.1_unclassified_opsin_Manduca_sexta 0.00242198476727
0 AJD38751.1_long-wavelength_sensitive_opsin_partial_Percopsis_transmontana AJD38751.1_long-wavelength_sensitive_opsin_partial_Percopsis_transmontana 0.00242198476727
0 XP_027131531.1_trace_amine-associated_receptor_1_Larimichthys_crocea XP_027131531.1_trace_amine-associated_receptor_1_Larimichthys_crocea 0.00242198476727
