P35361.1	N/A	1.83e-98
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	4.52e-98
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	2.17e-97
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	4.70e-97
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	1.73e-96
O01668.1	N/A	1.86e-95
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	3.25e-94
Q17292.1	N/A	2.28e-93
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	2.99e-93
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	1.61e-92
Q95YI3.1	N/A	3.37e-90
P35356.1	RecName: Full=Rhodopsin [Procambarus clarkii]	3.64e-87
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	1.78e-86
P28679.3	N/A	2.08e-85
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	1.00e-84
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	3.80e-84
P08099.1	N/A	1.03e-83
P28680.3	N/A	1.40e-82
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	1.78e-82
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	2.12e-82
P04950.1	N/A	2.74e-82
Q5YKK9.1	N/A	2.25e-81
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	5.01e-81
P06002.1	N/A	1.53e-80
P28678.4	N/A	3.81e-80
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	4.41e-79
O61303.1	N/A	9.20e-79
O16020.1	RecName: Full=Rhodopsin [Procambarus milleri]	1.51e-78
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	5.91e-78
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	7.95e-78
O16019.1	RecName: Full=Rhodopsin [Orconectes virilis]	7.99e-78
O02465.2	RecName: Full=Opsin-2; Short=MANOP2; AltName: Full=Rhodopsin 2, short-wavelength; AltName: Full=Rhodopsin P357 [Manduca sexta]	8.01e-78
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	8.28e-77
P08255.2	N/A	1.57e-76
P29404.2	N/A	2.07e-76
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	2.59e-76
O16017.1	RecName: Full=Rhodopsin [Lacunicambarus ludovicianus]	2.69e-76
O18485.1	RecName: Full=Rhodopsin [Procambarus orcinus]	8.22e-76
O18481.1	RecName: Full=Rhodopsin [Orconectes australis]	1.42e-75
Q8R456.1	N/A	1.65e-75
O18486.1	RecName: Full=Rhodopsin [Procambarus seminolae]	5.28e-75
P90680.2	N/A	8.39e-75
O18312.1	RecName: Full=Rhodopsin [Cambarus hubrichti]	1.01e-74
P17646.2	RecName: Full=Opsin Rh4; AltName: Full=Inner R7 photoreceptor cells opsin [Drosophila virilis]	2.07e-74
Q1JPS6.1	N/A	5.49e-74
Q9QXZ9.1	N/A	5.94e-74
