Gene Species Taxon Signature
0 XP_026997981.1_RPE-retinal_G_protein-coupled_receptor-like_Tachysurus_fulvidraco XP_026997981.1_RPE-retinal_G_protein-coupled_receptor-like_Tachysurus_fulvidraco 0.00198854832608
0 XP_015806761.1_PREDICTED_C-X-C_chemokine_receptor_type_5_Nothobranchius_furzeri XP_015806761.1_PREDICTED_C-X-C_chemokine_receptor_type_5_Nothobranchius_furzeri 0.0102913249546
0 ELR62217.1_Olfactory_receptor_478_partial_Bos_mutus ELR62217.1_Olfactory_receptor_478_partial_Bos_mutus 0.00467120085117
0 GCF39899.1_hypothetical_protein_parPi_0027532_partial_Paroedura_picta GCF39899.1_hypothetical_protein_parPi_0027532_partial_Paroedura_picta 0.00621207033892
0 PWA22483.1_hypothetical_protein_CCH79_00015412_partial_Gambusia_affinis PWA22483.1_hypothetical_protein_CCH79_00015412_partial_Gambusia_affinis 0.00621207033892
0 XP_025030065.1_P2Y_purinoceptor_8-like_Python_bivittatus XP_025030065.1_P2Y_purinoceptor_8-like_Python_bivittatus 0.00270496405685
0 tr|A0A671PNT3|A0A671PNT3_9TELE_Retinal_G_protein_coupled_receptor_a_OS_Sinocyclocheilus_anshuiensis_OX_1608454_PE_4_SV_1 tr|A0A671PNT3|A0A671PNT3_9TELE_Retinal_G_protein_coupled_receptor_a_OS_Sinocyclocheilus_anshuiensis_OX_1608454_PE_4_SV_1 0.00270496405685
0 XP_006135765.2_olfactory_receptor_14A16-like_Pelodiscus_sinensis XP_006135765.2_olfactory_receptor_14A16-like_Pelodiscus_sinensis 0.00297958151896
0 tr|A0A3Q2PEQ6|A0A3Q2PEQ6_FUNHE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Fundulus_heteroclitus_OX_8078_PE_3_SV_1 tr|A0A3Q2PEQ6|A0A3Q2PEQ6_FUNHE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Fundulus_heteroclitus_OX_8078_PE_3_SV_1 0.00621207033892
0 tr|A0A3Q3D4V9|A0A3Q3D4V9_HIPCM_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Hippocampus_comes_OX_109280_PE_3_SV_1 tr|A0A3Q3D4V9|A0A3Q3D4V9_HIPCM_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Hippocampus_comes_OX_109280_PE_3_SV_1 0.00198854832608
0 XP_006072423.1_RPE-retinal_G_protein-coupled_receptor_isoform_X1_Bubalus_bubalis XP_006072423.1_RPE-retinal_G_protein-coupled_receptor_isoform_X1_Bubalus_bubalis 0.00621207033892
0 tr|A0A4W5JMT9|A0A4W5JMT9_9TELE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Hucho_hucho_OX_62062_PE_3_SV_1 tr|A0A4W5JMT9|A0A4W5JMT9_9TELE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Hucho_hucho_OX_62062_PE_3_SV_1 0.00198854832608
0 BAQ54831.1_opsin_RGR-like_Asiagomphus_melaenops BAQ54831.1_opsin_RGR-like_Asiagomphus_melaenops 0.00621207033892
0 KAA0724804.1_RPE-retinal_G_protein-coupled_receptor_Triplophysa_tibetana KAA0724804.1_RPE-retinal_G_protein-coupled_receptor_Triplophysa_tibetana 0.00270496405685
0 XP_007954995.1_PREDICTED_olfactory_receptor_4C12-like_Orycteropus_afer_afer XP_007954995.1_PREDICTED_olfactory_receptor_4C12-like_Orycteropus_afer_afer 0.00297958151896
0 XP_031954097.1_olfactory_receptor_14J1-like_Corvus_moneduloides XP_031954097.1_olfactory_receptor_14J1-like_Corvus_moneduloides 0.0102913249546
0 XP_018958013.1_PREDICTED_chemokine_XC_receptor_1-like_Cyprinus_carpio XP_018958013.1_PREDICTED_chemokine_XC_receptor_1-like_Cyprinus_carpio 0.00297958151896
0 XP_012892012.1_PREDICTED_olfactory_receptor_4C11-like_Dipodomys_ordii XP_012892012.1_PREDICTED_olfactory_receptor_4C11-like_Dipodomys_ordii 0.0102913249546
0 CAF94914.1_unnamed_protein_product_Tetraodon_nigroviridis CAF94914.1_unnamed_protein_product_Tetraodon_nigroviridis 0.00621207033892
0 PIK62121.1_putative_visual_pigment-like_receptor_peropsin-like_Apostichopus_japonicus PIK62121.1_putative_visual_pigment-like_receptor_peropsin-like_Apostichopus_japonicus 0.0174566110269
0 tr|A0A369RPJ8|A0A369RPJ8_9METZ_Somatostatin_receptor_type_4_OS_Trichoplax_sp._H2_OX_287889_GN_TrispH2_011801_PE_4_SV_1 tr|A0A369RPJ8|A0A369RPJ8_9METZ_Somatostatin_receptor_type_4_OS_Trichoplax_sp._H2_OX_287889_GN_TrispH2_011801_PE_4_SV_1 0.00621207033892
0 tr|A0A4W5R1T5|A0A4W5R1T5_9TELE_Rhodopsin_N_domain-containing_protein_OS_Hucho_hucho_OX_62062_PE_4_SV_1 tr|A0A4W5R1T5|A0A4W5R1T5_9TELE_Rhodopsin_N_domain-containing_protein_OS_Hucho_hucho_OX_62062_PE_4_SV_1 0.0136992365951
0 XP_033830711.1_opsin-5-like_Periophthalmus_magnuspinnatus XP_033830711.1_opsin-5-like_Periophthalmus_magnuspinnatus 0.00198854832608
0 tr|A0A672JYT6|A0A672JYT6_SINGR_Uncharacterized_protein_OS_Sinocyclocheilus_grahami_OX_75366_PE_4_SV_1 tr|A0A672JYT6|A0A672JYT6_SINGR_Uncharacterized_protein_OS_Sinocyclocheilus_grahami_OX_75366_PE_4_SV_1 0.0102913249546
0 XP_002118186.1_hypothetical_protein_TRIADDRAFT_62239_Trichoplax_adhaerens XP_002118186.1_hypothetical_protein_TRIADDRAFT_62239_Trichoplax_adhaerens 0.00621207033892
0 XP_006035086.2_olfactory_receptor_6J1-like_Alligator_sinensis XP_006035086.2_olfactory_receptor_6J1-like_Alligator_sinensis 0.00137251427636
0 tr|A0A3Q3WFR6|A0A3Q3WFR6_MOLML_Retinal_G_protein_coupled_receptor_a_OS_Mola_mola_OX_94237_PE_4_SV_1 tr|A0A3Q3WFR6|A0A3Q3WFR6_MOLML_Retinal_G_protein_coupled_receptor_a_OS_Mola_mola_OX_94237_PE_4_SV_1 0.00198854832608
0 XP_010000430.1_PREDICTED_neuromedin-U_receptor_2_Chaetura_pelagica XP_010000430.1_PREDICTED_neuromedin-U_receptor_2_Chaetura_pelagica 0.00297958151896
0 PIO23127.1_hypothetical_protein_AB205_0165980_Lithobates_catesbeianus PIO23127.1_hypothetical_protein_AB205_0165980_Lithobates_catesbeianus 0.00224473109049
