tr|A0A0A7DNH9|A0A0A7DNH9_9BILA	tr|A0A0A7DNH9|A0A0A7DNH9_9BILA Melanopsin 3 (Fragment) OS=Brachionus koreanus OX=1199090 PE=2 SV=1	2.18e-160
tr|A0A3M7QSR6|A0A3M7QSR6_BRAPC	tr|A0A3M7QSR6|A0A3M7QSR6_BRAPC Visual pigment-like receptor peropsin OS=Brachionus plicatilis OX=10195 GN=BpHYR1_026265 PE=4 SV=1	4.46e-86
tr|A0A3M7RXL2|A0A3M7RXL2_BRAPC	tr|A0A3M7RXL2|A0A3M7RXL2_BRAPC Melanopsin OS=Brachionus plicatilis OX=10195 GN=BpHYR1_019813 PE=3 SV=1	7.23e-51
tr|A0A3M7T6V8|A0A3M7T6V8_BRAPC	tr|A0A3M7T6V8|A0A3M7T6V8_BRAPC Vertebrate ancient opsin-like OS=Brachionus plicatilis OX=10195 GN=BpHYR1_016990 PE=3 SV=1	1.91e-49
tr|A0A0A7DNH5|A0A0A7DNH5_9BILA	tr|A0A0A7DNH5|A0A0A7DNH5_9BILA Melanopsin 1 (Fragment) OS=Brachionus koreanus OX=1199090 PE=2 SV=1	1.08e-48
tr|A0A3M7S4B8|A0A3M7S4B8_BRAPC	tr|A0A3M7S4B8|A0A3M7S4B8_BRAPC Rod opsin OS=Brachionus plicatilis OX=10195 GN=BpHYR1_051192 PE=3 SV=1	1.87e-48
tr|A0A3M7R6U6|A0A3M7R6U6_BRAPC	tr|A0A3M7R6U6|A0A3M7R6U6_BRAPC Melanopsin OS=Brachionus plicatilis OX=10195 GN=BpHYR1_038980 PE=3 SV=1	2.58e-47
tr|A0A3M7S491|A0A3M7S491_BRAPC	tr|A0A3M7S491|A0A3M7S491_BRAPC Melanopsin OS=Brachionus plicatilis OX=10195 GN=BpHYR1_051208 PE=3 SV=1	4.01e-47
tr|A0A3M7SJR7|A0A3M7SJR7_BRAPC	tr|A0A3M7SJR7|A0A3M7SJR7_BRAPC Melanopsin OS=Brachionus plicatilis OX=10195 GN=BpHYR1_018609 PE=3 SV=1	4.01e-46
tr|A0A0A7DN75|A0A0A7DN75_9BILA	tr|A0A0A7DN75|A0A0A7DN75_9BILA C-opsin (Fragment) OS=Brachionus koreanus OX=1199090 PE=2 SV=1	8.78e-45
