XP_009045325.1	hypothetical protein LOTGIDRAFT_156440 [Lottia gigantea]	0.0
XP_025112895.1	rhodopsin, GQ-coupled-like [Pomacea canaliculata]	7.55e-72
XP_012943629.1	PREDICTED: rhodopsin, GQ-coupled-like [Aplysia californica]	2.65e-69
XP_025099879.1	rhodopsin, GQ-coupled-like [Pomacea canaliculata]	1.54e-65
XP_022318649.1	rhodopsin, GQ-coupled-like [Crassostrea virginica]	5.80e-63
XP_011431889.1	rhodopsin [Crassostrea gigas]	8.59e-63
AKS48309.1	rhabdomeric opsin 5 [Platynereis dumerilii]	1.04e-60
AGL94565.1	rhabdomeric opsin 4 [Platynereis dumerilii]	3.93e-59
XP_009062294.1	hypothetical protein LOTGIDRAFT_154846 [Lottia gigantea]	7.98e-59
PVD39252.1	hypothetical protein C0Q70_01880 [Pomacea canaliculata]	2.43e-55
ALO02514.1	opsin Gq1 [Argopecten irradians]	2.65e-55
XP_033747548.1	rhodopsin, GQ-coupled-like [Pecten maximus]	4.34e-55
XP_011447068.2	rhodopsin, GQ-coupled [Crassostrea gigas]	7.30e-55
XP_033747547.1	rhodopsin, GQ-coupled-like [Pecten maximus]	1.63e-54
XP_021373098.1	rhodopsin, GQ-coupled-like [Mizuhopecten yessoensis]	6.13e-54
XP_011441684.1	rhodopsin [Crassostrea gigas]	7.38e-54
XP_022315064.1	LOW QUALITY PROTEIN: rhodopsin, GQ-coupled-like [Crassostrea virginica]	1.81e-53
XP_009065095.1	hypothetical protein LOTGIDRAFT_108602, partial [Lottia gigantea]	1.87e-53
APF30601.1	opsin, partial [Acanthopleura granulata]	2.00e-53
OWF40989.1	Rhodopsin, GQ-coupled [Mizuhopecten yessoensis]	2.75e-53
XP_022318337.1	rhodopsin-like isoform X1 [Crassostrea virginica]	1.74e-52
XP_022318338.1	rhodopsin-like isoform X2 [Crassostrea virginica]	2.11e-52
XP_033748809.1	LOW QUALITY PROTEIN: rhodopsin, GQ-coupled-like [Pecten maximus]	7.74e-52
XP_021373217.1	rhodopsin, GQ-coupled-like [Mizuhopecten yessoensis]	7.95e-52
XP_021357501.1	rhodopsin, GQ-coupled [Mizuhopecten yessoensis]	1.06e-51
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	1.60e-51
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	1.75e-51
OWF48482.1	Rhodopsin, GQ-coupled [Mizuhopecten yessoensis]	1.99e-51
XP_014782988.1	PREDICTED: rhodopsin [Octopus bimaculoides]	2.56e-51
BBA21101.1	rhodopsin [Ambigolimax valentianus]	3.49e-51
ALO02517.1	opsin Gq4 [Argopecten irradians]	4.71e-51
AKL61067.1	rhodopsin [Octopus vulgaris]	5.47e-51
RUS81779.1	hypothetical protein EGW08_010471, partial [Elysia chlorotica]	1.02e-50
BAR90770.1	rhabdomeric opsin [Nautilus pompilius]	1.49e-50
ALO02516.1	opsin Gq3 [Argopecten irradians]	2.04e-50
OWF38997.1	Rhodopsin [Mizuhopecten yessoensis]	2.57e-50
XP_029650125.1	rhodopsin [Octopus vulgaris]	2.61e-50
BAG80976.1	opsin [Triops granarius]	7.21e-50
XP_021377213.1	rhodopsin-like [Mizuhopecten yessoensis]	1.82e-49
ACB05673.1	opsin [Euprymna scolopes]	2.33e-49
ACB05672.1	opsin [Euprymna scolopes]	3.13e-49
XP_013061934.1	PREDICTED: rhodopsin, GQ-coupled-like [Biomphalaria glabrata]	4.13e-49
XP_013061934.1	PREDICTED: rhodopsin, GQ-coupled-like [Biomphalaria glabrata]	1.04e-11
PVD37447.1	hypothetical protein C0Q70_00037 [Pomacea canaliculata]	1.15e-48
RUS76535.1	hypothetical protein EGW08_015707, partial [Elysia chlorotica]	1.49e-48
RUS76535.1	hypothetical protein EGW08_015707, partial [Elysia chlorotica]	2.43e-11
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	2.15e-48
CCP46948.1	Ek arthropsin [Euperipatoides kanangrensis]	2.98e-48
BAG80981.1	opsin [Triops longicaudatus]	6.11e-48
BAR90771.1	rhabdomeric opsin1, partial [Idiosepius paradoxus]	1.15e-47
AKI33350.1	rhodopsin [Doryteuthis pealeii]	1.27e-47
XP_025114680.1	rhodopsin-like [Pomacea canaliculata]	2.69e-47
2005409A	rhodopsin [Alloteuthis subulata]	5.68e-47
XP_013407359.1	rhodopsin, GQ-coupled-like [Lingula anatina]	5.74e-47
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	6.72e-47
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	1.44e-46
MPC33972.1	Compound eye opsin BCRH1 [Portunus trituberculatus]	1.48e-46
AKI33359.1	rhodopsin [Sepia officinalis]	1.65e-46
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	1.75e-46
ADT78511.1	rhodopsin [Sepia officinalis]	1.87e-46
APY20587.1	ultraviolet sensitive opsin 1, partial [Colaphellus bowringi]	2.11e-46
ADT78510.1	rhodopsin [Sepia officinalis]	2.12e-46
APY20632.1	ultraviolet sensitive opsin [Migdolus fryanus]	2.32e-46
ADT78509.1	rhodopsin [Sepia officinalis]	2.40e-46
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	2.43e-46
XP_021373133.1	rhodopsin, GQ-coupled-like [Mizuhopecten yessoensis]	2.45e-46
XP_028140065.1	opsin-2-like [Diabrotica virgifera virgifera]	3.27e-46
KFW76080.1	Melanopsin, partial [Manacus vitellinus]	3.32e-46
APY20504.1	ultraviolet sensitive opsin [Lagria hirta]	3.46e-46
XP_033748010.1	rhodopsin, GQ-coupled-like [Pecten maximus]	3.61e-46
ENN79878.1	hypothetical protein YQE_03697, partial [Dendroctonus ponderosae]	3.74e-46
APY20510.1	ultraviolet sensitive opsin [Macrosiagon limbatum]	5.80e-46
XP_009022296.1	hypothetical protein HELRODRAFT_132379, partial [Helobdella robusta]	7.87e-46
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	9.85e-46
XP_028991161.1	melanopsin-A-like isoform X2 [Betta splendens]	1.19e-45
ALO02515.1	opsin Gq2 [Argopecten irradians]	1.23e-45
AUR34014.1	R opsin [Argopecten irradians]	1.35e-45
APY20612.1	ultraviolet sensitive opsin 2 [Harmonia axyridis]	1.56e-45
AMB26726.1	r-opsin, partial [Leptochiton asellus]	1.78e-45
XP_032805343.1	melanopsin-like [Petromyzon marinus]	1.92e-45
XP_012643470.1	melanopsin isoform X2 [Microcebus murinus]	2.04e-45
XP_023275009.1	melanopsin-like, partial [Seriola lalandi dorsalis]	2.27e-45
XP_012643469.1	melanopsin isoform X1 [Microcebus murinus]	2.32e-45
KFQ82702.1	Melanopsin, partial [Phoenicopterus ruber ruber]	2.50e-45
KFO94485.1	Melanopsin, partial [Buceros rhinoceros silvestris]	2.60e-45
RUS72711.1	hypothetical protein EGW08_019532 [Elysia chlorotica]	2.74e-45
ACT31580.1	opsin 1 [Gelasimus vomeris]	3.28e-45
AKI33355.1	rhodopsin [Sepia latimanus]	3.39e-45
XP_023018922.1	opsin-2-like [Leptinotarsa decemlineata]	3.54e-45
XP_027751738.1	melanopsin [Empidonax traillii]	3.78e-45
APY20589.1	ultraviolet sensitive opsin [Conwentzia psociformis]	3.82e-45
XP_024913593.1	melanopsin-like [Cynoglossus semilaevis]	4.83e-45
XP_015796120.1	PREDICTED: melanopsin-A-like [Nothobranchius furzeri]	4.85e-45
XP_026809925.1	rhodopsin-like isoform X3 [Rhopalosiphum maidis]	5.04e-45
AID66634.1	opsin B, partial [Helobdella robusta]	5.19e-45
XP_030742373.1	melanopsin [Echinops telfairi]	5.46e-45
KFP68651.1	Melanopsin, partial [Cariama cristata]	5.71e-45
ADL16643.1	retinal mammal-like melanopsin, partial [Trachemys scripta elegans]	5.74e-45
XP_027505148.1	melanopsin [Corapipo altera]	5.95e-45
XP_034148478.1	melanopsin-A isoform X2 [Esox lucius]	6.13e-45
APY20493.1	ultraviolet sensitive opsin [Cucujus clavipes]	7.30e-45
APY20598.1	ultraviolet sensitive opsin [Cylas puncticollis]	7.76e-45
XP_026809919.1	rhodopsin-like isoform X1 [Rhopalosiphum maidis]	7.76e-45
XP_026809923.1	rhodopsin-like isoform X2 [Rhopalosiphum maidis]	7.93e-45
XP_029934536.1	melanopsin-like [Myripristis murdjan]	8.40e-45
XP_028991160.1	melanopsin-A-like isoform X1 [Betta splendens]	9.33e-45
XP_017937061.2	melanopsin [Manacus vitellinus]	1.03e-44
CAC86665.1	rhabdomeric opsin [Platynereis dumerilii]	1.05e-44
XP_027590423.1	melanopsin [Pipra filicauda]	1.09e-44
KFQ16982.1	Melanopsin, partial [Merops nubicus]	1.14e-44
XP_019755582.1	PREDICTED: opsin, ultraviolet-sensitive-like [Dendroctonus ponderosae]	1.15e-44
KFW62726.1	Melanopsin, partial [Pygoscelis adeliae]	1.17e-44
XP_032550070.1	melanopsin [Chiroxiphia lanceolata]	1.17e-44
XP_026798225.1	melanopsin-A isoform X3 [Pangasianodon hypophthalmus]	1.25e-44
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	1.25e-44
XP_010868545.3	melanopsin-A isoform X1 [Esox lucius]	1.30e-44
KAF2982848.1	hypothetical protein EK904_005783 [Melospiza melodia maxima]	1.36e-44
XP_019651038.2	melanopsin isoform X2 [Ailuropoda melanoleuca]	1.43e-44
APY20618.1	ultraviolet sensitive opsin 1 [Leptinotarsa decemlineata]	1.52e-44
XP_034158955.1	melanopsin-A isoform X2 [Pangasianodon hypophthalmus]	1.54e-44
XP_022622107.1	melanopsin-like [Seriola dumerili]	1.58e-44
XP_006217444.1	melanopsin [Vicugna pacos]	1.75e-44
BAS66935.1	mammalian-like melanopsin [Lethenteron camtschaticum]	1.83e-44
XP_012506728.1	PREDICTED: melanopsin isoform X2 [Propithecus coquereli]	1.84e-44
APY20539.1	long wavelength sensitive opsin [Tenthredo koehleri]	1.91e-44
XP_029986405.1	melanopsin-A-like [Sphaeramia orbicularis]	2.00e-44
XP_034158954.1	melanopsin-A isoform X1 [Pangasianodon hypophthalmus]	2.10e-44
XP_029691350.1	melanopsin-A isoform X3 [Takifugu rubripes]	2.13e-44
XP_027554472.1	melanopsin [Neopelma chrysocephalum]	2.15e-44
XP_024153027.1	melanopsin isoform X2 [Oryzias melastigma]	2.20e-44
XP_030762437.1	opsin, ultraviolet-sensitive-like [Sitophilus oryzae]	2.20e-44
XP_012720886.1	melanopsin-A-like [Fundulus heteroclitus]	2.25e-44
KFP81537.1	Melanopsin-A, partial [Acanthisitta chloris]	2.31e-44
