XP_002589213.1	hypothetical protein BRAFLDRAFT_185357, partial [Branchiostoma floridae]	0.0
XP_019648011.1	PREDICTED: pinopsin-like [Branchiostoma belcheri]	1.30e-175
XP_023250846.1	opsin-3-like isoform X3 [Seriola lalandi dorsalis]	9.71e-62
XP_029935789.1	pinopsin-like [Myripristis murdjan]	1.00e-61
XP_023250845.1	opsin-3-like isoform X2 [Seriola lalandi dorsalis]	2.49e-61
XP_023250844.1	pinopsin-like isoform X1 [Seriola lalandi dorsalis]	1.14e-60
XP_022604509.1	pinopsin-like [Seriola dumerili]	5.31e-60
XP_034416592.1	teleost multiple tissue opsin b [Cyclopterus lumpus]	7.21e-60
XP_010769568.1	PREDICTED: pinopsin-like [Notothenia coriiceps]	1.03e-59
XP_034070040.1	teleost multiple tissue opsin b [Gymnodraco acuticeps]	1.66e-59
XP_005449126.1	opsin-3 isoform X2 [Oreochromis niloticus]	1.84e-59
XP_024135483.1	pinopsin-like [Oryzias melastigma]	2.75e-59
XP_034004952.1	teleost multiple tissue opsin b [Trematomus bernacchii]	3.07e-59
XP_029314152.1	LOW QUALITY PROTEIN: pinopsin-like [Cottoperca gobio]	6.22e-59
XP_031600908.1	pinopsin-like [Oreochromis aureus]	6.29e-59
XP_033964739.1	teleost multiple tissue opsin b [Pseudochaenichthys georgianus]	7.21e-59
NP_001292340.1	teleost multiple tissue opsin b [Oryzias latipes]	8.36e-59
XP_003439339.1	pinopsin isoform X1 [Oreochromis niloticus]	9.55e-59
XP_033841781.1	pinopsin-like [Periophthalmus magnuspinnatus]	1.04e-58
XP_019740297.1	PREDICTED: pinopsin-like [Hippocampus comes]	1.30e-58
XP_034717509.1	teleost multiple tissue opsin b [Etheostoma cragini]	1.58e-58
XP_004551907.1	pinopsin [Maylandia zebra]	2.37e-58
XP_033494275.1	teleost multiple tissue opsin b [Epinephelus lanceolatus]	2.43e-58
XP_032359334.1	pinopsin-like [Etheostoma spectabile]	2.53e-58
XP_015246133.1	PREDICTED: vertebrate ancient opsin-like [Cyprinodon variegatus]	3.50e-58
XP_034428890.1	teleost multiple tissue opsin b [Hippoglossus hippoglossus]	7.24e-58
XP_030612611.1	opsin-3-like isoform X2 [Archocentrus centrarchus]	7.42e-58
XP_023181785.1	opsin-3-like isoform X2 [Xiphophorus maculatus]	9.86e-58
XP_018534825.1	PREDICTED: pinopsin-like [Lates calcarifer]	1.33e-57
XP_033838613.1	vertebrate ancient opsin-like [Periophthalmus magnuspinnatus]	1.46e-57
XP_031153547.1	pinopsin-like [Sander lucioperca]	1.98e-57
