2X72_A	Chain A, Rhodopsin [Bos taurus]	4.53e-39
3C9M_A	Chain A, Rhodopsin [unidentified]	1.40e-38
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	1.43e-38
1F88_A	N/A	1.73e-38
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.76e-38
5DYS_A	Chain A, Rhodopsin [Bos taurus]	5.24e-38
6FKB_A	Chain A, Rhodopsin [Bos taurus]	8.85e-38
6FK6_A	Chain A, Rhodopsin [Bos taurus]	9.40e-38
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.30e-37
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.33e-37
4BEY_A	Chain A, Rhodopsin [Bos taurus]	1.83e-37
6FUF_A	Chain A, Rhodopsin [Bos taurus]	3.85e-36
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	5.37e-36
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	5.47e-36
2Z73_A	N/A	2.40e-35
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.29e-32
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	6.63e-32
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	7.56e-32
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	9.75e-32
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	2.12e-27
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	2.05e-12
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	2.20e-10
6TO7_A	Chain A, Orexin receptor type 1 [Homo sapiens]	1.26e-09
6TOD_A	Chain A, Orexin receptor type 1 [Homo sapiens]	1.48e-09
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	2.67e-08
6TP3_A	Chain A, Orexin receptor type 1 [Homo sapiens]	2.81e-08
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	8.34e-08
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	9.32e-08
6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]	9.58e-08
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	1.13e-07
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	1.28e-07
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	1.28e-07
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	1.31e-07
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	1.40e-07
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	1.42e-07
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	1.43e-07
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	1.47e-07
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	1.84e-07
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	1.90e-07
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.94e-07
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	1.97e-07
6KUX_A	Chain A, alpha2A adrenergic receptor [Spodoptera frugiperda]	1.97e-07
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	1.98e-07
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	3.04e-07
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	3.95e-07
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	5.68e-07
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	6.80e-07
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	7.63e-07
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	8.48e-07
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	8.67e-07
4N6H_A	Chain A, Soluble cytochrome b562, Delta-type opioid receptor chimeric protein [Homo sapiens]	9.87e-07
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	9.96e-07
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	1.01e-06
6E67_A	Chain A, Beta-2 adrenergic receptor,Endolysin,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,Beta-2 adrenergic receptor chimera [Homo sapiens]	1.50e-06
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.56e-06
6PRZ_A	Chain A, Fusion protein of Beta-2 adrenergic receptor and T4 Lysozyme [Homo sapiens]	2.57e-06
4RWA_A	Chain A, Soluble cytochrome b562,Delta-type opioid receptor [Homo sapiens]	2.65e-06
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	2.79e-06
4IAR_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Homo sapiens]	2.92e-06
3D4S_A	Chain A, Beta-2 adrenergic receptor/T4-lysozyme chimera [Homo sapiens]	2.99e-06
4IAQ_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Escherichia coli]	3.09e-06
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	3.51e-06
3PDS_A	Chain A, Fusion protein Beta-2 adrenergic receptor/Lysozyme [Homo sapiens]	3.71e-06
2RH1_A	Chain A, beta-2-adrenergic receptor/T4-lysozyme chimera [Homo sapiens]	4.01e-06
3P0G_A	Chain A, Beta-2 adrenergic receptor, Lysozyme [Escherichia virus T4]	4.27e-06
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	4.95e-06
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	5.13e-06
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	6.38e-06
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	7.66e-06
6WWZ_R	Chain R, C-C chemokine receptor type 6,C-C chemokine receptor type 6 [Homo sapiens]	8.71e-06
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	8.95e-06
6MEO_B	Chain B, C-C chemokine receptor type 5 [Homo sapiens]	1.06e-05
6J21_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	1.15e-05
