P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	2.09e-64
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	4.61e-61
O42266.1	N/A	2.32e-59
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	2.72e-59
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	3.13e-58
Q9H1Y3.1	N/A	3.80e-57
Q9WUK7.1	N/A	2.12e-56
O13018.1	N/A	4.53e-55
Q5YKK9.1	N/A	3.27e-50
P22331.1	N/A	7.17e-50
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	1.33e-49
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	3.09e-49
P15409.2	N/A	9.65e-49
P02699.1	N/A	1.09e-48
O62798.1	N/A	1.14e-48
P28681.1	N/A	1.15e-48
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	1.72e-48
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	2.12e-48
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	2.37e-48
P49912.1	N/A	2.75e-48
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	2.96e-48
P22330.1	RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1 [Psalidodon fasciatus]	3.23e-48
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	3.81e-48
O62791.1	N/A	4.54e-48
Q769E8.1	N/A	5.78e-48
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	7.92e-48
O12948.1	N/A	9.50e-48
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	1.11e-47
Q95KU1.1	N/A	1.51e-47
Q9YGY9.1	RecName: Full=Rhodopsin [Zosterisessor ophiocephalus]	1.83e-47
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	1.86e-47
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	2.15e-47
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	2.34e-47
P87369.1	N/A	2.40e-47
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	2.69e-47
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	3.50e-47
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	4.92e-47
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	4.92e-47
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	5.24e-47
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	5.70e-47
P34989.1	RecName: Full=Opsin, longwave 563 nm [Callithrix jacchus]	6.17e-47
Q28886.1	N/A	6.26e-47
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	7.87e-47
P52202.1	N/A	8.07e-47
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	8.62e-47
P51488.1	RecName: Full=Rhodopsin [Cyprinus carpio]	8.74e-47
O18766.1	N/A	8.84e-47
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	1.14e-46
O62794.1	N/A	1.27e-46
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	1.29e-46
Q9YH04.1	RecName: Full=Rhodopsin [Diplodus vulgaris]	1.29e-46
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	1.74e-46
P22332.2	N/A	2.10e-46
Q9YH03.1	RecName: Full=Rhodopsin [Sarpa salpa]	2.20e-46
Q9YH00.1	RecName: Full=Rhodopsin [Lithognathus mormyrus]	2.55e-46
Q9YGZ2.1	RecName: Full=Rhodopsin [Gobius niger]	2.68e-46
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	2.73e-46
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	2.73e-46
O42604.1	RecName: Full=Rhodopsin [Zeus faber]	3.25e-46
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	3.26e-46
Q9YGZ8.1	RecName: Full=Rhodopsin [Chelon labrosus]	3.49e-46
P41592.1	N/A	3.61e-46
Q9DGG4.1	RecName: Full=Rhodopsin [Tetraodon nigroviridis]	3.71e-46
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	3.85e-46
Q9YGZ6.1	RecName: Full=Rhodopsin [Chelon auratus]	4.12e-46
P41590.1	N/A	4.46e-46
P04000.1	RecName: Full=Long-wave-sensitive opsin 1; AltName: Full=Red cone photoreceptor pigment; AltName: Full=Red-sensitive opsin; Short=ROP [Homo sapiens]	5.13e-46
Q9YH05.1	RecName: Full=Rhodopsin [Diplodus annularis]	6.58e-46
Q9R024.1	N/A	7.38e-46
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	7.82e-46
O18912.2	N/A	8.11e-46
P32313.1	RecName: Full=Red-sensitive opsin; AltName: Full=Red cone photoreceptor pigment [Carassius auratus]	8.29e-46
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	1.01e-45
P51472.1	N/A	1.13e-45
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.13e-45
O18913.2	N/A	1.38e-45
Q9YH02.1	N/A	1.42e-45
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	1.47e-45
O14718.1	N/A	1.53e-45
Q9YGZ3.1	RecName: Full=Rhodopsin [Salaria pavo]	1.60e-45
P79848.1	RecName: Full=Rhodopsin [Poecilia reticulata]	1.63e-45
P28683.1	N/A	1.69e-45
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	1.73e-45
Q8AYN0.1	RecName: Full=Red-sensitive opsin-2; AltName: Full=Opsin-1, long-wave-sensitive 2; Short=Opsin LWS-2; AltName: Full=Red cone photoreceptor pigment 2 [Danio rerio]	1.73e-45
P35358.1	RecName: Full=Green-sensitive opsin P521; AltName: Full=Green photoreceptor pigment [Gekko gecko]	1.77e-45
Q68J47.1	N/A	2.70e-45
P04001.1	N/A	2.74e-45
Q9YGZ5.1	RecName: Full=Rhodopsin [Solea solea]	2.74e-45
P79756.1	RecName: Full=Rhodopsin [Gambusia affinis]	3.11e-45
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	3.51e-45
P22329.1	N/A	3.76e-45
P32308.1	N/A	4.31e-45
O35214.1	N/A	4.33e-45
O35478.2	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin; AltName: Full=Medium wavelength-sensitive cone opsin [Sciurus carolinensis]	4.75e-45
O35476.2	N/A	4.99e-45
Q9YH01.1	RecName: Full=Rhodopsin [Mullus surmuletus]	5.35e-45
Q9YGZ7.1	RecName: Full=Rhodopsin [Chelon saliens]	5.68e-45
Q9YGZ0.1	RecName: Full=Rhodopsin [Sardina pilchardus]	6.74e-45
P08100.1	N/A	6.75e-45
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	7.39e-45
P22328.1	N/A	7.40e-45
P32310.1	N/A	7.40e-45
O35599.1	N/A	8.48e-45
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	9.14e-45
Q9YGZ9.1	RecName: Full=Rhodopsin [Mugil cephalus]	9.96e-45
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	1.22e-44
P22671.1	RecName: Full=Rhodopsin [Lethenteron camtschaticum]	1.39e-44
O62796.1	N/A	1.50e-44
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	1.86e-44
Q95170.1	N/A	2.55e-44
O18914.2	N/A	2.66e-44
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	3.18e-44
O18910.2	N/A	3.52e-44
P35357.1	RecName: Full=Blue-sensitive opsin P467; AltName: Full=Blue photoreceptor pigment [Gekko gecko]	3.82e-44
Q9BGI7.1	N/A	5.33e-44
Q9W6A7.1	N/A	1.32e-43
O42268.1	RecName: Full=Rhodopsin [Ictalurus punctatus]	1.85e-43
O57422.1	N/A	1.94e-43
Q90215.1	RecName: Full=Rhodopsin, freshwater form [Anguilla anguilla]	2.36e-43
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	2.70e-43
P87367.1	N/A	3.15e-43
P41591.1	RecName: Full=Rhodopsin [Anolis carolinensis]	3.18e-43
Q8R456.1	N/A	3.61e-43
Q9YGZ4.1	RecName: Full=Rhodopsin [Dicentrarchus labrax]	4.01e-43
Q1JPS6.1	N/A	4.49e-43
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	4.84e-43
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	6.46e-43
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	8.38e-43
Q90214.1	RecName: Full=Rhodopsin, deep-sea form [Anguilla anguilla]	1.44e-42
P51471.1	N/A	1.72e-42
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	2.45e-42
Q8AYM7.1	N/A	4.17e-42
Q9QXZ9.1	N/A	4.62e-42
O42294.1	RecName: Full=Rhodopsin [Abyssocottus korotneffi]	4.64e-42
O42330.1	RecName: Full=Rhodopsin [Cottocomephorus inermis]	6.08e-42
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	1.90e-41
