P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	8.54e-67
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	3.63e-62
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	1.70e-60
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	1.72e-60
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	7.46e-60
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.26e-58
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	9.94e-52
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	6.29e-50
Q5YKK9.1	N/A	1.25e-48
O57422.1	N/A	2.73e-48
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	3.05e-48
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	7.10e-47
Q8R456.1	N/A	1.05e-44
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	2.00e-44
Q9QXZ9.1	N/A	9.75e-44
Q1JPS6.1	N/A	1.35e-43
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	4.22e-43
Q9UHM6.1	N/A	5.07e-43
P91657.1	N/A	1.29e-42
P35361.1	N/A	1.21e-41
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	3.28e-41
O61303.1	N/A	9.98e-41
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	1.26e-40
Q95YI3.1	N/A	1.15e-39
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	3.47e-39
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	3.61e-39
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	4.73e-39
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	8.29e-39
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	4.32e-38
P90680.2	N/A	1.00e-37
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	1.05e-37
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	3.85e-37
O02465.2	RecName: Full=Opsin-2; Short=MANOP2; AltName: Full=Rhodopsin 2, short-wavelength; AltName: Full=Rhodopsin P357 [Manduca sexta]	5.16e-37
Q9WUK7.1	N/A	1.90e-36
P28678.4	N/A	5.24e-36
Q6U736.3	N/A	5.62e-36
P06002.1	N/A	1.18e-35
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	1.29e-35
Q17292.1	N/A	2.27e-35
Q26495.1	RecName: Full=Opsin-2 [Schistocerca gregaria]	6.04e-35
Q6VZZ7.1	N/A	1.52e-34
O01668.1	N/A	7.32e-34
P28679.3	N/A	9.06e-34
P28680.3	N/A	1.58e-33
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	3.37e-33
P41590.1	N/A	7.45e-33
P04950.1	N/A	9.66e-33
Q9H1Y3.1	N/A	2.29e-32
P08099.1	N/A	2.31e-32
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	2.39e-32
O14718.1	N/A	6.09e-32
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	1.54e-31
P35356.1	RecName: Full=Rhodopsin [Procambarus clarkii]	2.64e-31
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	2.70e-31
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	4.97e-31
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	5.62e-31
O35214.1	N/A	7.39e-31
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	8.07e-31
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	8.69e-31
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	9.91e-31
O96107.1	RecName: Full=Opsin-3; Short=MANOP3; AltName: Full=Rhodopsin 3, short-wavelength; AltName: Full=Rhodopsin P450 [Manduca sexta]	1.02e-30
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	1.73e-30
