4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	9.58e-59
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	1.28e-58
2Z73_A	N/A	8.73e-58
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	9.20e-58
1F88_A	N/A	1.53e-26
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.56e-26
4BEY_A	Chain A, Rhodopsin [Bos taurus]	2.39e-26
5DYS_A	Chain A, Rhodopsin [Bos taurus]	3.67e-26
2X72_A	Chain A, Rhodopsin [Bos taurus]	3.82e-26
3C9M_A	Chain A, Rhodopsin [unidentified]	4.29e-26
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	4.35e-26
6FK6_A	Chain A, Rhodopsin [Bos taurus]	5.06e-26
6FKB_A	Chain A, Rhodopsin [Bos taurus]	5.12e-26
6FUF_A	Chain A, Rhodopsin [Bos taurus]	8.72e-26
6QNO_R	Chain R, Rhodopsin [Bos taurus]	9.79e-26
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	9.94e-26
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.72e-23
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	8.77e-23
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	9.36e-23
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	9.53e-23
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	1.40e-12
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	1.34e-11
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	1.82e-10
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	1.83e-10
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	1.99e-10
6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]	2.95e-10
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	4.84e-10
6KUX_A	Chain A, alpha2A adrenergic receptor [Spodoptera frugiperda]	5.90e-10
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	6.56e-10
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	7.26e-10
6LW5_A	Chain A, Soluble cytochrome b562,N-formyl peptide receptor 2 [Escherichia coli]	9.69e-10
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	1.02e-09
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	1.04e-09
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.42e-09
6OMM_R	Chain R, N-formyl peptide receptor 2 [Homo sapiens]	1.44e-09
