tr|M9UW95|M9UW95_TERTR	tr|M9UW95|M9UW95_TERTR Go opsin 2 OS=Terebratalia transversa OX=34513 PE=2 SV=1	0.0
tr|A0A672NV78|A0A672NV78_SINGR	tr|A0A672NV78|A0A672NV78_SINGR Uncharacterized protein OS=Sinocyclocheilus grahami OX=75366 GN=LOC107601102 PE=4 SV=1	2.08e-12
tr|A0A671LXE9|A0A671LXE9_9TELE	tr|A0A671LXE9|A0A671LXE9_9TELE Uncharacterized protein OS=Sinocyclocheilus anshuiensis OX=1608454 GN=LOC107658099 PE=4 SV=1	4.94e-12
tr|M7CIJ5|M7CIJ5_CHEMY	tr|M7CIJ5|M7CIJ5_CHEMY Pro-epidermal growth factor OS=Chelonia mydas OX=8469 GN=UY3_01923 PE=3 SV=1	3.80e-11
tr|F1QPE1|F1QPE1_DANRE	tr|F1QPE1|F1QPE1_DANRE Teleost multiple tissue opsin 3a OS=Danio rerio OX=7955 GN=tmtops3a PE=2 SV=3	1.99e-10
tr|R9R6H5|R9R6H5_DANRE	tr|R9R6H5|R9R6H5_DANRE Teleost multiple tissue opsin 3a OS=Danio rerio OX=7955 GN=tmtops3a PE=2 SV=1	2.01e-10
tr|A0A3Q2ZH51|A0A3Q2ZH51_KRYMA	tr|A0A3Q2ZH51|A0A3Q2ZH51_KRYMA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Kryptolebias marmoratus OX=37003 PE=3 SV=1	3.82e-10
tr|L8YFB3|L8YFB3_TUPCH	tr|L8YFB3|L8YFB3_TUPCH Visual pigment-like receptor peropsin OS=Tupaia chinensis OX=246437 GN=TREES_T100005709 PE=3 SV=1	4.88e-10
tr|A0A095B215|A0A095B215_SCHHA	tr|A0A095B215|A0A095B215_SCHHA Putative opsin-like receptor OS=Schistosoma haematobium OX=6185 GN=MS3_0017236 PE=3 SV=1	1.25e-09
tr|A0A672PL36|A0A672PL36_SINGR	tr|A0A672PL36|A0A672PL36_SINGR Uncharacterized protein OS=Sinocyclocheilus grahami OX=75366 GN=LOC107561544 PE=4 SV=1	1.33e-09
tr|A0A183K4T1|A0A183K4T1_9TREM	tr|A0A183K4T1|A0A183K4T1_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistosoma curassoni OX=6186 GN=SCUD_LOCUS10001 PE=3 SV=1	1.35e-09
tr|A0A3N0Z0K2|A0A3N0Z0K2_ANAGA	tr|A0A3N0Z0K2|A0A3N0Z0K2_ANAGA Adhesion G-protein coupled receptor G4 OS=Anabarilius grahami OX=495550 GN=DPX16_19262 PE=3 SV=1	1.55e-09
tr|A0A0P7W9R7|A0A0P7W9R7_SCLFO	tr|A0A0P7W9R7|A0A0P7W9R7_SCLFO Opsin-3-like (Fragment) OS=Scleropages formosus OX=113540 GN=Z043_122346 PE=3 SV=1	2.22e-09
tr|A0A671N7E7|A0A671N7E7_9TELE	tr|A0A671N7E7|A0A671N7E7_9TELE Teleost multiple tissue opsin 3a OS=Sinocyclocheilus anshuiensis OX=1608454 PE=4 SV=1	2.30e-09
tr|A0A673KZH6|A0A673KZH6_9TELE	tr|A0A673KZH6|A0A673KZH6_9TELE Teleost multiple tissue opsin 3a OS=Sinocyclocheilus rhinocerous OX=307959 PE=4 SV=1	3.88e-09
tr|A0A674AVI4|A0A674AVI4_SALTR	tr|A0A674AVI4|A0A674AVI4_SALTR Uncharacterized protein OS=Salmo trutta OX=8032 GN=LOC115165267 PE=4 SV=1	4.68e-09
tr|A0A3B4E8F3|A0A3B4E8F3_PYGNA	tr|A0A3B4E8F3|A0A3B4E8F3_PYGNA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Pygocentrus nattereri OX=42514 PE=3 SV=1	4.71e-09
tr|A0A401S7W5|A0A401S7W5_CHIPU	tr|A0A401S7W5|A0A401S7W5_CHIPU G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Chiloscyllium punctatum OX=137246 GN=chiPu_2000056 PE=3 SV=1	4.85e-09
