6FK6_A	Chain A, Rhodopsin [Bos taurus]	2.41e-42
6FKB_A	Chain A, Rhodopsin [Bos taurus]	2.50e-42
2X72_A	Chain A, Rhodopsin [Bos taurus]	3.09e-42
1F88_A	N/A	3.32e-42
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	3.40e-42
3C9M_A	Chain A, Rhodopsin [unidentified]	3.54e-42
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	3.62e-42
4BEY_A	Chain A, Rhodopsin [Bos taurus]	3.73e-42
5DYS_A	Chain A, Rhodopsin [Bos taurus]	7.40e-42
6FUF_A	Chain A, Rhodopsin [Bos taurus]	1.60e-41
6QNO_R	Chain R, Rhodopsin [Bos taurus]	3.50e-41
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	3.58e-41
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	7.46e-36
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	8.69e-36
2Z73_A	N/A	2.59e-35
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	4.65e-35
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	7.06e-34
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	7.62e-34
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	7.99e-34
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	3.57e-25
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	9.81e-19
5C1M_A	Chain A, Mu-type opioid receptor [Mus musculus]	1.23e-17
6DDE_R	Chain R, Mu-type opioid receptor [Mus musculus]	2.06e-17
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	2.29e-16
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	2.38e-16
