O13018.1	N/A	1.99e-36
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	1.28e-35
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	1.13e-34
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	3.46e-34
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	1.13e-32
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	7.56e-32
Q9H1Y3.1	N/A	1.01e-31
O42266.1	N/A	1.10e-31
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	1.28e-31
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	1.72e-31
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	2.30e-31
O14718.1	N/A	1.08e-29
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	2.11e-29
Q17292.1	N/A	2.77e-29
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	5.72e-29
O35214.1	N/A	1.14e-28
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	1.47e-28
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	2.70e-28
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	4.63e-28
Q9WUK7.1	N/A	1.74e-27
P34989.1	RecName: Full=Opsin, longwave 563 nm [Callithrix jacchus]	2.76e-27
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	3.59e-27
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	6.34e-27
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	8.16e-27
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	8.55e-27
Q5YKK9.1	N/A	1.44e-26
O57422.1	N/A	2.59e-26
Q1JPS6.1	N/A	2.63e-26
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	3.90e-26
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	5.91e-26
Q95YI3.1	N/A	1.07e-25
P22329.1	N/A	1.52e-25
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	1.87e-25
Q8R456.1	N/A	4.80e-25
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	6.01e-25
P04000.1	RecName: Full=Long-wave-sensitive opsin 1; AltName: Full=Red cone photoreceptor pigment; AltName: Full=Red-sensitive opsin; Short=ROP [Homo sapiens]	8.03e-25
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	1.15e-24
Q95170.1	N/A	2.23e-24
Q9BGI7.1	N/A	4.14e-24
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	1.14e-23
P35361.1	N/A	1.21e-23
Q9QXZ9.1	N/A	1.49e-23
Q9UHM6.1	N/A	1.59e-23
O18913.2	N/A	2.55e-23
O18914.2	N/A	3.09e-23
P32310.1	N/A	5.60e-23
O35478.2	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin; AltName: Full=Medium wavelength-sensitive cone opsin [Sciurus carolinensis]	7.87e-23
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	9.06e-23
O18912.2	N/A	9.53e-23
P41592.1	N/A	1.01e-22
P28683.1	N/A	1.06e-22
Q6U736.3	N/A	1.09e-22
Q9R024.1	N/A	1.11e-22
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	1.92e-22
O18910.2	N/A	1.96e-22
P22332.2	N/A	2.30e-22
P87367.1	N/A	2.30e-22
Q6VZZ7.1	N/A	2.39e-22
P51472.1	N/A	2.41e-22
O35599.1	N/A	3.78e-22
O12948.1	N/A	6.05e-22
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	6.35e-22
O35476.2	N/A	7.48e-22
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	8.98e-22
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	1.04e-21
P32313.1	RecName: Full=Red-sensitive opsin; AltName: Full=Red cone photoreceptor pigment [Carassius auratus]	1.33e-21
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	2.35e-21
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	2.45e-21
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	2.69e-21
P41590.1	N/A	2.95e-21
O16017.1	RecName: Full=Rhodopsin [Lacunicambarus ludovicianus]	3.37e-21
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	4.98e-21
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	5.80e-21
P02699.1	N/A	5.80e-21
O18911.1	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin [Odocoileus virginianus virginianus]	5.97e-21
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	6.34e-21
P04001.1	N/A	6.84e-21
O16018.1	RecName: Full=Rhodopsin [Cambarellus shufeldtii]	7.07e-21
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	7.49e-21
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	7.52e-21
P28679.3	N/A	8.01e-21
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	8.21e-21
P51471.1	N/A	1.08e-20
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	1.14e-20
P41591.1	RecName: Full=Rhodopsin [Anolis carolinensis]	1.15e-20
O16020.1	RecName: Full=Rhodopsin [Procambarus milleri]	1.30e-20
Q63652.2	RecName: Full=Short-wave-sensitive opsin 1; Short=S opsin; AltName: Full=Blue cone photoreceptor pigment; AltName: Full=Blue-sensitive opsin; Short=BOP; AltName: Full=Short wavelength-sensitive cone opsin [Rattus norvegicus]	1.57e-20
P03999.1	N/A	1.98e-20
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	2.33e-20
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	3.01e-20
Q769E8.1	N/A	3.08e-20
Q8AYN0.1	RecName: Full=Red-sensitive opsin-2; AltName: Full=Opsin-1, long-wave-sensitive 2; Short=Opsin LWS-2; AltName: Full=Red cone photoreceptor pigment 2 [Danio rerio]	3.93e-20
O18485.1	RecName: Full=Rhodopsin [Procambarus orcinus]	4.37e-20
P22331.1	N/A	6.15e-20
O18481.1	RecName: Full=Rhodopsin [Orconectes australis]	6.49e-20
P51491.1	N/A	6.49e-20
P35358.1	RecName: Full=Green-sensitive opsin P521; AltName: Full=Green photoreceptor pigment [Gekko gecko]	6.60e-20
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	7.04e-20
P22330.1	RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1 [Psalidodon fasciatus]	9.52e-20
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	1.01e-19
P51473.1	N/A	1.09e-19
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	1.17e-19
O18766.1	N/A	1.39e-19
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	1.61e-19
O16019.1	RecName: Full=Rhodopsin [Orconectes virilis]	1.64e-19
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	1.87e-19
P08099.1	N/A	2.17e-19
P22328.1	N/A	2.28e-19
P51488.1	RecName: Full=Rhodopsin [Cyprinus carpio]	2.40e-19
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	2.47e-19
Q95KU1.1	N/A	2.51e-19
Q9W6A9.2	RecName: Full=Opsin-1, short-wave-sensitive 1; Short=Opsin SWS-1; AltName: Full=Ultraviolet cone photoreceptor pigment; AltName: Full=Ultraviolet-sensitive opsin [Danio rerio]	2.86e-19
O57605.1	N/A	2.92e-19
O18486.1	RecName: Full=Rhodopsin [Procambarus seminolae]	3.29e-19
Q90215.1	RecName: Full=Rhodopsin, freshwater form [Anguilla anguilla]	3.39e-19
P52202.1	N/A	3.39e-19
P22671.1	RecName: Full=Rhodopsin [Lethenteron camtschaticum]	3.67e-19
O62791.1	N/A	3.89e-19
P49912.1	N/A	3.89e-19
O01668.1	N/A	5.34e-19
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	5.50e-19
O18315.1	RecName: Full=Rhodopsin [Cambarus maculatus]	5.59e-19
O42451.1	RecName: Full=Rhodopsin [Procottus jettelesii]	5.93e-19
Q9W6A8.1	N/A	8.26e-19
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	8.95e-19
O62798.1	N/A	9.31e-19
P35356.1	RecName: Full=Rhodopsin [Procambarus clarkii]	1.04e-18
O18312.1	RecName: Full=Rhodopsin [Cambarus hubrichti]	1.10e-18
Q9W6A7.1	N/A	1.71e-18
