NP_001296686.1	melanopsin-A-like [Hydra vulgaris]	2.77e-35
NP_001274706.1	uncharacterized protein LOC101241511 [Hydra vulgaris]	3.29e-32
XP_002163358.2	PREDICTED: medium-wave-sensitive opsin 1-like [Hydra vulgaris]	7.77e-30
XP_002163209.2	PREDICTED: long-wave-sensitive opsin 1-like [Hydra vulgaris]	2.24e-28
XP_028279036.1	vertebrate ancient opsin-like [Parambassis ranga]	9.13e-27
XP_019737420.1	PREDICTED: vertebrate ancient opsin-like [Hippocampus comes]	1.53e-26
XP_026046679.1	vertebrate ancient opsin-like isoform X2 [Astatotilapia calliptera]	1.73e-26
XP_012687386.2	short-wave-sensitive opsin 1 [Clupea harengus]	6.37e-26
XP_003963671.2	vertebrate ancient opsin-like [Takifugu rubripes]	7.09e-26
XP_028983572.1	vertebrate ancient opsin-like [Betta splendens]	7.61e-26
XP_033835475.1	vertebrate ancient long opsin a [Periophthalmus magnuspinnatus]	8.79e-26
XP_008320427.1	vertebrate ancient opsin-like [Cynoglossus semilaevis]	1.14e-25
XP_004554619.1	vertebrate ancient opsin [Maylandia zebra]	1.68e-25
XP_026046678.1	vertebrate ancient opsin-like isoform X1 [Astatotilapia calliptera]	1.83e-25
XP_003458738.1	vertebrate ancient opsin [Oreochromis niloticus]	1.85e-25
XP_031593774.1	vertebrate ancient opsin-like [Oreochromis aureus]	1.91e-25
XP_028324217.1	vertebrate ancient opsin-like [Gouania willdenowi]	2.30e-25
XP_006799123.1	PREDICTED: opsin-VA-like [Neolamprologus brichardi]	2.48e-25
XP_010753558.1	vertebrate ancient opsin [Larimichthys crocea]	3.12e-25
XP_034465048.1	vertebrate ancient long opsin a [Hippoglossus hippoglossus]	3.35e-25
XP_026152351.1	LOW QUALITY PROTEIN: vertebrate ancient opsin-like [Mastacembelus armatus]	3.50e-25
XP_008543306.1	PREDICTED: blue-sensitive opsin-like [Microplitis demolitor]	4.64e-25
XP_029962583.1	vertebrate ancient opsin-like [Salarias fasciatus]	6.72e-25
XP_030604192.1	vertebrate ancient opsin-like [Archocentrus centrarchus]	7.36e-25
XP_029376850.1	vertebrate ancient opsin-like [Echeneis naucrates]	8.55e-25
XP_020797654.1	vertebrate ancient opsin-like [Boleophthalmus pectinirostris]	1.05e-24
XP_002163327.1	PREDICTED: melanopsin-A-like [Hydra vulgaris]	1.16e-24
XP_026211499.1	vertebrate ancient long opsin a [Anabas testudineus]	1.36e-24
XP_008297597.1	PREDICTED: vertebrate ancient opsin-like [Stegastes partitus]	1.44e-24
XP_033469549.1	vertebrate ancient long opsin a [Epinephelus lanceolatus]	1.44e-24
NP_001129987.1	vertebrate ancient long opsin a [Oryzias latipes]	1.47e-24
XP_022078348.1	vertebrate ancient opsin-like [Acanthochromis polyacanthus]	2.04e-24
XP_022059629.1	vertebrate ancient opsin-like [Acanthochromis polyacanthus]	2.12e-24
XP_024153540.1	vertebrate ancient opsin-like [Oryzias melastigma]	2.22e-24
XP_017289664.1	vertebrate ancient opsin-like [Kryptolebias marmoratus]	2.31e-24
XP_027053518.1	melanopsin-B-like isoform X2 [Pocillopora damicornis]	2.36e-24
XP_030011495.1	vertebrate ancient opsin-like [Sphaeramia orbicularis]	2.55e-24
XP_014842943.1	PREDICTED: parapinopsin-like [Poecilia mexicana]	2.59e-24
XP_020629280.1	LOW QUALITY PROTEIN: pinopsin-like [Orbicella faveolata]	3.49e-24
XP_019945769.1	PREDICTED: vertebrate ancient opsin-like [Paralichthys olivaceus]	3.60e-24
XP_018542780.1	PREDICTED: vertebrate ancient opsin-like [Lates calcarifer]	3.94e-24
XP_012717834.1	vertebrate ancient opsin-like [Fundulus heteroclitus]	4.18e-24
XP_007552764.1	PREDICTED: parapinopsin-like [Poecilia formosa]	4.40e-24
XP_026131433.1	blue-sensitive opsin [Carassius auratus]	5.14e-24
XP_008407942.1	PREDICTED: parapinopsin-like [Poecilia reticulata]	5.18e-24
XP_016146299.1	PREDICTED: blue-sensitive opsin-like isoform X1 [Sinocyclocheilus grahami]	5.68e-24
XP_020496963.1	vertebrate ancient opsin-like [Labrus bergylta]	5.69e-24
XP_020516035.1	putative violet-sensitive opsin [Labrus bergylta]	5.77e-24
XP_005795226.1	vertebrate ancient opsin-like [Xiphophorus maculatus]	6.98e-24
XP_008428640.1	PREDICTED: vertebrate ancient opsin-like [Poecilia reticulata]	7.12e-24
XP_020607308.1	melanopsin-like [Orbicella faveolata]	7.87e-24
XP_007566857.1	PREDICTED: vertebrate ancient opsin-like [Poecilia formosa]	7.95e-24
XP_016297930.1	PREDICTED: blue-sensitive opsin [Sinocyclocheilus anshuiensis]	9.05e-24
XP_018933434.1	PREDICTED: blue-sensitive opsin [Cyprinus carpio]	9.33e-24
XP_020629279.1	melanopsin-A-like [Orbicella faveolata]	9.64e-24
XP_022599404.1	vertebrate ancient opsin-like [Seriola dumerili]	1.42e-23
XP_023281504.1	vertebrate ancient opsin-like [Seriola lalandi dorsalis]	1.46e-23
XP_015243448.1	PREDICTED: vertebrate ancient opsin-like [Cyprinodon variegatus]	1.51e-23
XP_027053517.1	melanopsin-B-like isoform X1 [Pocillopora damicornis]	1.57e-23
XP_013885718.1	PREDICTED: vertebrate ancient opsin-like [Austrofundulus limnaeus]	1.73e-23
XP_023140666.1	vertebrate ancient opsin-like [Amphiprion ocellaris]	1.79e-23
XP_027857582.1	parapinopsin-like [Xiphophorus couchianus]	1.85e-23
XP_032405111.1	parapinopsin-like [Xiphophorus hellerii]	1.97e-23
XP_016420130.1	PREDICTED: blue-sensitive opsin [Sinocyclocheilus rhinocerous]	2.40e-23
XP_016103929.1	PREDICTED: blue-sensitive opsin [Sinocyclocheilus grahami]	2.48e-23
XP_005807344.1	parapinopsin-like [Xiphophorus maculatus]	2.67e-23
