6FK6_A	Chain A, Rhodopsin [Bos taurus]	3.01e-71
6FKB_A	Chain A, Rhodopsin [Bos taurus]	3.41e-71
3C9M_A	Chain A, Rhodopsin [unidentified]	3.77e-71
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	3.88e-71
1F88_A	N/A	3.98e-71
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	4.09e-71
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.28e-70
5DYS_A	Chain A, Rhodopsin [Bos taurus]	1.48e-70
6FUF_A	Chain A, Rhodopsin [Bos taurus]	2.88e-70
4BEY_A	Chain A, Rhodopsin [Bos taurus]	3.46e-70
6QNO_R	Chain R, Rhodopsin [Bos taurus]	5.29e-70
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	5.45e-70
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	3.55e-64
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	6.82e-61
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	7.17e-61
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	7.62e-61
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	9.81e-34
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	1.29e-33
2Z73_A	N/A	4.01e-33
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	5.01e-30
5C1M_A	Chain A, Mu-type opioid receptor [Mus musculus]	1.56e-15
6DDE_R	Chain R, Mu-type opioid receptor [Mus musculus]	2.17e-15
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	3.42e-15
6TOD_A	Chain A, Orexin receptor type 1 [Homo sapiens]	4.48e-15
6TO7_A	Chain A, Orexin receptor type 1 [Homo sapiens]	1.93e-14
4S0V_A	Chain A, Human Orexin receptor type 2 fusion protein to P. abysii Glycogen Synthase [Homo sapiens]	6.56e-14
5WQC_A	Chain A, Orexin receptor type 2,GlgA glycogen synthase,Orexin receptor type 2 [Homo sapiens]	6.63e-14
4IAR_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Homo sapiens]	2.55e-12
4IAQ_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Escherichia coli]	3.16e-12
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	3.26e-12
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	5.10e-12
4ZJ8_A	Chain A, human OX1R fusion protein to P.abysii glycogen synthase [Homo sapiens]	6.26e-12
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	7.92e-12
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	8.10e-12
6TP3_A	Chain A, Orexin receptor type 1 [Homo sapiens]	9.98e-12
4DKL_A	Chain A, Mu-type opioid receptor, lysozyme chimera [Mus musculus]	1.47e-11
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	1.50e-11
6TPG_A	Chain A, Orexin receptor type 2,GlgA glycogen synthase,Hypocretin receptor-2 [Homo sapiens]	1.99e-11
6TPJ_A	Chain A, Orexin receptor type 2,GlgA glycogen synthase,Hypocretin receptor-2 [Homo sapiens]	2.04e-11
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	3.34e-11
6A93_A	Chain A, 5-hydroxytryptamine receptor 2A,Soluble cytochrome b562 [Homo sapiens]	1.13e-10
6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]	4.03e-10
6KUX_A	Chain A, alpha2A adrenergic receptor [Spodoptera frugiperda]	8.12e-10
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	1.14e-09
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	1.33e-09
4RWA_A	Chain A, Soluble cytochrome b562,Delta-type opioid receptor [Homo sapiens]	2.05e-09
4N6H_A	Chain A, Soluble cytochrome b562, Delta-type opioid receptor chimeric protein [Homo sapiens]	2.41e-09
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	2.72e-09
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	3.71e-09
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	5.77e-09
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	6.27e-09
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	1.03e-08
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.73e-08
6LI3_R	Chain R, G-protein coupled receptor 52 [Homo sapiens]	1.87e-08
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	2.11e-08
6OL9_A	Chain A, Muscarinic acetylcholine receptor M5, T4 Lysozyme fusion [Homo sapiens]	2.52e-08
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	3.13e-08
6OIK_R	Chain R, Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2 [Homo sapiens]	6.92e-08
3PBL_A	Chain A, D(3) dopamine receptor, Lysozyme chimera [Homo sapiens]	9.20e-08
4EJ4_A	Chain A, Delta-type opioid receptor, Lysozyme chimera [Mus musculus]	9.21e-08
6J21_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	1.40e-07
6PT2_A	Chain A, Delta opioid receptor [Homo sapiens]	2.26e-07
4ZUD_A	Chain A, Chimera protein of Soluble cytochrome b562 and Type-1 angiotensin II receptor [Escherichia coli]	2.26e-07
4YAY_A	Chain A, Soluble cytochrome b562,Type-1 angiotensin II receptor [Escherichia coli]	2.49e-07
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	2.81e-07
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	3.62e-07
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	3.68e-07
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	3.98e-07
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	4.89e-07
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	6.22e-07
6J20_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	7.03e-07
3RZE_A	Chain A, Histamine H1 receptor, Lysozyme chimera [Escherichia virus T4]	7.60e-07
