XP_029705920.1	opsin-5-like [Takifugu rubripes]	0.0
XP_018553448.1	PREDICTED: LOW QUALITY PROTEIN: opsin-5-like [Lates calcarifer]	0.0
XP_022621041.1	opsin-5-like [Seriola dumerili]	0.0
XP_026197605.1	opsin 8, group member b [Anabas testudineus]	0.0
XP_026174873.1	opsin-5-like [Mastacembelus armatus]	0.0
XP_023285820.1	opsin-5-like [Seriola lalandi dorsalis]	0.0
XP_013875522.1	PREDICTED: opsin-5-like [Austrofundulus limnaeus]	0.0
XP_012722095.1	opsin-5-like [Fundulus heteroclitus]	0.0
XP_017264731.1	opsin-5 [Kryptolebias marmoratus]	0.0
XP_027895746.1	opsin-5-like [Xiphophorus couchianus]	0.0
XP_032440894.1	opsin-5-like [Xiphophorus hellerii]	0.0
XP_008396501.1	PREDICTED: opsin-5-like isoform X1 [Poecilia reticulata]	0.0
XP_033504257.1	opsin 8, group member b [Epinephelus lanceolatus]	0.0
XP_014875325.1	PREDICTED: opsin-5-like isoform X1 [Poecilia latipinna]	0.0
XP_007566688.1	PREDICTED: opsin-5-like isoform X1 [Poecilia formosa]	0.0
XP_029966710.1	opsin-5-like [Salarias fasciatus]	0.0
XP_014847995.1	PREDICTED: opsin-5-like isoform X1 [Poecilia mexicana]	0.0
XP_031610913.1	opsin-5-like [Oreochromis aureus]	0.0
XP_022077080.1	opsin-5-like [Acanthochromis polyacanthus]	0.0
XP_003440853.2	opsin-5 [Oreochromis niloticus]	0.0
XP_005798352.1	opsin-5-like [Xiphophorus maculatus]	0.0
XP_029902666.1	opsin-5-like [Myripristis murdjan]	2.15e-180
XP_030260281.1	opsin-5-like [Sparus aurata]	2.80e-180
XP_020497276.1	opsin-5-like [Labrus bergylta]	2.59e-179
XP_008277839.1	PREDICTED: opsin-5-like [Stegastes partitus]	3.62e-179
XP_019962567.1	PREDICTED: opsin-5-like [Paralichthys olivaceus]	4.36e-179
XP_035000367.1	opsin 8, group member b [Hippoglossus stenolepis]	4.44e-179
XP_034435453.1	opsin 8, group member b [Hippoglossus hippoglossus]	7.77e-179
