BAF95836.1	opsin [Cladonema radiatum]	0.0
BAF95837.1	opsin [Cladonema radiatum]	0.0
BAF95845.1	opsin, partial [Cladonema radiatum]	0.0
BAF95838.1	opsin [Cladonema radiatum]	5.62e-165
BAF95846.1	opsin, partial [Cladonema radiatum]	6.72e-127
BAF95835.1	opsin [Cladonema radiatum]	2.76e-109
BAF95842.1	opsin [Cladonema radiatum]	6.70e-108
BAF95834.1	opsin [Cladonema radiatum]	1.58e-101
BAF95830.1	opsin [Cladonema radiatum]	3.81e-94
BAF95829.1	opsin [Cladonema radiatum]	1.51e-92
BAF95831.1	opsin [Cladonema radiatum]	5.12e-88
BAF95840.1	opsin [Cladonema radiatum]	8.64e-88
BAF95841.1	opsin [Cladonema radiatum]	1.01e-86
BAF95832.1	opsin [Cladonema radiatum]	1.60e-84
BAF95833.1	opsin [Cladonema radiatum]	1.82e-82
BAF95847.1	opsin, partial [Cladonema radiatum]	1.51e-70
XP_002163209.2	PREDICTED: long-wave-sensitive opsin 1-like [Hydra vulgaris]	2.65e-68
NP_001296686.1	melanopsin-A-like [Hydra vulgaris]	1.99e-67
XP_002163358.2	PREDICTED: medium-wave-sensitive opsin 1-like [Hydra vulgaris]	4.49e-64
XP_002163327.1	PREDICTED: melanopsin-A-like [Hydra vulgaris]	4.75e-63
NP_001274706.1	uncharacterized protein LOC101241511 [Hydra vulgaris]	9.96e-51
BAG80696.1	opsin [Carybdea rastonii]	2.21e-49
AHZ63731.1	lens eye opsin, partial [Tripedalia cystophora]	1.51e-48
AGB67492.1	c-like opsin [Tripedalia cystophora]	1.65e-48
NP_001296626.1	uncharacterized protein LOC101237290 [Hydra vulgaris]	4.36e-47
AGB67496.1	c-like opsin [Tripedalia cystophora]	1.41e-45
AGB67500.1	c-like opsin [Tripedalia cystophora]	1.65e-44
QBL02613.1	opsin-like GPCR [Tripedalia cystophora]	1.55e-43
AUO16426.1	opsin 7 [Clytia hemisphaerica]	7.11e-41
BAF95844.1	opsin [Podocoryna carnea]	2.89e-34
BAF95825.1	opsin [Cladonema radiatum]	8.31e-34
AGB67499.1	c-like opsin [Tripedalia cystophora]	1.16e-32
XP_015770772.1	PREDICTED: melanopsin-B-like [Acropora digitifera]	1.48e-31
XP_020632135.1	parapinopsin-like [Orbicella faveolata]	8.82e-31
DAB27255.1	TPA_inf: xenopsinA [Stylochus ellipticus]	2.68e-30
XP_015766789.1	PREDICTED: melanopsin-A-like [Acropora digitifera]	4.94e-30
XP_029207997.1	melanopsin-A-like [Acropora millepora]	5.60e-30
BAF95826.1	opsin [Cladonema radiatum]	1.74e-29
QBS47880.1	opsin-like protein [Tripedalia cystophora]	2.84e-29
XP_029180859.1	melanopsin-B-like [Acropora millepora]	1.08e-28
XP_027040672.1	rhodopsin, G0-coupled-like [Pocillopora damicornis]	1.99e-28
XP_009045392.1	hypothetical protein LOTGIDRAFT_156508 [Lottia gigantea]	2.04e-28
XP_022792232.1	rhodopsin, G0-coupled-like [Stylophora pistillata]	3.06e-28
XP_020629279.1	melanopsin-A-like [Orbicella faveolata]	3.26e-28
AJA32831.1	SWS2 opsin [Passerina cyanea]	1.17e-27
XP_013410035.1	visual pigment-like receptor peropsin [Lingula anatina]	1.21e-27
XP_032939523.1	blue-sensitive opsin [Catharus ustulatus]	1.43e-27
XP_029197859.1	melanopsin-A-like [Acropora millepora]	1.54e-27
XP_020629280.1	LOW QUALITY PROTEIN: pinopsin-like [Orbicella faveolata]	1.56e-27
TRZ08688.1	hypothetical protein HGM15179_018419 [Zosterops borbonicus]	1.87e-27
AJA32834.1	SWS2 opsin [Phylloscopus occipitalis]	1.89e-27
BAF95828.1	opsin [Cladonema radiatum]	2.28e-27
AJA32840.1	SWS2 opsin [Regulus regulus]	2.36e-27
AJA32839.1	SWS2 opsin [Chelidorhynx hypoxanthus]	2.67e-27
AJA32838.1	SWS2 opsin [Seicercus whistleri]	2.76e-27
XP_030826202.1	LOW QUALITY PROTEIN: blue-sensitive opsin-like [Camarhynchus parvulus]	2.79e-27
APB88015.1	Go coupled opsin 2 [Argopecten irradians]	3.52e-27
AJA32830.1	SWS2 opsin [Zonotrichia albicollis]	4.08e-27
AJA32832.1	SWS2 opsin [Abrornis humei]	5.16e-27
XP_020610779.1	melanopsin-B-like [Orbicella faveolata]	5.77e-27
AJA32833.1	SWS2 opsin [Abrornis maculipennis]	6.74e-27
XP_022792205.1	melanopsin-like [Stylophora pistillata]	6.77e-27
AJA32823.1	SWS2 opsin [Geothlypis trichas]	7.10e-27
AJA32815.1	SWS2 opsin [Setophaga caerulescens]	8.19e-27
AJA32836.1	SWS2 opsin [Phylloscopus pulcher]	8.98e-27
XP_017333830.1	PREDICTED: visual pigment-like receptor peropsin [Ictalurus punctatus]	1.01e-26
XP_032241746.1	visual pigment-like receptor peropsin isoform X2 [Nematostella vectensis]	1.04e-26
KAF1403224.1	Blue-sensitive opsin, partial [Spheniscus magellanicus]	1.04e-26
XP_005534462.1	PREDICTED: blue-sensitive opsin [Pseudopodoces humilis]	1.05e-26
XP_015752574.1	PREDICTED: melanopsin-A-like [Acropora digitifera]	1.07e-26
XP_014748884.1	PREDICTED: blue-sensitive opsin [Sturnus vulgaris]	1.20e-26
AJA32818.1	SWS2 opsin [Setophaga magnolia]	1.22e-26
KAF1566669.1	Blue-sensitive opsin, partial [Eudyptes pachyrhynchus]	1.29e-26
XP_019934145.1	PREDICTED: parapinopsin-like [Paralichthys olivaceus]	1.30e-26
XP_032241745.1	visual pigment-like receptor peropsin isoform X1 [Nematostella vectensis]	1.53e-26
XP_029379533.1	parapinopsin-like [Echeneis naucrates]	1.70e-26
XP_022781142.1	melanopsin-B-like [Stylophora pistillata]	1.75e-26
AIT68814.1	SWS2 opsin [Grus americana]	1.77e-26
AJA32826.1	SWS2 opsin [Seiurus aurocapilla]	2.61e-26
KAF1545228.1	Blue-sensitive opsin, partial [Eudyptes schlegeli]	2.68e-26
XP_007252482.1	opsin-VA-like [Astyanax mexicanus]	4.98e-26
XP_034996916.1	blue-sensitive opsin-like [Zootoca vivipara]	5.00e-26
XP_027056920.1	melanopsin-B-like [Pocillopora damicornis]	6.84e-26
XP_007534554.1	PREDICTED: visual pigment-like receptor peropsin [Erinaceus europaeus]	7.78e-26
AFK82745.1	short wavelength sensitive 2 opsin, partial [Ptilonorhynchus violaceus]	7.90e-26
BAF95843.1	opsin [Podocoryna carnea]	8.30e-26
XP_020610778.1	melanopsin-B-like [Orbicella faveolata]	8.52e-26
XP_029290329.1	parapinopsin-like [Cottoperca gobio]	1.14e-25
AFK82744.1	short wavelength sensitive 2 opsin, partial [Scenopoeetes dentirostris]	1.23e-25
XP_020897723.2	melanopsin-like [Exaiptasia pallida]	1.39e-25
XP_006782785.1	PREDICTED: opsin-VA-like [Neolamprologus brichardi]	1.68e-25
FAA00390.1	TPA: opsin [Nematostella vectensis]	1.94e-25
XP_022312762.1	parapinopsin-like [Crassostrea virginica]	2.05e-25
XP_032220955.1	melanopsin isoform X2 [Nematostella vectensis]	2.13e-25
AFK82747.1	short wavelength sensitive 2 opsin, partial [Chlamydera maculata]	2.51e-25
XP_022312731.1	parapinopsin-like [Crassostrea virginica]	2.59e-25
XP_021137142.1	blue-sensitive opsin isoform X6 [Columba livia]	2.80e-25
VTJ63154.1	Hypothetical predicted protein [Marmota monax]	2.80e-25
XP_012735693.1	parapinopsin-like [Fundulus heteroclitus]	2.84e-25
NP_001070165.1	blue-sensitive opsin [Taeniopygia guttata]	2.98e-25
AKS48307.1	Go coupled opsin 2 [Platynereis dumerilii]	3.04e-25
KAF0040688.1	hypothetical protein F2P81_006586 [Scophthalmus maximus]	3.23e-25
XP_020648730.1	blue-sensitive opsin-like isoform X2 [Pogona vitticeps]	3.25e-25
XP_030047919.1	long-wave-sensitive opsin 1 [Microcaecilia unicolor]	3.30e-25
FAA00400.1	TPA: opsin [Nematostella vectensis]	3.37e-25
XP_033778260.1	long-wave-sensitive opsin 1 [Geotrypetes seraphini]	3.50e-25
XP_017349407.1	PREDICTED: opsin-VA-like [Ictalurus punctatus]	3.51e-25
XP_027040654.1	melanopsin-like [Pocillopora damicornis]	3.55e-25
XP_015362435.1	PREDICTED: medium-wave-sensitive opsin 1 [Marmota marmota marmota]	3.67e-25
XP_032220954.1	visual pigment-like receptor peropsin isoform X1 [Nematostella vectensis]	3.69e-25
AWU59275.1	short-wavelength sensitive 2 opsin [Chitala ornata]	3.82e-25
KAE8298011.1	Blue-sensitive opsin Blue cone photoreceptor pigment KFH-B [Larimichthys crocea]	3.99e-25
XP_018581148.1	blue-sensitive opsin-like [Scleropages formosus]	4.26e-25
NP_001296977.1	blue-sensitive opsin [Columba livia]	4.28e-25
XP_005281338.1	blue-sensitive opsin-like [Chrysemys picta bellii]	4.91e-25
XP_032648983.1	pinopsin-like [Chelonoidis abingdonii]	5.10e-25
XP_015764657.1	PREDICTED: melanopsin-like [Acropora digitifera]	5.41e-25
ANV21070.1	parapinopsin [Geotria australis]	5.60e-25
AAZ79910.1	SWS2 [Uta stansburiana]	5.64e-25
XP_026778752.1	parietopsin [Pangasianodon hypophthalmus]	6.04e-25
XP_033029417.1	blue-sensitive opsin-like [Lacerta agilis]	6.18e-25
XP_012621652.1	visual pigment-like receptor peropsin isoform X2 [Microcebus murinus]	6.67e-25
ANV21067.1	long-wavelength-sensitive opsin [Mordacia mordax]	7.49e-25
XP_020617662.1	melanopsin-A-like [Orbicella faveolata]	7.79e-25
XP_025949792.1	blue-sensitive opsin [Dromaius novaehollandiae]	7.93e-25
AFK82743.1	short wavelength sensitive 2 opsin, partial [Ailuroedus crassirostris]	8.05e-25
XP_020857087.1	visual pigment-like receptor peropsin [Phascolarctos cinereus]	8.16e-25
XP_005728303.1	PREDICTED: parapinopsin-like [Pundamilia nyererei]	8.18e-25
XP_001622972.2	visual pigment-like receptor peropsin [Nematostella vectensis]	8.23e-25
XP_023135119.1	parapinopsin-like [Amphiprion ocellaris]	8.43e-25
XP_030392523.1	pinopsin-like [Gopherus evgoodei]	8.50e-25
XP_014888838.1	PREDICTED: parapinopsin-like isoform X1 [Poecilia latipinna]	8.80e-25
XP_027056926.1	melanopsin-B-like [Pocillopora damicornis]	9.02e-25
XP_026031282.1	parapinopsin-like [Astatotilapia calliptera]	9.34e-25
EDO30872.1	predicted protein [Nematostella vectensis]	9.51e-25
XP_021156097.1	pinopsin isoform X1 [Columba livia]	1.13e-24
XP_012517499.1	PREDICTED: long-wave-sensitive opsin 1 [Propithecus coquereli]	1.18e-24
RMX57919.1	hypothetical protein pdam_00006692 [Pocillopora damicornis]	1.19e-24
XP_012621651.1	visual pigment-like receptor peropsin isoform X1 [Microcebus murinus]	1.19e-24
ANA75362.1	short-wavelength sensitive opsin 2 [Paralichthys dentatus]	1.23e-24
XP_015753552.1	PREDICTED: melanopsin-like [Acropora digitifera]	1.25e-24
XP_026786602.1	opsin 6, group member a [Pangasianodon hypophthalmus]	1.28e-24
XP_034390451.1	parapinopsin-like [Cyclopterus lumpus]	1.29e-24
XP_029909374.1	vertebrate ancient opsin-like [Myripristis murdjan]	1.35e-24
XP_031419350.1	uncharacterized protein LOC105891518 [Clupea harengus]	1.37e-24
XP_029786107.1	long-wave-sensitive opsin 1 [Suricata suricatta]	1.37e-24
XP_006138790.1	pinopsin-like [Pelodiscus sinensis]	1.39e-24
XP_026268600.1	medium-wave-sensitive opsin 1 [Urocitellus parryii]	1.51e-24
TSL68199.1	Opsin-5 [Bagarius yarrelli]	1.52e-24
XP_015753551.1	PREDICTED: melanopsin-like [Acropora digitifera]	1.55e-24
XP_004606654.1	PREDICTED: long-wave-sensitive opsin 1 [Sorex araneus]	1.57e-24
XP_029349724.1	opsin-5-like [Echeneis naucrates]	1.61e-24
XP_027693152.1	visual pigment-like receptor peropsin [Vombatus ursinus]	1.68e-24
XP_028568556.1	blue-sensitive opsin-like [Podarcis muralis]	1.73e-24
