6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	4.89e-133
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	8.92e-67
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	1.01e-66
2Z73_A	N/A	9.15e-66
5DYS_A	Chain A, Rhodopsin [Bos taurus]	7.18e-34
1F88_A	N/A	9.68e-34
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	9.87e-34
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.73e-33
4BEY_A	Chain A, Rhodopsin [Bos taurus]	2.09e-33
3C9M_A	Chain A, Rhodopsin [unidentified]	2.22e-33
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	2.26e-33
6QNO_R	Chain R, Rhodopsin [Bos taurus]	2.67e-33
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	2.72e-33
6FKB_A	Chain A, Rhodopsin [Bos taurus]	3.60e-32
6FK6_A	Chain A, Rhodopsin [Bos taurus]	8.70e-32
6FUF_A	Chain A, Rhodopsin [Bos taurus]	1.13e-31
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	2.27e-28
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	2.39e-28
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.14e-28
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.29e-28
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	3.69e-22
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	4.16e-20
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.45e-19
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	8.27e-19
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	1.06e-18
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	1.21e-18
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.45e-18
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	1.52e-18
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.44e-18
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	2.76e-18
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	3.56e-18
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	4.03e-18
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	9.29e-18
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	1.12e-17
6LI3_R	Chain R, G-protein coupled receptor 52 [Homo sapiens]	1.36e-17
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.38e-17
