Gene Species Taxon Signature
0 KAF3695114.1_C-X-C_chemokine_receptor_type_1_Channa_argus KAF3695114.1_C-X-C_chemokine_receptor_type_1_Channa_argus 0.0057614133257
0 RDD36981.1_Substance-K_receptor_Trichoplax_sp._H2 RDD36981.1_Substance-K_receptor_Trichoplax_sp._H2 0.0057614133257
0 OBS67939.1_hypothetical_protein_A6R68_03520_partial_Neotoma_lepida OBS67939.1_hypothetical_protein_A6R68_03520_partial_Neotoma_lepida 0.0147403868158
0 XP_027016324.1_trace_amine-associated_receptor_13c-like_Tachysurus_fulvidraco XP_027016324.1_trace_amine-associated_receptor_13c-like_Tachysurus_fulvidraco 0.00477905882453
0 tr|H2MMN1|H2MMN1_ORYLA_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Oryzias_latipes_OX_8090_PE_4_SV_2 tr|H2MMN1|H2MMN1_ORYLA_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Oryzias_latipes_OX_8090_PE_4_SV_2 0.00738016008617
0 XP_032831141.1_cysteinyl_leukotriene_receptor_2-like_Petromyzon_marinus XP_032831141.1_cysteinyl_leukotriene_receptor_2-like_Petromyzon_marinus 0.00738016008617
0 XP_025946889.1_LOW_QUALITY_PROTEIN_short-wave-sensitive_opsin_1_Apteryx_rowi XP_025946889.1_LOW_QUALITY_PROTEIN_short-wave-sensitive_opsin_1_Apteryx_rowi 0.0147403868158
0 XP_025944497.1_G-protein_coupled_receptor_1_isoform_X1_Apteryx_rowi XP_025944497.1_G-protein_coupled_receptor_1_isoform_X1_Apteryx_rowi 0.00547736178787
0 XP_025917749.1_olfactory_receptor_14J1-like_Apteryx_rowi XP_025917749.1_olfactory_receptor_14J1-like_Apteryx_rowi 0.00477905882453
0 XP_005400109.1_PREDICTED_free_fatty_acid_receptor_2_Chinchilla_lanigera XP_005400109.1_PREDICTED_free_fatty_acid_receptor_2_Chinchilla_lanigera 0.0141719351294
0 XP_032235542.1_neuropeptide_FF_receptor_1-like_Nematostella_vectensis XP_032235542.1_neuropeptide_FF_receptor_1-like_Nematostella_vectensis 0.00477905882453
0 XP_004078677.1_C-C_chemokine_receptor_type_5_Oryzias_latipes XP_004078677.1_C-C_chemokine_receptor_type_5_Oryzias_latipes 0.00547736178787
0 XP_004697297.1_olfactory_receptor_14A16-like_Echinops_telfairi XP_004697297.1_olfactory_receptor_14A16-like_Echinops_telfairi 0.0057614133257
0 GCB71189.1_hypothetical_protein_scyTo_0010946_Scyliorhinus_torazame GCB71189.1_hypothetical_protein_scyTo_0010946_Scyliorhinus_torazame 0.00477905882453
0 MBV97401.1_G-protein_coupled_receptor_35_partial_Eschrichtius_robustus MBV97401.1_G-protein_coupled_receptor_35_partial_Eschrichtius_robustus 0.0141719351294
0 XP_010893574.3_rhodopsin_isoform_X1_Esox_lucius XP_010893574.3_rhodopsin_isoform_X1_Esox_lucius 0.0147403868158
