1F88_A	N/A	6.97e-55
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	7.15e-55
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.80e-54
3C9M_A	Chain A, Rhodopsin [unidentified]	1.99e-54
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	2.04e-54
6FK6_A	Chain A, Rhodopsin [Bos taurus]	2.74e-54
6FKB_A	Chain A, Rhodopsin [Bos taurus]	3.85e-54
5DYS_A	Chain A, Rhodopsin [Bos taurus]	9.52e-54
4BEY_A	Chain A, Rhodopsin [Bos taurus]	2.11e-53
6QNO_R	Chain R, Rhodopsin [Bos taurus]	2.24e-53
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	2.30e-53
6FUF_A	Chain A, Rhodopsin [Bos taurus]	2.12e-52
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.59e-47
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	4.34e-46
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	4.74e-46
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	4.74e-46
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	7.47e-41
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	1.05e-40
2Z73_A	N/A	4.20e-40
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	5.56e-37
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	3.92e-19
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	6.71e-19
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	6.42e-17
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	6.85e-17
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	2.11e-16
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	5.44e-16
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	5.68e-16
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	7.10e-16
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	8.17e-16
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	1.09e-15
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.15e-15
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	1.41e-15
6J21_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	2.52e-15
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	4.51e-15
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	5.09e-15
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	6.67e-15
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	7.18e-15
6MEO_B	Chain B, C-C chemokine receptor type 5 [Homo sapiens]	1.02e-14
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	1.10e-14
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	1.18e-14
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	1.29e-14
6J20_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	1.38e-14
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	1.44e-14
6E59_A	Chain A, Substance-P receptor, GlgA glycogen synthase, Substance-P receptor chimera [Homo sapiens]	1.78e-14
6E67_A	Chain A, Beta-2 adrenergic receptor,Endolysin,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,Beta-2 adrenergic receptor chimera [Homo sapiens]	2.06e-14
5C1M_A	Chain A, Mu-type opioid receptor [Mus musculus]	2.20e-14
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.25e-14
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.38e-14
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	2.86e-14
6DDE_R	Chain R, Mu-type opioid receptor [Mus musculus]	3.93e-14
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	5.95e-14
