4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	1.23e-36
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	1.58e-36
2Z73_A	N/A	5.02e-36
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.28e-26
1F88_A	N/A	1.91e-25
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.94e-25
4BEY_A	Chain A, Rhodopsin [Bos taurus]	3.07e-25
6FK6_A	Chain A, Rhodopsin [Bos taurus]	3.15e-25
2X72_A	Chain A, Rhodopsin [Bos taurus]	3.36e-25
6FKB_A	Chain A, Rhodopsin [Bos taurus]	3.82e-25
3C9M_A	Chain A, Rhodopsin [unidentified]	4.00e-25
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	4.06e-25
6FUF_A	Chain A, Rhodopsin [Bos taurus]	7.08e-25
6QNO_R	Chain R, Rhodopsin [Bos taurus]	7.66e-25
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	7.77e-25
5DYS_A	Chain A, Rhodopsin [Bos taurus]	1.56e-24
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	2.21e-23
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	3.46e-22
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.49e-22
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.59e-22
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	2.97e-12
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	1.04e-11
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	3.88e-10
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	6.21e-10
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	9.65e-10
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	1.11e-09
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	1.13e-09
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	2.05e-09
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	3.69e-09
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	5.24e-09
6AK3_A	Chain A, Prostaglandin E2 receptor EP3 subtype,Soluble cytochrome b562 [Homo sapiens]	5.77e-09
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	3.04e-08
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	7.50e-08
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	7.64e-08
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.40e-07
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	1.59e-07
6M9T_A	Chain A, Prostaglandin E2 receptor EP3 subtype, Endolysin chimera [Homo sapiens]	1.96e-07
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.56e-07
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.91e-07
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	3.00e-07
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	3.24e-07
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	3.38e-07
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	3.48e-07
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	5.09e-07
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	6.89e-07
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	9.29e-07
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	2.60e-06
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	4.14e-06
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	9.24e-06
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	9.48e-06
4IAQ_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Escherichia coli]	1.04e-05
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	1.06e-05
4IAR_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Homo sapiens]	1.07e-05
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	1.09e-05
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	1.23e-05
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.49e-05
6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]	3.72e-05
4RWA_A	Chain A, Soluble cytochrome b562,Delta-type opioid receptor [Homo sapiens]	4.28e-05
