O35214.1	N/A	2.97e-22
O14718.1	N/A	2.27e-20
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	4.19e-20
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	4.27e-19
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	3.50e-18
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	3.63e-18
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	1.29e-17
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.59e-17
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	4.56e-17
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	1.02e-16
Q5YKK9.1	N/A	1.93e-16
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	2.32e-16
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	3.11e-16
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	1.33e-15
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	5.40e-15
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	8.22e-15
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	9.07e-15
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	1.03e-14
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	1.08e-14
Q1JPS6.1	N/A	1.60e-14
Q9QXZ9.1	N/A	1.85e-14
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	1.90e-14
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	3.88e-14
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	6.05e-14
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	8.02e-14
P41590.1	N/A	1.34e-13
Q9UHM6.1	N/A	1.52e-13
Q8R456.1	N/A	1.97e-13
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	2.01e-13
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	2.47e-13
P35403.1	RecName: Full=Rhodopsin [Pomatoschistus minutus]	3.49e-13
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	7.45e-13
O57422.1	N/A	7.61e-13
O42330.1	RecName: Full=Rhodopsin [Cottocomephorus inermis]	8.32e-13
O42266.1	N/A	8.99e-13
P23820.1	RecName: Full=Retinochrome; AltName: Full=Retinal photoisomerase [Todarodes pacificus]	1.48e-12
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	1.73e-12
O42451.1	RecName: Full=Rhodopsin [Procottus jettelesii]	1.76e-12
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	1.88e-12
O42307.1	RecName: Full=Rhodopsin [Cottinella boulengeri]	1.92e-12
P08099.1	N/A	2.76e-12
