6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	2.00e-86
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	2.75e-74
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	6.67e-74
2Z73_A	N/A	2.75e-73
1F88_A	N/A	1.28e-36
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.31e-36
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.91e-36
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.95e-36
4BEY_A	Chain A, Rhodopsin [Bos taurus]	2.21e-36
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	3.03e-36
2X72_A	Chain A, Rhodopsin [Bos taurus]	3.10e-36
5DYS_A	Chain A, Rhodopsin [Bos taurus]	3.79e-36
3C9M_A	Chain A, Rhodopsin [unidentified]	3.85e-36
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	3.93e-36
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.15e-35
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.02e-35
6FUF_A	Chain A, Rhodopsin [Bos taurus]	9.22e-35
6FKB_A	Chain A, Rhodopsin [Bos taurus]	9.42e-35
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.05e-34
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.01e-33
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	5.61e-22
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	1.50e-21
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	2.95e-20
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	3.00e-20
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	3.70e-20
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	1.73e-19
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	2.12e-19
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	2.88e-19
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	3.39e-19
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	5.60e-19
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	7.48e-19
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	8.50e-19
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	2.17e-18
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	2.81e-18
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	5.12e-18
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	5.45e-18
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	5.96e-18
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	6.07e-18
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	6.18e-18
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	1.04e-17
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	1.86e-17
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	9.84e-17
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.65e-16
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	1.77e-16
