XP_002732329.1	PREDICTED: visual pigment-like receptor peropsin-like [Saccoglossus kowalevskii]	0.0
AMP19653.1	peropsin [Euphausia superba]	1.82e-52
XP_002934288.2	visual pigment-like receptor peropsin [Xenopus tropicalis]	4.98e-52
XP_032080312.1	visual pigment-like receptor peropsin [Thamnophis elegans]	6.58e-52
XP_006727263.1	visual pigment-like receptor peropsin [Leptonychotes weddellii]	7.00e-52
KAF3815513.1	hypothetical protein GH733_016466, partial [Mirounga leonina]	1.27e-51
XP_021540204.1	visual pigment-like receptor peropsin [Neomonachus schauinslandi]	1.51e-51
XP_006212109.1	visual pigment-like receptor peropsin [Vicugna pacos]	1.56e-51
XP_034886165.1	visual pigment-like receptor peropsin [Mirounga leonina]	1.90e-51
XP_004009669.3	visual pigment-like receptor peropsin [Ovis aries]	2.21e-51
XP_005681368.2	PREDICTED: visual pigment-like receptor peropsin [Capra hircus]	2.65e-51
XP_030213007.1	visual pigment-like receptor peropsin [Gadus morhua]	2.80e-51
XP_006188994.1	visual pigment-like receptor peropsin [Camelus ferus]	2.82e-51
XP_004748136.1	PREDICTED: visual pigment-like receptor peropsin [Mustela putorius furo]	3.49e-51
KAB0368455.1	hypothetical protein FD755_020221 [Muntiacus reevesi]	3.68e-51
XP_032189036.1	visual pigment-like receptor peropsin [Mustela erminea]	3.80e-51
XP_032256896.1	visual pigment-like receptor peropsin [Phoca vitulina]	4.86e-51
XP_032962657.1	visual pigment-like receptor peropsin isoform X3 [Rhinolophus ferrumequinum]	7.15e-51
XP_027621626.1	visual pigment-like receptor peropsin [Tupaia chinensis]	9.75e-51
PIO00702.1	hypothetical protein AB205_0015870 [Lithobates catesbeianus]	9.88e-51
XP_010856841.1	PREDICTED: visual pigment-like receptor peropsin [Bison bison bison]	1.17e-50
XP_020743578.1	visual pigment-like receptor peropsin [Odocoileus virginianus texanus]	1.32e-50
XP_007463288.1	PREDICTED: visual pigment-like receptor peropsin [Lipotes vexillifer]	1.46e-50
NP_001179153.1	visual pigment-like receptor peropsin [Bos taurus]	1.54e-50
XP_007191091.1	visual pigment-like receptor peropsin [Balaenoptera acutorostrata scammoni]	1.87e-50
XP_027399641.1	visual pigment-like receptor peropsin [Bos indicus x Bos taurus]	1.90e-50
XP_007105918.1	visual pigment-like receptor peropsin isoform X2 [Physeter catodon]	2.13e-50
XP_022372113.1	visual pigment-like receptor peropsin [Enhydra lutris kenyoni]	2.47e-50
XP_006052266.1	visual pigment-like receptor peropsin [Bubalus bubalis]	2.59e-50
XP_024597728.1	visual pigment-like receptor peropsin [Neophocaena asiaeorientalis asiaeorientalis]	3.09e-50
KAB0341937.1	hypothetical protein FD754_018863 [Muntiacus muntjak]	3.09e-50
XP_020664493.1	visual pigment-like receptor peropsin [Pogona vitticeps]	3.42e-50
XP_012879229.1	PREDICTED: visual pigment-like receptor peropsin [Dipodomys ordii]	3.79e-50
XP_034298262.1	visual pigment-like receptor peropsin [Pantherophis guttatus]	4.07e-50
KAB0392757.1	hypothetical protein E2I00_009576, partial [Balaenoptera physalus]	4.73e-50
XP_008123453.2	PREDICTED: LOW QUALITY PROTEIN: visual pigment-like receptor peropsin [Anolis carolinensis]	5.65e-50
XP_008542178.1	PREDICTED: visual pigment-like receptor peropsin [Equus przewalskii]	6.14e-50
XP_032489448.1	visual pigment-like receptor peropsin [Phocoena sinus]	7.13e-50
XP_032715786.1	visual pigment-like receptor peropsin [Lontra canadensis]	7.20e-50
