Q6U736.3	N/A	3.53e-170
Q6VZZ7.1	N/A	1.60e-166
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	6.60e-52
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	1.61e-49
O14718.1	N/A	2.32e-48
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	2.99e-48
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	4.28e-48
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	1.22e-47
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	1.22e-46
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	4.97e-45
Q5YKK9.1	N/A	5.70e-45
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	2.38e-43
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	5.05e-43
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	1.26e-42
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	2.04e-42
O57422.1	N/A	3.04e-42
O35214.1	N/A	5.51e-42
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	2.67e-41
Q95YI3.1	N/A	7.47e-41
Q1JPS6.1	N/A	8.19e-41
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	1.00e-40
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	2.38e-40
Q9UHM6.1	N/A	6.85e-40
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	9.24e-40
P28679.3	N/A	4.08e-39
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	4.67e-39
Q17292.1	N/A	6.13e-39
P08099.1	N/A	1.56e-38
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	2.41e-38
