4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	4.88e-22
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	5.92e-22
2Z73_A	N/A	1.19e-21
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.13e-19
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.19e-19
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.23e-19
3C9M_A	Chain A, Rhodopsin [unidentified]	1.34e-19
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	1.36e-19
6FUF_A	Chain A, Rhodopsin [Bos taurus]	1.51e-19
5DYS_A	Chain A, Rhodopsin [Bos taurus]	2.03e-19
1F88_A	N/A	2.24e-19
6QNO_R	Chain R, Rhodopsin [Bos taurus]	2.26e-19
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	2.26e-19
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	2.29e-19
4BEY_A	Chain A, Rhodopsin [Bos taurus]	1.49e-18
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	6.98e-16
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	5.45e-14
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	4.54e-13
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	4.58e-13
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	4.63e-13
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	9.29e-09
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	9.60e-09
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	3.88e-08
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	4.15e-08
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	6.79e-08
6J21_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	9.84e-08
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.25e-07
6E59_A	Chain A, Substance-P receptor, GlgA glycogen synthase, Substance-P receptor chimera [Homo sapiens]	2.44e-07
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.96e-07
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	3.27e-07
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	3.28e-07
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	3.81e-07
6J20_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	4.22e-07
6GPX_A	Chain A, C-C chemokine receptor type 2,Rubredoxin,C-C chemokine receptor type 2 [Homo sapiens]	9.01e-07
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	2.10e-06
5T1A_A	Chain A, Chimera protein of CC chemokine receptor type 2 isoform B and T4-lysozyme,Lysozyme [Homo sapiens]	2.67e-06
6GPS_A	Chain A, C-C chemokine receptor type 2,Rubredoxin,C-C chemokine receptor type 2 [Homo sapiens]	2.86e-06
5O9H_A	Chain A, C5a anaphylatoxin chemotactic receptor 1 [Homo sapiens]	2.86e-06
4YAY_A	Chain A, Soluble cytochrome b562,Type-1 angiotensin II receptor [Escherichia coli]	3.87e-06
4ZUD_A	Chain A, Chimera protein of Soluble cytochrome b562 and Type-1 angiotensin II receptor [Escherichia coli]	3.96e-06
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	5.11e-06
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	6.13e-06
6DO1_A	Chain A, Type-1 angiotensin II receptor,Soluble cytochrome b562 BRIL fusion protein [Homo sapiens]	1.67e-05
4S0V_A	Chain A, Human Orexin receptor type 2 fusion protein to P. abysii Glycogen Synthase [Homo sapiens]	1.97e-05
5WQC_A	Chain A, Orexin receptor type 2,GlgA glycogen synthase,Orexin receptor type 2 [Homo sapiens]	2.01e-05
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	2.88e-05
6C1Q_B	Chain B, Soluble cytochrome b562, C5a anaphylatoxin chemotactic receptor 1 chimera [Escherichia coli]	3.06e-05
5C1M_A	Chain A, Mu-type opioid receptor [Mus musculus]	3.19e-05
6RZ6_A	Chain A, Cysteinyl leukotriene receptor 2,Soluble cytochrome b562,Cysteinyl leukotriene receptor 2 [Homo sapiens]	3.43e-05
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	4.83e-05
