P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	7.29e-65
Q9H1Y3.1	N/A	1.17e-63
Q9WUK7.1	N/A	1.62e-58
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	5.17e-58
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	7.09e-57
O42266.1	N/A	1.25e-56
O13018.1	N/A	6.88e-56
O35214.1	N/A	7.79e-54
O14718.1	N/A	8.58e-54
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	3.38e-53
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	5.52e-53
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	7.36e-53
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	1.47e-52
Q5YKK9.1	N/A	1.61e-52
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	9.36e-52
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	9.65e-52
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	1.83e-51
O35478.2	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin; AltName: Full=Medium wavelength-sensitive cone opsin [Sciurus carolinensis]	5.27e-51
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	6.53e-51
P32310.1	N/A	3.18e-50
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	4.26e-50
P34989.1	RecName: Full=Opsin, longwave 563 nm [Callithrix jacchus]	5.33e-50
Q9YH00.1	RecName: Full=Rhodopsin [Lithognathus mormyrus]	5.39e-50
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	7.53e-50
Q9W6A8.1	N/A	8.72e-50
O18910.2	N/A	1.00e-49
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	1.00e-49
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	1.20e-49
Q90373.1	RecName: Full=Rhodopsin [Leocottus kesslerii]	2.04e-49
P28684.1	N/A	2.10e-49
Q9YH03.1	RecName: Full=Rhodopsin [Sarpa salpa]	2.80e-49
P41592.1	N/A	3.02e-49
P04000.1	RecName: Full=Long-wave-sensitive opsin 1; AltName: Full=Red cone photoreceptor pigment; AltName: Full=Red-sensitive opsin; Short=ROP [Homo sapiens]	3.98e-49
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	6.36e-49
Q8R456.1	N/A	7.36e-49
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	8.14e-49
Q9R024.1	N/A	8.81e-49
P51473.1	N/A	9.22e-49
P49912.1	N/A	9.25e-49
O42268.1	RecName: Full=Rhodopsin [Ictalurus punctatus]	1.13e-48
P02699.1	N/A	1.23e-48
O42330.1	RecName: Full=Rhodopsin [Cottocomephorus inermis]	1.24e-48
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	1.35e-48
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	1.48e-48
Q9YH04.1	RecName: Full=Rhodopsin [Diplodus vulgaris]	1.60e-48
O42301.1	RecName: Full=Rhodopsin [Batrachocottus nikolskii]	1.76e-48
O18913.2	N/A	1.79e-48
