1F88_A	N/A	2.14e-24
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	2.17e-24
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	2.54e-24
4BEY_A	Chain A, Rhodopsin [Bos taurus]	5.98e-24
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.24e-23
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.68e-23
3C9M_A	Chain A, Rhodopsin [unidentified]	1.78e-23
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.80e-23
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	1.80e-23
6QNO_R	Chain R, Rhodopsin [Bos taurus]	2.48e-23
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	2.51e-23
6FUF_A	Chain A, Rhodopsin [Bos taurus]	3.40e-23
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	3.79e-23
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	4.04e-23
5DYS_A	Chain A, Rhodopsin [Bos taurus]	5.59e-23
2Z73_A	N/A	8.38e-23
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.10e-18
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	4.49e-18
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	4.61e-18
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	4.70e-18
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	7.66e-10
4IAQ_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Escherichia coli]	7.67e-10
4IAR_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Homo sapiens]	8.14e-10
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	1.30e-09
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	2.96e-09
6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]	6.40e-09
6KUX_A	Chain A, alpha2A adrenergic receptor [Spodoptera frugiperda]	6.64e-09
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	9.36e-09
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	1.28e-08
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	1.32e-08
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	2.98e-08
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	6.22e-08
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	6.32e-08
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	7.08e-08
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	1.20e-07
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.31e-07
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	1.87e-07
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	1.92e-07
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	2.27e-07
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.35e-07
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.38e-07
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.44e-07
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	3.04e-07
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	3.16e-07
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	3.29e-07
