4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	2.97e-28
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	5.33e-28
2Z73_A	N/A	1.38e-27
1F88_A	N/A	9.81e-22
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	9.92e-22
6FK6_A	Chain A, Rhodopsin [Bos taurus]	2.03e-21
6FKB_A	Chain A, Rhodopsin [Bos taurus]	2.45e-21
2X72_A	Chain A, Rhodopsin [Bos taurus]	3.10e-21
3C9M_A	Chain A, Rhodopsin [unidentified]	3.29e-21
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	3.33e-21
5DYS_A	Chain A, Rhodopsin [Bos taurus]	5.53e-21
6FUF_A	Chain A, Rhodopsin [Bos taurus]	1.56e-20
4BEY_A	Chain A, Rhodopsin [Bos taurus]	2.75e-20
6QNO_R	Chain R, Rhodopsin [Bos taurus]	2.83e-20
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	2.86e-20
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	5.12e-20
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	7.29e-19
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	7.29e-19
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	7.36e-19
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	6.03e-16
3RZE_A	Chain A, Histamine H1 receptor, Lysozyme chimera [Escherichia virus T4]	2.89e-10
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	2.95e-10
4U15_A	Chain A, Muscarinic acetylcholine receptor M3,Lysozyme,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	1.11e-09
4DAJ_A	Chain A, Muscarinic acetylcholine receptor M3, Lysozyme [Rattus norvegicus]	1.24e-09
4U14_A	Chain A, Muscarinic acetylcholine receptor M3,Endolysin,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	1.55e-09
