sp|A2ARI4|LGR4_MOUSE	sp|A2ARI4|LGR4_MOUSE Leucine-rich repeat-containing G-protein coupled receptor 4 OS=Mus musculus OX=10090 GN=Lgr4 PE=1 SV=1
sp|A3KFT3|OR2M5_HUMAN	sp|A3KFT3|OR2M5_HUMAN Olfactory receptor 2M5 OS=Homo sapiens OX=9606 GN=OR2M5 PE=3 SV=1
sp|A6NF89|OR6C6_HUMAN	sp|A6NF89|OR6C6_HUMAN Olfactory receptor 6C6 OS=Homo sapiens OX=9606 GN=OR6C6 PE=3 SV=1
sp|A6NND4|O2AT4_HUMAN	sp|A6NND4|O2AT4_HUMAN Olfactory receptor 2AT4 OS=Homo sapiens OX=9606 GN=OR2AT4 PE=1 SV=1
sp|B2RN74|O11HC_HUMAN	sp|B2RN74|O11HC_HUMAN Olfactory receptor 11H12 OS=Homo sapiens OX=9606 GN=OR11H12 PE=2 SV=1
sp|O08707|ACKR2_MOUSE	sp|O08707|ACKR2_MOUSE Atypical chemokine receptor 2 OS=Mus musculus OX=10090 GN=Ackr2 PE=1 SV=2
sp|O43749|OR1F1_HUMAN	sp|O43749|OR1F1_HUMAN Olfactory receptor 1F1 OS=Homo sapiens OX=9606 GN=OR1F1 PE=2 SV=1
sp|O43869|OR2T1_HUMAN	sp|O43869|OR2T1_HUMAN Olfactory receptor 2T1 OS=Homo sapiens OX=9606 GN=OR2T1 PE=3 SV=3
sp|O55197|C3AR_RAT	sp|O55197|C3AR_RAT C3a anaphylatoxin chemotactic receptor OS=Rattus norvegicus OX=10116 GN=C3ar1 PE=1 SV=1
sp|O60404|O10H3_HUMAN	sp|O60404|O10H3_HUMAN Olfactory receptor 10H3 OS=Homo sapiens OX=9606 GN=OR10H3 PE=2 SV=1
sp|O60412|OR7C2_HUMAN	sp|O60412|OR7C2_HUMAN Olfactory receptor 7C2 OS=Homo sapiens OX=9606 GN=OR7C2 PE=1 SV=4
sp|O76000|OR2B3_HUMAN	sp|O76000|OR2B3_HUMAN Putative olfactory receptor 2B3 OS=Homo sapiens OX=9606 GN=OR2B3 PE=3 SV=1
sp|O76002|OR2J2_HUMAN	sp|O76002|OR2J2_HUMAN Olfactory receptor 2J2 OS=Homo sapiens OX=9606 GN=OR2J2 PE=2 SV=1
sp|O88628|O51E2_RAT	sp|O88628|O51E2_RAT Olfactory receptor 51E2 OS=Rattus norvegicus OX=10116 GN=Or51e2 PE=2 SV=1
sp|O88855|LT4R1_MOUSE	sp|O88855|LT4R1_MOUSE Leukotriene B4 receptor 1 OS=Mus musculus OX=10090 GN=Ltb4r PE=2 SV=1
sp|O95007|OR6B1_HUMAN	sp|O95007|OR6B1_HUMAN Olfactory receptor 6B1 OS=Homo sapiens OX=9606 GN=OR6B1 PE=1 SV=1
sp|O95013|O4F21_HUMAN	sp|O95013|O4F21_HUMAN Olfactory receptor 4F21 OS=Homo sapiens OX=9606 GN=OR4F21 PE=3 SV=2
sp|O95665|NTR2_HUMAN	sp|O95665|NTR2_HUMAN Neurotensin receptor type 2 OS=Homo sapiens OX=9606 GN=NTSR2 PE=1 SV=2
sp|O95918|OR2H2_HUMAN	sp|O95918|OR2H2_HUMAN Olfactory receptor 2H2 OS=Homo sapiens OX=9606 GN=OR2H2 PE=2 SV=2
sp|P0C646|O52Z1_HUMAN	sp|P0C646|O52Z1_HUMAN Olfactory receptor 52Z1 OS=Homo sapiens OX=9606 GN=OR52Z1 PE=3 SV=2
sp|P0C7N8|OR9G9_HUMAN	sp|P0C7N8|OR9G9_HUMAN Olfactory receptor 9G9 OS=Homo sapiens OX=9606 GN=OR9G9 PE=3 SV=1
sp|P0DN81|O13C7_HUMAN	sp|P0DN81|O13C7_HUMAN Olfactory receptor 13C7 OS=Homo sapiens OX=9606 GN=OR13C7 PE=3 SV=1
sp|P16849|UL33_HCMVA	sp|P16849|UL33_HCMVA G-protein coupled receptor homolog UL33 OS=Human cytomegalovirus (strain AD169) OX=10360 GN=UL33 PE=1 SV=2
sp|P23268|O1082_RAT	sp|P23268|O1082_RAT Olfactory receptor 1082 OS=Rattus norvegicus OX=10116 GN=Olr1082 PE=2 SV=1
sp|P23271|O1493_RAT	sp|P23271|O1493_RAT Olfactory receptor 1493 OS=Rattus norvegicus OX=10116 GN=Olr1493 PE=2 SV=1
sp|P23275|OLF15_MOUSE	sp|P23275|OLF15_MOUSE Olfactory receptor 15 OS=Mus musculus OX=10090 GN=Olfr15 PE=2 SV=4
sp|P25116|PAR1_HUMAN	sp|P25116|PAR1_HUMAN Proteinase-activated receptor 1 OS=Homo sapiens OX=9606 GN=F2R PE=1 SV=2
sp|P30518|V2R_HUMAN	sp|P30518|V2R_HUMAN Vasopressin V2 receptor OS=Homo sapiens OX=9606 GN=AVPR2 PE=1 SV=1
sp|P30953|OR1E1_HUMAN	sp|P30953|OR1E1_HUMAN Olfactory receptor 1E1 OS=Homo sapiens OX=9606 GN=OR1E1 PE=3 SV=1
sp|P30954|O10J1_HUMAN	sp|P30954|O10J1_HUMAN Olfactory receptor 10J1 OS=Homo sapiens OX=9606 GN=OR10J1 PE=2 SV=2
sp|P34985|OL143_MOUSE	sp|P34985|OL143_MOUSE Olfactory receptor 143 OS=Mus musculus OX=10090 GN=Olfr143 PE=2 SV=2
