Gene Species Taxon Signature
0 tr|A0A672RGP2|A0A672RGP2_SINGR_Arginine_vasopressin_receptor_1Ab_OS_Sinocyclocheilus_grahami_OX_75366_PE_4_SV_1 tr|A0A672RGP2|A0A672RGP2_SINGR_Arginine_vasopressin_receptor_1Ab_OS_Sinocyclocheilus_grahami_OX_75366_PE_4_SV_1 0.00514752193575
0 XP_034461160.1_P2Y_purinoceptor_3_isoform_X1_Hippoglossus_hippoglossus XP_034461160.1_P2Y_purinoceptor_3_isoform_X1_Hippoglossus_hippoglossus 0.00259679574831
0 XP_014034902.1_PREDICTED_MICAL-like_protein_1_isoform_X1_Salmo_salar XP_014034902.1_PREDICTED_MICAL-like_protein_1_isoform_X1_Salmo_salar 0.0253638776174
0 XP_034427792.1_sickle_tail_protein_homolog_isoform_X4_Hippoglossus_hippoglossus XP_034427792.1_sickle_tail_protein_homolog_isoform_X4_Hippoglossus_hippoglossus 0.0290526142616
0 tr|A0A672JV03|A0A672JV03_SINGR_Uncharacterized_protein_OS_Sinocyclocheilus_grahami_OX_75366_PE_4_SV_1 tr|A0A672JV03|A0A672JV03_SINGR_Uncharacterized_protein_OS_Sinocyclocheilus_grahami_OX_75366_PE_4_SV_1 0.00372006138888
0 KOO28473.1_hypothetical_protein_Ctob_003518_Chrysochromulina_tobinii KOO28473.1_hypothetical_protein_Ctob_003518_Chrysochromulina_tobinii 0.00857191984238
0 KFO25476.1_Rab_proteins_geranylgeranyltransferase_component_A_2_Fukomys_damarensis KFO25476.1_Rab_proteins_geranylgeranyltransferase_component_A_2_Fukomys_damarensis 0.00983073605519
0 tr|A0A182VW53|A0A182VW53_9DIPT_Uncharacterized_protein_OS_Anopheles_minimus_OX_112268_PE_3_SV_1 tr|A0A182VW53|A0A182VW53_9DIPT_Uncharacterized_protein_OS_Anopheles_minimus_OX_112268_PE_3_SV_1 0.0290526142616
0 TWW53052.1_Melanopsin-A_Mammalian-like_melanopsin_Takifugu_flavidus TWW53052.1_Melanopsin-A_Mammalian-like_melanopsin_Takifugu_flavidus 0.00372006138888
0 tr|A0A3Q3IJ86|A0A3Q3IJ86_MONAL_Uncharacterized_protein_OS_Monopterus_albus_OX_43700_PE_4_SV_1 tr|A0A3Q3IJ86|A0A3Q3IJ86_MONAL_Uncharacterized_protein_OS_Monopterus_albus_OX_43700_PE_4_SV_1 0.0290526142616
0 tr|A0A369RVC4|A0A369RVC4_9METZ_Putative_G-protein_coupled_receptor_tkr-1_OS_Trichoplax_sp._H2_OX_287889_GN_TrispH2_009832_PE_4_SV_1 tr|A0A369RVC4|A0A369RVC4_9METZ_Putative_G-protein_coupled_receptor_tkr-1_OS_Trichoplax_sp._H2_OX_287889_GN_TrispH2_009832_PE_4_SV_1 0.00514752193575
0 KAF1319001.1_putative_opsin-like_receptor_Schistosoma_haematobium KAF1319001.1_putative_opsin-like_receptor_Schistosoma_haematobium 0.00857191984238
0 XP_019482002.1_PREDICTED_RPE-retinal_G_protein-coupled_receptor_Hipposideros_armiger XP_019482002.1_PREDICTED_RPE-retinal_G_protein-coupled_receptor_Hipposideros_armiger 0.00857191984238
