1F88_A	N/A	3.15e-58
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	3.24e-58
2X72_A	Chain A, Rhodopsin [Bos taurus]	3.96e-58
3C9M_A	Chain A, Rhodopsin [unidentified]	4.38e-58
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	4.50e-58
5DYS_A	Chain A, Rhodopsin [Bos taurus]	2.02e-57
4BEY_A	Chain A, Rhodopsin [Bos taurus]	4.15e-57
6QNO_R	Chain R, Rhodopsin [Bos taurus]	4.36e-57
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	4.47e-57
6FK6_A	Chain A, Rhodopsin [Bos taurus]	9.12e-56
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.03e-55
6FUF_A	Chain A, Rhodopsin [Bos taurus]	1.91e-52
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	2.83e-48
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.38e-48
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	4.92e-48
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	5.26e-48
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	1.88e-44
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	2.09e-44
2Z73_A	N/A	7.26e-44
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	4.15e-40
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	3.79e-22
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	6.34e-19
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	3.86e-18
6DDE_R	Chain R, Mu-type opioid receptor [Mus musculus]	4.23e-17
5C1M_A	Chain A, Mu-type opioid receptor [Mus musculus]	9.83e-17
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	1.86e-16
4N6H_A	Chain A, Soluble cytochrome b562, Delta-type opioid receptor chimeric protein [Homo sapiens]	3.47e-16
4RWA_A	Chain A, Soluble cytochrome b562,Delta-type opioid receptor [Homo sapiens]	3.95e-16
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	6.24e-16
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	2.09e-15
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	2.18e-15
6MEO_B	Chain B, C-C chemokine receptor type 5 [Homo sapiens]	1.89e-14
